"name","meanMort"
"Antigua and Barbuda",5.29262286611654
"Argentina",4.96734410396954
"Aruba",6.0405433846964
"Australia",6.53732326236384
"Austria",8.05974597832859
"Azerbaijan",2.01681523215878
"Bahamas",3.87203016977524
"Bahrain",1.15399125678874
"Barbados",7.11288604500736
"Belgium",8.62790773159034
"Belize",2.68081413990422
"Bermuda",8.88173300502006
"Bolivia",0.563659502404415
"Brazil",3.36715746887831
"Bulgaria",8.01578722334038
"Canada",7.20175451385946
"Cayman Islands",5.90277368167617
"Chile",4.31320316023074
"Colombia",2.43973473398644
"Costa Rica",2.8212803716451
"Croatia",9.84029787231324
"Cuba",5.98994704796514
"Cyprus",3.72787573923474
"Czech Republic",9.4612064651617
"Denmark",9.6628110471463
"Dominica",8.66278635653445
"Dominican Republic",1.36398963501635
"Ecuador",1.98291703226595
"Egypt",1.08053692195036
"El Salvador",1.97008212144751
"Estonia",9.01533773850094
"Fiji",2.79654982703386
"Finland",7.02484442097098
"France",8.11825207389472
"Georgia",3.64165755319759
"Germany",8.88860547513875
"Grenada",6.80727832699857
"Guatemala",1.82437829497207
"Guyana",2.16284562451989
"Haiti",0.131223211383646
"Hong Kong SAR",6.13141390816644
"Hungary",11.0933866591311
"Iceland",6.76571262319299
"Iraq",0.926458568324652
"Ireland",6.22860888788592
"Israel",4.78132473534665
"Italy",9.65084352147197
"Jamaica",3.76904641359473
"Japan",8.74482975274638
"Jordan",1.27331551556718
"Kiribati",2.11172247516677
"Kuwait",0.956704915937188
"Kyrgyzstan",2.07203269917307
"Latvia",9.0932739933444
"Lithuania",8.51162306843089
"Luxembourg",7.81765485713691
"Malaysia",0.95497134346242
"Maldives",1.38252873348306
"Malta",7.05114845651837
"Mauritius",2.87427815193579
"Mexico",1.9307567892069
"Montenegro",5.82067059649153
"Morocco",0.483903643203924
"Netherlands",8.33752271313702
"New Zealand",6.76300828803838
"Nicaragua",1.27784433529123
"Norway",7.89918092791272
"Oman",0.481666695209878
"Panama",2.34343483951918
"Paraguay",1.76027888262627
"Peru",1.94514102780857
"Philippines",1.66428916736132
"Poland",8.13438681981232
"Portugal",7.74658110005469
"Puerto Rico",4.63904308086755
"Qatar",0.661542599954617
"South Korea",4.64889731087517
"Moldova",5.0822322227464
"Romania",7.21682215904839
"Saint Kitts and Nevis",6.60877590893623
"Saint Lucia",4.6335244036823
"Saint Vincent and the Grenadines",5.59628728615763
"Saudi Arabia",0.29409833347866
"Republic of Serbia",9.14213701795999
"Slovakia",7.56362382355888
"Slovenia",9.22044191135137
"South Africa",2.37292507649081
"Spain",7.73253667353591
"Sri Lanka",1.78803991095398
"Suriname",2.5241108522199
"Sweden",8.23919502594432
"Macedonia",6.03670040819119
"Thailand",2.72944937385863
"Trinidad and Tobago",3.71544130155157
"Turkey",2.90190462814449
"Turks and Caicos Islands",5.64607797625599
"United Kingdom",8.82553890204249
"United States of America",6.53873005530524
"Uruguay",7.80153925407041
"Uzbekistan",1.3242448019293
"Venezuela",2.31312182496837
"Virgin Islands (USA)",5.53714937758016
