"Country","LandMass","Den2013","Den2010","Den2000","Den1990","Den1980","HDI_80","HDI_90","HDI_00","HDI_10","HDI_13","Rank2013","Rank2010","Rank2000","Rank1990","Rank1980","Rank"
"Sudan",1844729,20.58,19.33,15.03,10.85,7.82,0.330952559199,0.342105799368,0.385350910491,0.463201666579,0.472802704527,"Low","Low","Low","Low","Low","167"
"Haiti",27750,371.8,356.61,309.12,256.22,205.12,0.352464773171,0.413370320102,0.432659130597,0.461948269935,0.471426801893,"Low","Low","Low","Low","Low","168"
"Afghanistan",647500,47.18,43.86,31.81,18.12,20.36,0.229981717602,0.296107591532,0.34107606007,0.452523562983,0.467886421127,"Low","Low","Low","Low","Low","169"
"Djibouti",23000,37.95,36.26,31.43,25.65,15.61,0.452387263808,0.452387263808,0.452387263808,0.452387263808,0.467419308755,"Low","Low","Low","Low","Low","170"
"Côte d'Ivoire",322460,63,58.85,50.02,37.57,25.63,0.376770438861,0.380414018437,0.393334200113,0.439124923398,0.451993972928,"Low","Low","Low","Low","Low","171"
"Gambia",11300,163.65,148.76,108.76,81.15,53.45,0.300399976217,0.334461930578,0.383334084189,0.439563192765,0.440714961099,"Low","Low","Low","Low","Low","172"
"Ethiopia",1127127,83.49,77.27,58.58,42.62,31.27,0.283528693235,0.283528693235,0.283528693235,0.408745547631,0.435139449354,"Low","Low","Low","Low","Low","173"
"Malawi",118480,138.1,126.72,95.55,79.73,52.64,0.270447787211,0.28320232709,0.34110288664,0.405634484545,0.414021003531,"Low","Low","Low","Low","Low","174"
"Liberia",111370,38.56,35.54,25.97,18.88,17,0.338585041912,0.338585041912,0.338585041912,0.393240152858,0.411801024074,"Low","Low","Low","Low","Low","175"
"Mali",1240000,12.34,11.28,8.28,6.42,5.43,0.207545545033,0.23238313744,0.309115957196,0.397984777904,0.406704462681,"Low","Low","Low","Low","Low","176"
"Guinea-Bissau",36120,47.18,43.94,35.24,28.16,22.65,0.395648966372,0.395648966372,0.395648966372,0.400634187535,0.395648966372,"Low","Low","Low","Low","Low","177"
"Mozambique",801590,32.23,29.9,22.8,16.93,15.15,0.246013800736,0.215630228668,0.285301734362,0.380155420893,0.392596146384,"Low","Low","Low","Low","Low","178"
"Guinea",245857,47.77,44.24,35.57,24.49,18.28,0.380196288552,0.380196288552,0.380196288552,0.380196288552,0.391868518986,"Low","Low","Low","Low","Low","179"
"Burundi",27830,365.16,331.76,239.81,201.44,148.29,0.230270066167,0.291132012041,0.29018940482,0.381315267094,0.389443495128,"Low","Low","Low","Low","Low","180"
"Burkina Faso",274200,61.76,56.67,42.33,32.13,24.88,0.366512848976,0.366512848976,0.366512848976,0.366512848976,0.388355142864,"Low","Low","Low","Low","Low","181"
"Eritrea",121320,52.2,47.32,32.47,26.98,19.91,0.372714920966,0.372714920966,0.372714920966,0.372714920966,0.380951041711,"Low","Low","Low","Low","Low","182"
"Sierra Leone",71740,84.92,80.18,57.71,56.36,44.33,0.276485842557,0.26314370208,0.297316256568,0.353418131971,0.374281840156,"Low","Low","Low","Low","Low","183"
"Chad",1284000,9.99,9.13,6.46,4.64,3.51,0.300647773694,0.300647773694,0.300647773694,0.349140621244,0.372424345146,"Low","Low","Low","Low","Low","184"
"Central African Republic",622984,7.41,6.98,5.84,4.68,3.65,0.29526321614,0.310316714501,0.314472901456,0.354854972536,0.340530672501,"Low","Low","Low","Low","Low","185"
"Congo, the Democratic Republic of the",2345410,28.79,26.52,20.02,14.88,11.24,0.33629929172,0.318908420665,0.273536056435,0.31865682897,0.337920072859,"Low","Low","Low","Low","Low","186"
"Niger",1267000,14.07,12.54,8.67,6.12,4.6,0.190867912245,0.218013011638,0.262124887078,0.322517858351,0.336997597506,"Low","Low","Low","Low","Low","187"
