"Country","Log_Density","HDI","HDI_Rank","HDI_2013_Rank"
"China",4.97244871271101,0.719080606817,"High","High"
"Brazil",3.15870110183213,0.743640439102,"High","High"
"Russian Federation",2.12345842709661,0.778302805226,"High","High"
"Mexico",4.1274569136723,0.755830116892,"High","High"
"Iran, Islamic Republic of",3.84993481311472,0.749349387698,"High","High"
"Turkey",4.56434819146784,0.758635955744,"High","High"
"Thailand",4.87037656167469,0.721925686592,"High","High"
"Colombia",3.74785565921423,0.710733782958,"High","High"
"Ukraine",4.31668779336554,0.734021021262,"High","High"
"Algeria",2.80093319524892,0.716646184567,"High","High"
"Venezuela, Bolivarian Republic of",3.50675787732265,0.763665244178,"High","High"
"Peru",3.16251709119882,0.736804543525,"High","High"
"Malaysia",4.50114211556404,0.77290704141,"High","High"
"Romania",4.5148077459077,0.784527514987,"High","High"
"Sri Lanka",5.78148398232005,0.74973468941,"High","High"
"Kazakhstan",1.80005827204275,0.757371246425,"High","High"
"Ecuador",4.01638302075239,0.71063699595,"High","High"
"Tunisia",4.20782204598187,0.721174357452,"High","High"
"Dominican Republic",5.36363683266868,0.700154168147,"High","High"
"Serbia",4.81023122975154,0.744722189298,"High","High"
"Azerbaijan",4.68859179412716,0.747372871809,"High","High"
"Belarus",3.80821683670256,0.785807784247,"High","High"
"Jordan",4.36703989236556,0.745470234416,"High","High"
"Bulgaria",4.17623172169429,0.777361921852,"High","High"
"Libya",1.25846098961001,0.784378841035,"High","High"
"Costa Rica",4.55755433204643,0.762537255894,"High","High"
"Lebanon",6.13912995724623,0.765014463081,"High","High"
"Georgia",4.1316403469658,0.743770121026,"High","High"
"Panama",3.90015283285766,0.765362295282,"High","High"
"Bosnia and Herzegovina",4.31615389052317,0.73080661552,"High","High"
"Oman",2.83907846350861,0.782571501098,"High","High"
"Uruguay",2.96165829322024,0.78970996056,"High","High"
"Albania",4.70392895801136,0.71609996378,"High","High"
"Armenia",4.60396946541157,0.730092606076,"High","High"
"Jamaica",5.53453507734952,0.715343927912,"High","High"
"Macedonia, the former Yugoslav Republic of",4.42100693431477,0.732131398723,"High","High"
"Trinidad and Tobago",5.56654899967817,0.765823205107,"High","High"
"Mauritius",6.41345895716736,0.771001932697,"High","High"
"Fiji",3.87577387275303,0.724081793763,"High","High"
"Montenegro",3.79098467705109,0.789381628877,"High","High"
"Suriname",1.19392246847243,0.70477714041,"High","High"
"Bahamas",3.29842610362621,0.78936116186,"High","High"
"Belize",2.67069441455844,0.731598826635,"High","High"
"Barbados",6.49289113802813,0.776212433462,"High","High"
"Saint Lucia",5.69002155940616,0.714106139223,"High","High"
"Saint Vincent and the Grenadines",5.63892390230771,0.718941609182,"High","High"
"Grenada",5.72958016747734,0.743957270564,"High","High"
"Tonga",4.94741146392922,0.704959221218,"High","High"
"Seychelles",5.31831605305473,0.756439951606,"High","High"
"Antigua and Barbuda",5.31384616816566,0.774010047304,"High","High"
"Dominica",4.55902152996211,0.716900420088,"High","High"
"Saint Kitts and Nevis",5.33575764952188,0.749726330527,"High","High"
"Palau",3.82144162719691,0.774805485919,"High","High"
"Pakistan",5.42300981050535,0.536534766483,"Low","Low"
"Nigeria",5.23612276295492,0.503636045671,"Low","Low"
"Ethiopia",4.42472686420591,0.435139449354,"Low","Low"
"Congo, the Democratic Republic of the",3.36002810462408,0.337920072859,"Low","Low"
"Myanmar",4.36309862478836,0.523528389213,"Low","Low"
