CountryName,CountryCode,Indicator.Name,Indicator.Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.89,67.20,67.47,67.71,67.93,68.14,68.33,68.52,68.70,68.88,69.07,69.27,69.49,69.71,69.94,70.17,70.41,70.64
Moldova,MDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.73,66.63,66.60,66.63,66.73,66.90,67.10,67.32,67.52,67.70,67.86,67.99,68.11,68.23,68.34,68.46,68.58,68.69
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.61,55.43,56.23,57.02,57.77,58.47,59.11,59.70,60.24,60.73,61.19,61.62,62.05,62.47,62.91,63.35,63.80,64.25
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.62,65.48,66.40,67.38,68.41,69.46,70.51,71.52,72.47,73.32,74.08,74.75,75.34,75.87,76.35,76.79,77.19,77.57
Middle East & North Africa (all income levels),MEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.24,68.58,68.88,69.15,69.42,69.67,69.91,70.12,70.32,70.53,70.72,71.03,71.23,71.35,71.56,71.77,71.98,72.19
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.74,73.09,73.42,73.73,74.01,74.27,74.51,74.75,74.99,75.24,75.49,75.74,75.98,76.23,76.46,76.69,76.91,77.14
Middle income,MIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.68,65.92,66.20,66.48,66.79,67.12,67.43,67.74,68.03,68.31,68.57,68.81,69.04,69.26,69.49,69.70,69.91,70.11
"Macedonia, FYR",MKD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.07,72.29,72.53,72.77,73.01,73.24,73.46,73.65,73.82,73.96,74.09,74.21,74.32,74.45,74.58,74.72,74.87,75.03
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.66,47.83,48.04,48.31,48.65,49.06,49.52,50.02,50.53,51.03,51.52,51.99,52.45,52.90,53.34,53.77,54.19,54.60
Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.14,77.14,77.59,77.39,77.30,78.20,78.84,78.74,78.55,79.25,79.30,79.44,79.79,79.64,80.24,81.40,80.75,80.75
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.42,60.75,61.08,61.40,61.71,62.02,62.33,62.63,62.92,63.21,63.48,63.73,63.97,64.19,64.39,64.58,64.76,64.93
Middle East & North Africa (developing only),MNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.70,68.03,68.34,68.61,68.87,69.10,69.33,69.53,69.72,69.90,70.08,70.27,70.45,70.64,70.83,71.02,71.23,71.43
Montenegro,MNE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.86,74.83,74.72,74.53,74.29,74.02,73.77,73.59,73.49,73.49,73.57,73.73,73.92,74.10,74.27,74.42,74.54,74.65
Mongolia,MNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.22,61.45,61.74,62.08,62.48,62.92,63.40,63.90,64.38,64.85,65.29,65.68,66.04,66.36,66.64,66.89,67.12,67.34
Mozambique,MOZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.81,46.28,46.68,47.01,47.26,47.43,47.53,47.59,47.66,47.74,47.85,48.02,48.23,48.49,48.80,49.14,49.49,49.84
Mauritania,MRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.19,59.30,59.40,59.49,59.58,59.67,59.77,59.87,59.99,60.11,60.24,60.39,60.54,60.70,60.86,61.02,61.19,61.35
Mauritius,MUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.33,70.32,70.40,70.61,70.96,71.66,71.77,71.97,72.12,72.28,72.43,72.43,72.57,72.57,72.88,72.97,73.27,73.57
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.65,46.42,46.20,46.04,45.97,46.03,46.28,46.71,47.31,48.07,48.94,49.89,50.86,51.81,52.68,53.47,54.14,54.72
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.86,72.07,72.27,72.47,72.66,72.85,73.03,73.20,73.37,73.53,73.69,73.84,74.00,74.16,74.33,74.50,74.67,74.84
North America,NAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.86,76.22,76.63,76.79,76.81,76.89,77.01,77.11,77.27,77.62,77.63,77.89,78.09,78.20,78.35,78.77,78.88,78.99
Namibia,NAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.09,59.34,58.37,57.28,56.14,55.12,54.40,54.11,54.28,54.92,55.98,57.32,58.78,60.18,61.44,62.48,63.28,63.88
New Caledonia,NCL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.01,72.00,71.74,74.38,73.88,74.92,74.83,75.10,75.27,75.51,75.17,76.46,75.95,76.12,76.28,75.83,76.04,76.25
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.13,47.84,48.56,49.28,50.00,50.71,51.41,52.10,52.79,53.46,54.12,54.75,55.35,55.93,56.47,56.99,57.48,57.97
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.11,46.16,46.22,46.32,46.44,46.62,46.88,47.22,47.64,48.13,48.66,49.23,49.79,50.33,50.83,51.29,51.71,52.11
Nicaragua,NIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.34,67.82,68.27,68.72,69.18,69.65,70.12,70.59,71.04,71.49,71.91,72.32,72.71,73.08,73.44,73.80,74.13,74.47
Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.40,77.44,77.79,77.88,77.84,77.99,78.19,78.29,78.49,79.10,79.35,79.70,80.10,80.25,80.55,80.70,81.20,81.10
High income: nonOECD,NOC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.95,68.79,69.45,69.43,69.08,68.82,69.08,68.97,69.03,69.45,69.55,70.44,71.10,71.45,72.06,72.32,72.87,73.44
Norway,NOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.74,78.15,78.14,78.33,78.28,78.63,78.79,78.99,79.39,79.84,80.04,80.34,80.40,80.59,80.80,81.00,81.30,81.45
Nepal,NPL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.81,59.50,60.17,60.81,61.44,62.04,62.62,63.18,63.72,64.24,64.75,65.24,65.72,66.19,66.65,67.10,67.55,67.98
New Zealand,NZL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.73,76.79,77.33,78.09,77.89,78.64,78.69,78.85,79.15,79.55,79.85,80.05,80.15,80.35,80.70,80.70,80.90,81.16
High income: OECD,OEC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.60,76.95,77.29,77.47,77.62,77.89,78.15,78.30,78.43,78.86,78.96,79.34,79.54,79.69,79.91,80.19,80.48,80.68
OECD members,OED,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.70,76.06,76.41,76.61,76.80,77.08,77.35,77.52,77.68,78.09,78.22,78.58,78.80,78.96,79.19,79.46,79.74,79.96
Oman,OMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.99,70.49,70.98,71.45,71.91,72.36,72.79,73.21,73.62,74.02,74.41,74.77,75.12,75.45,75.75,76.05,76.32,76.59
Other small states,OSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.64,58.23,57.82,57.23,56.74,56.33,56.01,55.94,55.93,56.11,56.41,56.82,57.31,57.80,58.30,58.76,59.18,59.56
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.55,62.81,63.07,63.34,63.61,63.89,64.16,64.43,64.69,64.94,65.17,65.39,65.60,65.78,65.96,66.13,66.28,66.44
Panama,PAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.13,74.33,74.53,74.73,74.92,75.12,75.30,75.49,75.66,75.84,76.01,76.18,76.36,76.55,76.75,76.95,77.16,77.37
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.02,68.52,69.03,69.54,70.03,70.51,70.95,71.37,71.75,72.10,72.42,72.72,73.01,73.31,73.60,73.91,74.21,74.52
Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.02,66.18,66.34,66.50,66.65,66.80,66.94,67.08,67.22,67.35,67.49,67.63,67.77,67.92,68.07,68.23,68.39,68.55
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.35,57.63,57.91,58.19,58.48,58.80,59.14,59.50,59.88,60.27,60.64,61.00,61.32,61.59,61.82,62.01,62.16,62.30
Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.89,72.25,72.65,73.00,73.04,73.75,74.20,74.50,74.60,74.85,75.00,75.14,75.24,75.54,75.70,76.25,76.75,76.80
Puerto Rico,PRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.13,74.36,74.67,75.01,75.38,76.69,77.07,77.76,78.07,78.18,78.30,78.42,78.43,78.56,78.01,78.18,78.36,78.54
"Korea, Dem. Rep.",PRK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.12,65.12,64.44,64.19,64.40,64.98,65.80,66.65,67.35,67.86,68.16,68.29,68.37,68.49,68.66,68.90,69.19,69.50
Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.31,75.26,75.41,75.71,75.96,76.31,76.81,77.07,77.22,77.67,78.07,78.42,78.32,78.52,78.73,79.03,80.47,80.37
Paraguay,PRY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.92,69.11,69.33,69.56,69.81,70.08,70.35,70.62,70.87,71.11,71.33,71.51,71.67,71.81,71.93,72.03,72.11,72.19
Pacific island small states,PSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.27,65.52,65.82,66.13,66.47,66.74,67.04,67.33,67.61,67.87,68.14,68.37,68.61,68.83,69.05,69.27,69.48,69.68
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.54,70.94,71.34,71.72,72.09,72.45,72.80,73.15,73.51,73.87,74.23,74.57,74.89,75.19,75.45,75.69,75.92,76.13
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.12,76.27,76.41,76.55,76.69,76.82,76.95,77.08,77.20,77.32,77.45,77.58,77.71,77.85,78.00,78.15,78.30,78.45
Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.46,69.10,69.00,69.81,70.51,71.16,71.16,71.01,71.31,71.59,71.88,72.16,72.57,72.57,73.31,73.46,74.56,74.56
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.22,66.19,66.95,66.78,66.04,65.34,65.49,65.09,65.01,65.42,65.47,66.64,67.50,67.85,68.60,68.86,69.66,70.46
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,31.24,35.14,39.18,42.74,45.57,47.64,49.13,50.44,51.86,53.46,55.19,56.98,58.65,60.09,61.28,62.21,62.92,63.49
South Asia,SAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.67,61.05,61.45,61.85,62.26,62.66,63.05,63.44,63.82,64.20,64.56,64.90,65.23,65.54,65.84,66.12,66.39,66.64
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.04,71.38,71.71,72.02,72.32,72.61,72.90,73.17,73.43,73.69,73.94,74.18,74.41,74.64,74.86,75.08,75.29,75.50
Sudan,SDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.53,56.79,57.06,57.34,57.65,57.98,58.33,58.71,59.11,59.52,59.93,60.31,60.66,60.98,61.25,61.48,61.68,61.86
Senegal,SEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.38,57.32,57.30,57.36,57.51,57.77,58.17,58.68,59.26,59.90,60.55,61.17,61.72,62.19,62.56,62.84,63.04,63.20
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.40,76.75,77.05,77.40,77.55,78.05,78.35,78.70,79.04,79.49,79.99,80.14,80.44,80.79,81.24,81.54,81.74,82.14
Solomon Islands,SLB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.70,60.30,60.91,61.54,62.19,62.84,63.47,64.06,64.61,65.11,65.55,65.94,66.27,66.56,66.83,67.07,67.29,67.51
Sierra Leone,SLE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,35.82,36.03,36.40,36.88,37.45,38.11,38.85,39.65,40.49,41.33,42.15,42.88,43.53,44.07,44.50,44.84,45.10,45.33
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.78,68.98,69.12,69.25,69.39,69.56,69.75,69.95,70.15,70.35,70.55,70.75,70.96,71.18,71.40,71.63,71.87,72.10
Somalia,SOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.16,48.08,48.98,49.76,50.40,50.88,51.22,51.50,51.77,52.05,52.36,52.68,53.02,53.35,53.69,54.02,54.36,54.69
Sub-Saharan Africa (developing only),SSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.93,49.93,49.94,49.98,50.07,50.22,50.45,50.76,51.16,51.64,52.20,52.81,53.46,54.11,54.75,55.36,55.93,56.44
South Sudan,SSD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.85,47.40,47.91,48.38,48.82,49.23,49.62,49.99,50.34,50.70,51.08,51.48,51.92,52.40,52.91,53.47,54.05,54.64
Sub-Saharan Africa (all income levels),SSF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.93,49.92,49.94,49.98,50.07,50.22,50.45,50.76,51.16,51.64,52.20,52.81,53.45,54.11,54.75,55.36,55.92,56.44
Small states,SST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.94,61.68,61.47,61.06,60.77,60.53,60.33,60.37,60.34,60.50,60.77,61.09,61.47,61.86,62.25,62.60,62.92,63.21
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.57,62.72,62.86,63.00,63.14,63.29,63.48,63.70,63.97,64.26,64.58,64.89,65.19,65.45,65.67,65.85,66.00,66.13
Suriname,SUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.81,67.83,67.85,67.87,67.89,67.93,68.01,68.14,68.33,68.57,68.84,69.15,69.47,69.78,70.07,70.34,70.58,70.81
Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.25,72.65,72.70,72.55,72.90,73.05,73.40,73.60,73.60,73.96,73.90,74.20,74.21,74.70,74.91,75.11,75.96,76.11
Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.96,74.46,74.71,74.81,75.01,75.41,75.76,76.01,76.86,77.21,77.61,78.09,78.56,78.77,78.97,79.42,79.97,80.12
Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.74,78.96,79.20,79.34,79.44,79.64,79.80,79.85,80.10,80.50,80.55,80.75,80.90,81.10,81.35,81.45,81.80,81.70
Swaziland,SWZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.39,55.00,53.44,51.79,50.16,48.66,47.43,46.52,45.96,45.75,45.86,46.24,46.77,47.35,47.89,48.35,48.66,48.85
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.91,72.21,72.50,72.78,73.06,73.33,73.61,73.90,74.19,74.47,74.72,74.90,75.00,75.02,74.96,74.87,74.77,74.71
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.43,46.48,46.52,46.57,46.62,46.69,46.79,46.93,47.12,47.37,47.67,48.03,48.43,48.86,49.31,49.77,50.24,50.70
Togo,TGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.73,54.34,54.00,53.75,53.59,53.55,53.59,53.69,53.82,53.97,54.14,54.34,54.57,54.84,55.14,55.47,55.81,56.15
Thailand,THA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.53,70.56,70.62,70.68,70.78,70.92,71.11,71.35,71.64,71.98,72.33,72.68,73.02,73.32,73.59,73.81,74.01,74.19
Tajikistan,TJK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.39,62.58,62.83,63.12,63.43,63.77,64.13,64.51,64.90,65.30,65.68,66.03,66.34,66.60,66.82,67.00,67.14,67.26
Turkmenistan,TKM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.03,63.21,63.40,63.58,63.75,63.90,64.03,64.14,64.24,64.34,64.43,64.53,64.64,64.75,64.88,65.02,65.16,65.31
Timor-Leste,TLS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.70,54.97,56.23,57.41,58.50,59.48,60.35,61.12,61.83,62.49,63.10,63.69,64.26,64.83,65.39,65.94,66.49,67.02
Tonga,TON,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.12,70.24,70.36,70.49,70.63,70.76,70.90,71.04,71.18,71.31,71.45,71.59,71.74,71.88,72.03,72.18,72.34,72.49
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.38,68.43,68.47,68.51,68.55,68.60,68.65,68.72,68.81,68.90,69.01,69.12,69.24,69.36,69.48,69.60,69.71,69.82
Tunisia,TUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.35,71.55,71.90,72.05,72.50,72.60,72.85,73.00,73.05,73.30,73.50,73.90,74.20,74.30,74.45,74.60,74.85,75.10
Turkey,TUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.98,67.59,68.20,68.81,69.42,70.00,70.55,71.07,71.56,72.01,72.43,72.82,73.18,73.53,73.88,74.21,74.54,74.86
Tanzania,TZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.17,49.13,49.18,49.33,49.59,49.97,50.50,51.16,51.95,52.84,53.83,54.88,55.99,57.10,58.18,59.18,60.07,60.85
Uganda,UGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.97,46.05,46.32,46.76,47.36,48.11,48.97,49.91,50.89,51.87,52.84,53.79,54.72,55.62,56.49,57.30,58.02,58.65
Ukraine,UKR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.12,67.31,67.30,67.97,68.19,67.86,68.29,68.28,68.21,68.19,67.96,68.08,68.22,68.25,69.19,70.28,70.81,70.94
Upper middle income,UMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.72,69.95,70.22,70.53,70.88,71.24,71.59,71.92,72.23,72.50,72.74,72.95,73.15,73.35,73.55,73.74,73.96,74.16
Uruguay,URY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.54,73.77,74.00,74.22,74.44,74.66,74.87,75.09,75.30,75.51,75.72,75.92,76.12,76.30,76.46,76.62,76.76,76.91
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.62,76.00,76.43,76.58,76.58,76.64,76.74,76.84,76.99,77.34,77.34,77.59,77.84,77.94,78.09,78.54,78.64,78.74
Uzbekistan,UZB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.32,66.43,66.57,66.71,66.83,66.94,67.03,67.11,67.19,67.27,67.35,67.44,67.53,67.63,67.74,67.86,67.98,68.10
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.58,70.59,70.59,70.58,70.57,70.58,70.63,70.73,70.87,71.04,71.25,71.47,71.69,71.88,72.05,72.18,72.30,72.40
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.87,71.99,72.10,72.21,72.32,72.44,72.58,72.73,72.89,73.07,73.25,73.45,73.64,73.83,74.00,74.17,74.33,74.49
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.26,76.54,76.80,77.06,77.31,76.62,77.87,78.02,78.17,78.72,78.52,78.62,78.82,78.92,79.07,79.17,79.37,79.47
Vietnam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.14,72.46,72.77,73.07,73.36,73.63,73.88,74.10,74.30,74.47,74.63,74.77,74.90,75.04,75.17,75.31,75.46,75.61
Vanuatu,VUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.46,65.90,66.33,66.75,67.16,67.56,67.93,68.30,68.65,68.99,69.32,69.63,69.94,70.25,70.55,70.84,71.13,71.41
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.44,66.69,66.96,67.19,67.42,67.69,67.99,68.24,68.50,68.80,69.04,69.34,69.59,69.82,70.08,70.32,70.56,70.78
Samoa,WSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.52,67.95,68.37,68.76,69.14,69.49,69.82,70.13,70.43,70.71,71.00,71.28,71.56,71.84,72.12,72.41,72.70,72.98
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.24,59.50,59.75,59.99,60.23,60.46,60.68,60.90,61.12,61.33,61.53,61.74,61.94,62.14,62.33,62.53,62.72,62.91
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.37,60.61,59.61,58.44,57.16,55.84,54.57,53.44,52.52,51.87,51.56,51.61,52.00,52.64,53.47,54.39,55.30,56.10
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.44,46.18,46.02,45.99,46.11,46.36,46.68,47.02,47.33,47.60,47.82,48.02,48.21,48.44,48.70,48.99,49.30,49.62
Zambia,ZMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,40.95,40.78,40.78,40.93,41.26,41.78,42.51,43.43,44.52,45.77,47.13,48.58,50.10,51.62,53.11,54.53,55.83,57.02
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.34,49.52,47.80,46.24,44.93,43.92,43.25,42.91,42.87,43.18,43.89,45.08,46.75,48.81,51.15,53.59,55.95,58.05
