CountryName,CountryCode,Indicator.Name,Indicator.Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.45,57.24,58.01,58.78,59.54,60.29,61.04,61.80,62.55,63.30,64.03,64.72,65.37,65.96,66.51,67.00,67.46,67.89
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.68,56.17,54.64,53.14,51.74,50.49,49.41,48.50,47.75,47.16,46.73,46.45,46.30,46.25,46.30,46.44,46.67,46.99
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.15,43.95,43.81,43.71,43.67,43.69,43.79,43.96,44.22,44.57,45.00,45.51,46.09,46.73,47.40,48.10,48.79,49.48
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.98,78.23,78.48,78.66,78.88,79.24,79.49,79.59,79.84,80.14,80.29,80.64,80.37,80.54,80.72,80.89,81.07,81.24
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.42,78.90,79.08,79.32,79.58,79.68,80.18,80.39,80.54,81.09,81.24,81.49,81.74,81.99,82.04,82.25,82.70,82.70
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.44,76.63,76.83,77.05,77.28,77.52,77.79,78.05,78.32,78.59,78.84,79.08,79.30,79.49,79.67,79.83,79.98,80.12
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.99,75.29,75.62,75.98,76.37,76.76,77.13,77.46,77.74,77.96,78.14,78.29,78.44,78.62,78.82,79.05,79.31,79.57
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.33,70.56,70.86,71.23,71.67,72.14,72.62,73.07,73.47,73.79,74.05,74.26,74.42,74.58,74.73,74.89,75.04,75.20
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.60,48.81,48.06,47.39,46.84,46.45,46.27,46.28,46.46,46.79,47.23,47.74,48.27,48.79,49.26,49.68,50.05,50.40
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.22,52.99,52.73,52.45,52.17,51.94,51.76,51.66,51.64,51.72,51.89,52.15,52.48,52.86,53.26,53.69,54.14,54.59
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.95,52.68,52.47,52.33,52.27,52.30,52.44,52.69,53.05,53.50,54.03,54.63,55.28,55.93,56.58,57.20,57.78,58.30
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.43,69.75,70.07,70.39,70.70,70.99,71.26,71.52,71.77,72.02,72.26,72.50,72.72,72.94,73.16,73.37,73.57,73.78
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.71,56.94,57.18,57.41,57.65,57.88,58.11,58.35,58.58,58.82,59.05,59.29,59.52,59.75,59.98,60.20,60.43,60.64
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.50,67.88,68.29,68.71,69.14,69.59,70.05,70.51,70.97,71.42,71.87,72.30,72.71,73.11,73.49,73.86,74.21,74.54
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.77,76.98,77.18,77.37,77.56,77.73,77.90,78.04,78.18,78.31,78.45,78.58,78.73,78.90,79.08,79.28,79.49,79.71
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.96,69.01,69.15,69.14,69.23,69.34,69.48,69.73,69.84,70.05,70.28,70.53,70.77,71.00,71.22,71.43,71.62,71.80
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.41,75.68,75.95,76.21,76.45,76.67,76.87,77.07,77.28,77.49,77.71,77.93,78.14,78.34,78.53,78.72,78.89,79.07
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.27,77.42,77.56,77.70,77.84,77.97,78.10,78.23,78.35,78.48,78.60,78.73,78.86,79.00,79.15,79.31,79.47,79.64
Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.07,73.71,73.82,74.51,74.67,74.97,75.17,75.22,75.17,75.72,75.92,76.52,76.72,76.98,77.08,77.42,77.87,78.08
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.42,76.67,77.07,77.48,77.73,77.93,78.33,78.23,78.38,78.68,78.93,79.13,79.53,79.74,79.84,79.99,80.74,80.89
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.05,57.04,57.01,56.99,56.98,57.01,57.09,57.22,57.41,57.66,57.98,58.36,58.80,59.28,59.78,60.29,60.80,61.30
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.21,75.59,75.95,76.14,76.34,76.59,76.79,76.90,77.14,77.49,77.84,78.10,78.20,78.45,78.60,79.10,79.80,80.05
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.72,69.92,70.09,70.26,70.44,70.63,70.84,71.05,71.26,71.48,71.69,71.91,72.13,72.35,72.57,72.79,73.01,73.23
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.85,68.08,68.31,68.53,68.73,68.93,69.12,69.31,69.49,69.66,69.84,70.01,70.17,70.33,70.47,70.62,70.75,70.88
East Asia & Pacific (developing only),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.21,69.44,69.72,70.06,70.44,70.85,71.27,71.67,72.03,72.34,72.60,72.81,72.99,73.17,73.33,73.50,73.66,73.82
East Asia & Pacific (all income levels),EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.18,70.44,70.72,71.03,71.39,71.81,72.22,72.60,72.94,73.25,73.48,73.72,73.90,74.07,74.26,74.40,74.55,74.73
Europe & Central Asia (developing only),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.34,67.54,67.90,68.24,68.61,69.02,69.34,69.49,69.71,69.94,70.07,70.33,70.59,70.82,71.28,71.61,72.01,72.27
Europe & Central Asia (all income levels),ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.83,72.22,72.59,72.81,72.91,73.04,73.34,73.40,73.50,73.94,74.09,74.58,74.92,75.18,75.57,75.86,76.41,76.70
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.23,71.68,72.13,72.56,72.97,73.36,73.70,73.99,74.24,74.45,74.63,74.80,74.98,75.18,75.40,75.65,75.92,76.19
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.76,67.23,67.66,68.04,68.35,68.59,68.79,68.95,69.11,69.26,69.43,69.61,69.81,70.01,70.23,70.45,70.68,70.91
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.05,77.30,77.66,77.87,78.09,78.34,78.65,78.76,78.76,79.36,79.50,79.95,80.18,80.43,80.63,80.87,81.46,81.61
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.40,53.23,54.01,54.74,55.41,56.03,56.59,57.12,57.63,58.13,58.63,59.13,59.64,60.15,60.66,61.19,61.71,62.23
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.98,78.12,78.60,78.67,78.72,78.97,79.37,79.57,79.62,79.87,80.17,80.82,80.87,81.18,81.48,81.63,82.48,82.38
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.54,69.61,69.81,69.36,70.06,70.42,70.26,70.90,71.32,71.91,72.57,72.69,72.81,73.77,74.82,75.43,76.23,76.43
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.26,49.83,50.41,51.00,51.60,52.24,52.95,53.73,54.61,55.56,56.57,57.62,58.65,59.66,60.60,61.47,62.25,62.97
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.81,76.07,76.36,76.59,76.82,77.15,77.48,77.61,77.68,78.19,78.36,78.74,78.96,79.21,79.48,79.76,80.35,80.54
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.41,76.69,76.88,77.09,77.29,77.47,77.97,78.12,78.37,78.71,78.82,79.21,79.26,79.57,79.72,79.87,80.47,80.63
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.64,66.84,67.04,67.23,67.42,67.61,67.79,67.97,68.14,68.32,68.49,68.67,68.84,69.02,69.20,69.38,69.56,69.74
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.75,77.95,78.30,78.60,78.76,79.06,79.16,79.26,79.11,80.16,80.16,80.81,81.11,81.21,81.41,81.66,82.11,82.57
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.76,66.87,66.97,67.07,67.17,67.28,67.38,67.50,67.64,67.78,67.92,68.08,68.22,68.37,68.50,68.62,68.74,68.85
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.09,60.88,60.60,60.29,59.97,59.69,59.50,59.42,59.48,59.68,60.01,60.43,60.90,61.39,61.85,62.29,62.69,63.07
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.84,77.09,77.21,77.19,77.39,77.74,77.99,78.14,78.45,78.75,79.05,79.25,79.45,79.60,80.05,80.40,80.95,81.50
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.23,70.45,70.72,71.01,71.32,71.63,71.93,72.21,72.47,72.71,72.91,73.09,73.25,73.40,73.54,73.67,73.81,73.94
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.50,57.34,57.16,57.02,56.95,56.99,57.15,57.42,57.79,58.22,58.70,59.19,59.64,60.03,60.35,60.60,60.79,60.95
