budget_fiscal_year,fund,sub_fund,appropriation,budget_amount
2014,0210,552C,60010802,3000000
2014,0210,552C,60010804,10000000
2014,0210,552C,60010805,5000000
2014,0210,553C,60010812,700000000
2014,0210,553C,60010813,8000000
2014,0210,554C,28900800,906000000
2014,0210,554C,60330800,2078000000
2014,0210,556C,60330827,7500000
2014,0210,556C,60350817,575000000
2014,0210,556C,60350837,2800000
2014,0210,557C,60350867,350000000
2014,0210,557C,60350877,50000000
2014,0210,557C,60350887,10000000
2014,0210,558C,60010803,20000000
2014,0210,558C,60010817,50000000
2014,0210,558C,60010818,45000000
2014,0210,558C,60010881,17000000
2014,0210,558C,60010882,7000000
2014,0210,558C,60010884,90000000
2014,0210,558C,60010885,10000000
2014,0210,558T,60010806,20000000
2014,0210,559C,60010807,16700000
2014,0210,559C,60010808,1000000
2014,0210,559C,60010809,1500000
2014,0210,559C,60010810,1220000
2014,0210,560C,60010815,5000000
2014,0210,560C,60010820,67000000
2014,0210,561C,60060801,40000000
2014,0210,562C,60000450,366500
2014,0210,562C,60000500,15000000
2014,0210,572C,60010816,50000000
2014,0210,574C,61211217,325000000
2014,0210,575C,66221205,11000000
2014,0210,576C,66221280,300000000
2014,0211,542C,60330411,93500000
2014,0211,573C,61211218,171750000
