Country,Confirmation Number,Death number,Year,Region
Venezuela (Bolivarian Republic of),44744,3,2011,Americas
Venezuela (Bolivarian Republic of),51264,6,2012,Americas
Yemen,55000,73,2006,Eastern Mediterranean
Yemen,55446,38,2009,Eastern Mediterranean
Yemen,106697,92,2010,Eastern Mediterranean
Yemen,90410,75,2011,Eastern Mediterranean
Yemen,109908,72,2012,Eastern Mediterranean
South Africa,26506,81,2001,Africa
South Africa,15649,96,2002,Africa
South Africa,13459,142,2003,Africa
South Africa,13399,88,2004,Africa
South Africa,7755,63,2005,Africa
South Africa,12098,87,2006,Africa
South Africa,6327,37,2007,Africa
South Africa,7796,43,2008,Africa
South Africa,2759,45,2009,Africa
South Africa,3875,83,2010,Africa
South Africa,9866,54,2011,Africa
South Africa,5629,72,2012,Africa
Zambia,0,6183,2007,Africa
Zambia,0,3781,2008,Africa
Zambia,0,3862,2009,Africa
Zimbabwe,33980,1809,2004,Africa
Zimbabwe,37908,1916,2005,Africa
Zimbabwe,39404,802,2006,Africa
Zimbabwe,116518,401,2007,Africa
Zimbabwe,32788,232,2008,Africa
Zimbabwe,114028,108,2009,Africa
Zimbabwe,249379,255,2010,Africa
Zimbabwe,319935,451,2011,Africa
Zimbabwe,276963,351,2012,Africa
