,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,33.1,52.6,215.2,-102.688,38.070,LAMAR,CO
1,03017,29.0,47.3,224.4,-104.658,39.833,DENVER,CO
2,03024,37.3,60.1,186.2,-101.394,35.700,BORGER,TX
3,03026,32.9,49.3,250.3,-102.284,39.245,BURLINGTON,CO
4,03027,23.2,47.8,155.4,-105.663,35.003,CLINES CORNERS,NM
5,03028,32.2,50.7,225.1,-102.614,37.283,SPRINGFIELD,CO
6,03029,23.2,46.5,167.1,-109.061,35.658,WINDOW ROCK,AZ
7,03030,36.8,57.2,209.0,-101.505,36.682,GUYMON,OK
8,03031,39.8,67.3,148.6,-102.387,31.921,ODESSA,TX
9,03032,47.2,71.0,186.8,-102.213,30.048,DRYDEN,TX
10,03102,40.7,66.2,165.9,-117.600,34.056,ONTARIO,CA
11,03103,23.3,43.8,194.9,-111.672,35.140,FLAGSTAFF,AZ
12,03104,36.4,73.2,84.5,-116.160,33.628,PALM SPRINGS,CA
13,03131,47.0,64.6,249.1,-117.139,32.816,SAN DIEGO,CA
14,03144,37.9,73.8,91.3,-115.579,32.834,IMPERIAL,CA
15,03145,37.9,73.7,91.9,-114.617,32.650,YUMA,AZ
16,03159,33.1,61.4,135.7,-118.219,34.741,LANCASTER,CA
17,03160,27.6,62.1,89.4,-116.028,36.621,MERCURY,NV
18,03162,27.5,59.2,106.7,-111.448,36.926,PAGE,AZ
19,03164,38.9,55.2,257.1,-116.467,32.617,CAMPO,CA
20,03167,48.3,65.2,258.3,-118.334,33.923,HAWTHORNE,CA
21,03170,28.8,46.3,233.1,-116.006,39.601,EUREKA,NV
22,03171,41.5,66.4,171.4,-117.439,33.952,RIVERSIDE,CA
23,03177,49.6,62.3,312.6,-117.279,33.128,CARLSBAD,CA
24,03178,47.9,61.9,294.1,-116.979,32.572,SAN DIEGO,CA
25,03179,43.1,66.3,188.1,-117.636,33.975,CHINO,CA
26,03184,29.5,70.8,56.2,-112.082,33.688,PHOENIX,AZ
27,03192,28.4,71.4,47.5,-111.911,33.623,SCOTTSDALE,AZ
28,03195,23.4,44.7,186.8,-112.155,35.946,GRAND CANYON,AZ
29,03196,27.3,61.4,91.3,-110.846,31.421,NOGALES,AZ
30,03802,37.6,52.9,268.2,-80.229,39.296,CLARKSBURG,WV
31,03810,40.9,59.5,232.5,-81.390,35.741,HICKORY,NC
32,03811,47.5,61.6,292.2,-88.917,35.593,JACKSON,TN
33,03813,50.9,63.9,309.5,-83.654,32.688,MACON,GA
34,03816,45.3,60.0,283.0,-88.774,37.056,PADUCAH,KY
35,03818,55.8,67.6,329.8,-85.184,30.836,MARIANNA,FL
36,03820,49.8,63.8,295.3,-81.965,33.370,AUGUSTA,GA
37,03822,51.9,67.0,283.0,-81.202,32.119,SAVANNAH,GA
38,03847,41.0,69.0,146.2,-85.085,35.951,CROSSVILLE,TN
39,03849,39.5,57.8,234.3,-84.077,37.087,LONDON,KY
40,03853,58.7,69.8,341.6,-81.417,30.400,MAYPORT,FL
41,03856,46.3,63.5,253.4,-86.786,34.644,HUNTSVILLE,AL
42,03859,33.8,53.0,218.9,-81.208,37.296,BLUEFIELD,WV
43,03860,38.1,57.6,220.1,-82.555,38.382,HUNTINGTON,WV
44,03866,51.9,65.0,308.9,-88.567,32.550,MERIDIAN,MS
45,03868,41.9,54.0,315.0,-87.309,39.452,TERRE HAUTE,IN
46,03870,43.4,62.0,234.9,-82.219,34.899,GREER,SC
47,03872,34.6,53.3,225.1,-81.125,37.795,BECKLEY,WV
48,03878,53.6,65.8,322.4,-86.012,31.861,TROY,AL
49,03887,41.1,53.2,314.4,-88.866,39.984,DECATUR,IL
50,03888,45.8,61.9,265.7,-84.521,33.779,ATLANTA,GA
51,03889,37.7,58.9,202.2,-83.314,37.591,JACKSON,KY
52,03893,40.8,54.0,299.0,-86.617,39.144,BLOOMINGTON,IN
53,03894,45.5,59.2,295.9,-87.415,36.622,CLARKSVILLE,TN
54,03901,55.2,66.4,337.9,-94.711,32.385,LONGVIEW,TX
55,03904,58.6,69.2,349.0,-96.364,30.588,COLLEGE STATION,TX
56,03919,42.4,58.5,262.7,-97.661,38.813,SALINA,KS
57,03927,52.2,68.2,272.5,-97.041,32.896,DALLAS-FORT WORTH,TX
58,03928,42.8,59.7,253.4,-97.429,37.647,WICHITA,KS
59,03932,45.7,60.7,279.3,-99.200,35.340,CLINTON,OK
60,03935,46.3,59.0,310.1,-89.571,37.225,CAPE GIRARDEAU,MO
61,03936,40.8,57.8,250.3,-96.678,39.135,MANHATTAN,KS
62,03937,60.6,69.7,373.0,-93.228,30.125,LAKE CHARLES,LA
63,03940,54.4,66.4,326.1,-90.078,32.320,JACKSON,MS
64,03945,44.0,58.0,290.4,-92.218,38.817,COLUMBIA,MO
65,03947,42.3,57.1,278.7,-94.718,39.299,KANSAS CITY,MO
66,03950,49.4,62.6,305.8,-98.416,34.568,LAWTON,OK
67,03953,48.7,61.6,309.5,-90.646,35.831,JONESBORO,AR
68,03954,47.3,62.4,279.3,-97.647,35.534,OKLAHOMA CITY,OK
69,03957,42.7,59.4,255.9,-98.553,37.284,MEDICINE LODGE,KS
70,03959,45.7,60.2,285.5,-96.011,36.762,BARTLESVILLE,OK
71,03960,43.5,58.4,278.7,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
72,03962,50.6,63.9,305.2,-93.096,34.478,HOT SPRINGS,AR
73,03963,44.0,58.3,286.7,-92.156,38.591,JEFFERSON CITY,MO
74,03965,47.1,61.0,294.7,-97.086,36.160,STILLWATER,OK
75,03966,44.9,57.4,312.0,-90.656,38.657,ST LOUIS,MO
76,03967,42.5,57.3,279.3,-94.739,38.850,OLATHE,KS
77,03971,52.3,67.0,288.5,-96.868,32.681,DALLAS,TX
78,03975,47.0,60.5,299.6,-90.325,36.773,POPLAR BLUFF,MO
79,03981,50.3,63.3,308.9,-98.984,34.352,FREDERICK,OK
80,03991,53.1,64.6,332.3,-97.199,33.206,DENTON,TX
81,03996,56.8,68.8,328.0,-91.030,32.348,TALLULAH/VICKSBURG,MS
82,03997,43.7,57.1,298.4,-95.212,39.008,LAWRENCE,KS
83,03998,47.7,59.9,318.1,-95.504,37.328,PARSONS,KS
84,03999,54.0,67.5,305.2,-98.235,30.741,BURNET,TX
85,04109,41.8,55.6,291.6,-115.596,46.144,ELK CITY,ID
86,04110,34.4,52.1,236.2,-114.456,42.727,JEROME,ID
