,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,16.9,29.3,289.8,-102.688,38.070,LAMAR,CO
1,03017,14.4,28.2,267.0,-104.658,39.833,DENVER,CO
2,03024,17.1,38.8,176.4,-101.394,35.700,BORGER,TX
3,03026,15.0,25.5,317.5,-102.284,39.245,BURLINGTON,CO
4,03027,14.6,38.0,157.3,-105.663,35.003,CLINES CORNERS,NM
5,03028,16.2,33.5,223.2,-102.614,37.283,SPRINGFIELD,CO
6,03029,15.3,37.4,170.2,-109.061,35.658,WINDOW ROCK,AZ
7,03030,16.9,34.4,221.4,-101.505,36.682,GUYMON,OK
8,03032,31.2,55.8,164.0,-102.213,30.048,DRYDEN,TX
9,03068,13.1,27.8,253.4,-104.300,38.767,BULLSEYE,CO
10,03102,41.3,61.5,215.8,-117.600,34.056,ONTARIO,CA
11,03103,18.6,36.9,214.0,-111.672,35.140,FLAGSTAFF,AZ
12,03104,34.6,60.9,152.9,-116.160,33.628,PALM SPRINGS,CA
13,03124,18.5,56.2,62.9,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
14,03131,46.9,59.0,318.7,-117.139,32.816,SAN DIEGO,CA
15,03144,36.7,63.3,152.9,-115.579,32.834,IMPERIAL,CA
16,03145,31.8,66.3,93.1,-114.617,32.650,YUMA,AZ
17,03159,27.9,52.9,157.3,-118.219,34.741,LANCASTER,CA
18,03160,18.6,50.1,98.7,-116.028,36.621,MERCURY,NV
19,03162,19.3,48.3,116.6,-111.448,36.926,PAGE,AZ
20,03164,32.9,51.2,228.1,-116.467,32.617,CAMPO,CA
21,03166,47.4,62.9,274.4,-117.979,33.872,FULLERTON,CA
22,03167,46.9,60.2,302.7,-118.334,33.923,HAWTHORNE,CA
23,03170,21.4,34.7,280.5,-116.006,39.601,EUREKA,NV
24,03171,40.6,60.1,222.6,-117.439,33.952,RIVERSIDE,CA
25,03177,47.5,58.0,342.8,-117.279,33.128,CARLSBAD,CA
26,03179,44.2,58.8,283.0,-117.636,33.975,CHINO,CA
27,03184,26.4,60.4,90.7,-112.082,33.688,PHOENIX,AZ
28,03192,30.2,61.1,114.7,-111.911,33.623,SCOTTSDALE,AZ
29,03196,21.8,55.4,88.8,-110.846,31.421,NOGALES,AZ
30,03757,24.8,36.8,302.7,-76.429,38.142,ST INIGOES,MD
31,03802,19.1,29.3,326.1,-80.229,39.296,CLARKSBURG,WV
32,03810,26.4,43.6,234.3,-81.390,35.741,HICKORY,NC
33,03811,25.9,38.2,299.0,-88.917,35.593,JACKSON,TN
34,03812,26.5,40.4,276.8,-82.538,35.432,ASHEVILLE,NC
35,03813,38.9,49.5,334.8,-83.654,32.688,MACON,GA
36,03816,21.8,32.0,328.0,-88.774,37.056,PADUCAH,KY
37,03820,38.3,48.4,342.2,-81.965,33.370,AUGUSTA,GA
38,03822,43.4,54.9,324.9,-81.202,32.119,SAVANNAH,GA
39,03847,25.8,37.4,309.5,-85.085,35.951,CROSSVILLE,TN
40,03849,23.6,37.1,279.9,-84.077,37.087,LONDON,KY
41,03853,49.6,57.8,380.4,-81.417,30.400,MAYPORT,FL
42,03855,48.1,53.8,422.9,-87.317,30.350,PENSACOLA,FL
43,03856,32.5,42.9,333.5,-86.786,34.644,HUNTSVILLE,AL
44,03859,20.5,38.6,218.3,-81.208,37.296,BLUEFIELD,WV
45,03860,21.6,34.4,287.9,-82.555,38.382,HUNTINGTON,WV
46,03866,37.7,47.1,353.3,-88.567,32.550,MERIDIAN,MS
47,03870,31.3,46.6,262.7,-82.219,34.899,GREER,SC
48,03878,40.9,51.3,339.7,-86.012,31.861,TROY,AL
49,03888,33.5,45.7,307.0,-84.521,33.779,ATLANTA,GA
50,03889,22.0,35.6,276.8,-83.314,37.591,JACKSON,KY
51,03893,14.8,24.8,325.5,-86.617,39.144,BLOOMINGTON,IN
52,03894,24.0,35.4,310.7,-87.415,36.622,CLARKSVILLE,TN
53,03901,36.8,47.7,328.6,-94.711,32.385,LONGVIEW,TX
54,03902,36.5,50.0,291.0,-97.822,31.070,FORT HOOD/KILLEEN,TX
55,03904,43.3,52.3,363.1,-96.364,30.588,COLLEGE STATION,TX
56,03919,16.6,28.4,298.4,-97.661,38.813,SALINA,KS
57,03927,33.1,47.0,282.4,-97.041,32.896,DALLAS-FORT WORTH,TX
58,03928,18.5,39.1,188.7,-97.429,37.647,WICHITA,KS
59,03931,43.0,50.0,397.0,-93.192,31.045,FORT POLK,LA
60,03932,21.7,35.5,273.8,-99.200,35.340,CLINTON,OK
61,03933,36.9,52.1,268.8,-97.713,31.134,FORT HOOD (KILLEEN),TX
62,03935,21.4,31.0,337.9,-89.571,37.225,CAPE GIRARDEAU,MO
63,03936,16.1,26.1,326.8,-96.678,39.135,MANHATTAN,KS
64,03937,46.6,52.5,418.6,-93.228,30.125,LAKE CHARLES,LA
65,03940,38.5,47.7,357.0,-90.078,32.320,JACKSON,MS
66,03945,14.6,25.1,317.5,-92.218,38.817,COLUMBIA,MO
67,03947,13.2,24.7,300.3,-94.718,39.299,KANSAS CITY,MO
68,03949,42.5,50.0,387.8,-93.283,31.400,FORT POLK,LA
69,03950,25.6,38.8,285.5,-98.416,34.568,LAWTON,OK
70,03957,18.8,30.5,302.1,-98.553,37.284,MEDICINE LODGE,KS
71,03959,20.7,33.1,292.9,-96.011,36.762,BARTLESVILLE,OK
72,03962,27.6,41.4,279.3,-93.096,34.478,HOT SPRINGS,AR
73,03963,14.1,26.4,288.5,-92.156,38.591,JEFFERSON CITY,MO
74,03965,21.6,36.1,263.9,-97.086,36.160,STILLWATER,OK
75,03966,14.4,25.8,302.7,-90.656,38.657,ST LOUIS,MO
76,03967,14.5,25.7,305.8,-94.739,38.850,OLATHE,KS
77,03971,33.9,48.0,280.5,-96.868,32.681,DALLAS,TX
78,03974,18.5,30.5,297.2,-97.219,37.750,WICHITA,KS
79,03981,24.7,39.8,259.0,-98.984,34.352,FREDERICK,OK
80,03991,32.0,43.3,318.7,-97.199,33.206,DENTON,TX
81,03994,15.9,26.7,313.8,-93.183,38.704,SEDALIA,MO
82,03996,38.1,46.5,369.9,-91.030,32.348,TALLULAH/VICKSBURG,MS
83,03997,15.1,26.0,311.4,-95.212,39.008,LAWRENCE,KS
84,03999,36.6,50.2,289.8,-98.235,30.741,BURNET,TX
85,04109,26.7,32.4,412.4,-115.596,46.144,ELK CITY,ID
86,04110,27.2,35.5,364.4,-114.456,42.727,JEROME,ID
87,04111,19.1,26.7,371.1,-111.031,41.273,EVANSTON,WY
