,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,43.5,64.5,209.6,-102.688,38.070,LAMAR,CO
1,03017,36.1,64.3,139.4,-104.658,39.833,DENVER,CO
2,03024,43.3,72.6,138.8,-101.394,35.700,BORGER,TX
3,03026,42.7,61.1,236.2,-102.284,39.245,BURLINGTON,CO
4,03027,39.3,62.4,185.6,-105.663,35.003,CLINES CORNERS,NM
5,03028,40.7,66.7,161.6,-102.614,37.283,SPRINGFIELD,CO
6,03030,46.0,70.1,183.1,-101.505,36.682,GUYMON,OK
7,03032,47.0,82.8,100.5,-102.213,30.048,DRYDEN,TX
8,03068,36.6,60.7,173.9,-104.300,38.767,BULLSEYE,CO
9,03102,55.2,75.6,226.9,-117.600,34.056,ONTARIO,CA
10,03103,39.6,58.8,224.4,-111.672,35.140,FLAGSTAFF,AZ
11,03104,51.8,84.2,125.8,-116.160,33.628,PALM SPRINGS,CA
12,03124,48.0,75.8,154.8,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
13,03131,58.7,69.8,341.6,-117.139,32.816,SAN DIEGO,CA
14,03144,52.4,88.6,103.0,-115.579,32.834,IMPERIAL,CA
15,03145,53.4,90.5,99.3,-114.617,32.650,YUMA,AZ
16,03159,39.6,76.3,88.2,-118.219,34.741,LANCASTER,CA
17,03160,32.6,76.8,46.3,-116.028,36.621,MERCURY,NV
18,03162,39.5,76.0,89.4,-111.448,36.926,PAGE,AZ
19,03164,45.7,70.2,179.4,-116.467,32.617,CAMPO,CA
20,03166,58.5,72.4,304.0,-117.979,33.872,FULLERTON,CA
21,03167,58.1,69.0,344.0,-118.334,33.923,HAWTHORNE,CA
22,03170,28.4,62.3,93.8,-116.006,39.601,EUREKA,NV
23,03171,55.5,76.9,217.0,-117.439,33.952,RIVERSIDE,CA
24,03177,58.8,65.7,406.9,-117.279,33.128,CARLSBAD,CA
25,03178,58.8,67.9,371.8,-116.979,32.572,SAN DIEGO,CA
26,03179,56.9,74.4,259.0,-117.636,33.975,CHINO,CA
27,03184,44.8,87.8,62.3,-112.082,33.688,PHOENIX,AZ
28,03192,48.5,88.1,81.4,-111.911,33.623,SCOTTSDALE,AZ
29,03195,38.5,59.9,201.0,-112.155,35.946,GRAND CANYON,AZ
30,03196,50.7,76.6,172.0,-110.846,31.421,NOGALES,AZ
31,03757,64.8,71.0,421.7,-76.429,38.142,ST INIGOES,MD
32,03810,60.7,70.3,365.0,-81.390,35.741,HICKORY,NC
33,03811,56.8,69.5,318.1,-88.917,35.593,JACKSON,TN
34,03812,57.6,67.1,365.0,-82.538,35.432,ASHEVILLE,NC
35,03813,62.4,75.1,322.4,-83.654,32.688,MACON,GA
36,03816,55.6,67.9,323.1,-88.774,37.056,PADUCAH,KY
37,03818,64.0,78.3,303.3,-85.184,30.836,MARIANNA,FL
38,03820,62.2,75.8,310.7,-81.965,33.370,AUGUSTA,GA
39,03822,65.8,77.4,339.7,-81.202,32.119,SAVANNAH,GA
40,03847,56.4,65.0,377.9,-85.085,35.951,CROSSVILLE,TN
41,03849,58.0,65.9,390.3,-84.077,37.087,LONDON,KY
42,03853,67.6,80.1,328.6,-81.417,30.400,MAYPORT,FL
43,03855,68.3,75.7,403.8,-87.317,30.350,PENSACOLA,FL
44,03856,59.3,70.0,347.7,-86.786,34.644,HUNTSVILLE,AL
45,03859,55.3,65.9,346.5,-81.208,37.296,BLUEFIELD,WV
46,03860,59.5,63.5,458.7,-82.555,38.382,HUNTINGTON,WV
47,03866,61.3,73.0,335.4,-88.567,32.550,MERIDIAN,MS
48,03868,54.2,64.7,347.7,-87.309,39.452,TERRE HAUTE,IN
49,03870,59.6,72.5,317.5,-82.219,34.899,GREER,SC
50,03872,56.5,64.7,384.1,-81.125,37.795,BECKLEY,WV
51,03878,63.2,73.3,359.4,-86.012,31.861,TROY,AL
52,03887,52.4,64.3,326.1,-88.866,39.984,DECATUR,IL
53,03888,59.8,71.9,328.6,-84.521,33.779,ATLANTA,GA
54,03889,57.5,66.1,378.5,-83.314,37.591,JACKSON,KY
55,03893,54.2,64.4,352.0,-86.617,39.144,BLOOMINGTON,IN
56,03894,58.0,67.9,358.8,-87.415,36.622,CLARKSVILLE,TN
57,03901,55.1,78.8,195.5,-94.711,32.385,LONGVIEW,TX
58,03904,57.8,83.0,185.0,-96.364,30.588,COLLEGE STATION,TX
59,03919,47.0,67.1,222.0,-97.661,38.813,SALINA,KS
60,03927,52.6,80.0,162.2,-97.041,32.896,DALLAS-FORT WORTH,TX
61,03928,49.0,69.3,222.0,-97.429,37.647,WICHITA,KS
62,03931,62.8,77.2,300.9,-93.192,31.045,FORT POLK,LA
63,03932,44.9,70.4,170.2,-99.200,35.340,CLINTON,OK
64,03935,54.9,66.5,332.3,-89.571,37.225,CAPE GIRARDEAU,MO
65,03936,47.6,65.4,247.2,-96.678,39.135,MANHATTAN,KS
66,03937,67.2,77.8,354.5,-93.228,30.125,LAKE CHARLES,LA
67,03940,62.1,73.6,338.5,-90.078,32.320,JACKSON,MS
68,03945,52.5,64.2,328.6,-92.218,38.817,COLUMBIA,MO
69,03947,51.3,64.8,303.3,-94.718,39.299,KANSAS CITY,MO
70,03949,63.0,77.7,297.2,-93.283,31.400,FORT POLK,LA
71,03950,48.1,73.9,170.8,-98.416,34.568,LAWTON,OK
72,03953,54.4,70.5,273.1,-90.646,35.831,JONESBORO,AR
73,03954,49.4,72.5,195.5,-97.647,35.534,OKLAHOMA CITY,OK
74,03957,47.1,69.5,199.8,-98.553,37.284,MEDICINE LODGE,KS
75,03959,52.2,67.8,277.4,-96.011,36.762,BARTLESVILLE,OK
76,03960,52.7,65.3,316.3,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
77,03962,54.7,72.0,259.6,-93.096,34.478,HOT SPRINGS,AR
78,03963,52.9,65.6,315.0,-92.156,38.591,JEFFERSON CITY,MO
79,03965,49.1,70.6,210.3,-97.086,36.160,STILLWATER,OK
80,03966,53.0,65.0,324.9,-90.656,38.657,ST LOUIS,MO
81,03967,50.3,65.8,276.8,-94.739,38.850,OLATHE,KS
82,03971,50.9,78.2,160.9,-96.868,32.681,DALLAS,TX
83,03974,48.2,68.3,223.2,-97.219,37.750,WICHITA,KS
84,03975,56.9,67.8,343.4,-90.325,36.773,POPLAR BLUFF,MO
85,03981,47.9,75.8,153.6,-98.984,34.352,FREDERICK,OK
86,03991,51.1,76.6,175.7,-97.199,33.206,DENTON,TX
87,03994,53.7,66.7,312.0,-93.183,38.704,SEDALIA,MO
88,03996,61.5,73.4,332.9,-91.030,32.348,TALLULAH/VICKSBURG,MS
89,03997,49.7,64.7,282.4,-95.212,39.008,LAWRENCE,KS
90,03998,49.9,66.3,265.7,-95.504,37.328,PARSONS,KS
91,03999,50.7,81.8,133.2,-98.235,30.741,BURNET,TX
92,04109,48.2,65.6,252.8,-115.596,46.144,ELK CITY,ID
93,04110,38.5,65.5,151.1,-114.456,42.727,JEROME,ID
94,04111,33.8,59.3,159.1,-111.031,41.273,EVANSTON,WY
95,04112,28.1,51.1,175.1,-114.927,44.171,STANLEY,ID
96,04113,44.2,65.3,209.6,-119.261,45.826,HERMISTON,OR
97,04114,32.8,61.1,135.7,-114.215,41.523,CHALLIS,ID
98,04134,36.2,68.6,110.4,-113.351,40.161,DUGWAY PROVING GROUND,UT
99,04201,51.4,61.5,351.4,-122.861,45.773,SCAPPOOSE,OR
100,04724,56.7,64.4,392.7,-78.945,43.107,NIAGARA FALLS,NY
101,04726,56.7,61.3,446.3,-78.834,40.301,JOHNSTOWN,PA
102,04780,57.9,66.1,385.3,-71.756,42.552,FITCHBURG,MA
103,04781,61.5,69.0,398.3,-73.102,40.794,ISLIP,NY
104,04787,56.6,62.8,418.0,-78.899,41.178,DU BOIS,PA
105,04789,60.4,65.6,437.1,-74.265,41.509,MONTGOMERY,NY
106,04803,47.9,54.9,399.5,-89.465,45.631,RHINELANDER,WI
107,04804,57.0,55.5,539.4,-83.078,40.078,COLUMBUS,OH
108,04808,51.1,59.6,376.1,-88.481,41.770,CHICAGO/AURORA,IL
109,04826,49.5,56.5,400.1,-89.837,44.359,WISCONSIN RAPIDS,WI
110,04836,50.1,56.3,414.9,-68.307,47.286,FRENCHVILLE,ME
111,04838,52.4,62.6,350.8,-87.905,42.121,CHICAGO/PROSPECT HGTS/WHEELI,IL
112,04839,51.0,61.5,345.3,-86.097,42.746,HOLLAND,MI
113,04840,50.6,59.1,376.1,-88.486,43.770,FOND DU LAC,WI
114,04841,51.1,58.3,397.6,-87.851,43.769,SHEBOYGAN,WI
115,04842,57.2,63.3,419.8,-81.887,40.875,WOOSTER,OH
116,04843,56.9,63.5,411.2,-80.215,41.626,MEADVILLE,PA
117,04845,50.8,60.7,353.9,-87.938,42.595,KENOSHA,WI
118,04846,53.6,61.0,395.8,-87.006,41.453,VALPARAISO,IN
119,04847,55.4,61.9,411.8,-84.079,41.868,ADRIAN,MI
120,04848,56.5,66.5,356.3,-83.476,41.563,TOLEDO,OH
121,04849,57.8,62.9,437.7,-82.179,41.179,LORAIN/ELYRIA,OH
122,04850,54.1,62.8,374.8,-84.027,40.708,LIMA,OH
123,04851,54.2,62.7,377.9,-84.429,41.338,DEFIANCE,OH
124,04852,57.0,61.4,450.7,-81.420,40.470,NEW PHILADELPHIA,OH
125,04853,58.3,67.3,373.0,-81.684,41.518,CLEVELAND,OH
126,04854,49.2,56.4,397.0,-84.701,45.013,GAYLORD,MI
127,04855,56.5,62.5,421.1,-83.064,40.616,MARION,OH
128,04857,56.9,63.8,406.3,-80.696,41.778,ASHTABULA,OH
129,04858,57.0,63.5,413.1,-82.463,40.023,NEWARK,OH
131,12812,72.7,82.7,366.8,-81.991,26.917,PUNTA GORDA,FL
132,12815,72.1,81.3,377.9,-81.325,28.434,ORLANDO,FL
133,12816,67.5,80.7,320.0,-82.272,29.690,GAINESVILLE,FL
134,12818,70.8,80.7,366.8,-82.454,28.474,BROOKSVILLE,FL
135,12819,70.2,82.1,338.5,-81.810,28.821,LEESBURG,FL
136,12832,68.2,78.2,363.7,-85.033,29.733,APALACHICOLA,FL
137,12833,69.3,78.4,377.9,-83.105,29.550,CROSS CITY,FL
138,12834,72.1,80.2,394.6,-81.060,29.177,DAYTONA BEACH,FL
139,12835,73.0,83.1,365.6,-81.864,26.586,FORT MYERS,FL
140,12836,75.3,85.5,365.6,-81.754,24.553,KEY WEST,FL
141,12838,72.8,81.4,387.2,-80.646,28.103,MELBOURNE,FL
142,12839,73.6,83.8,364.4,-80.300,25.824,MIAMI,FL
143,12841,71.6,82.6,352.0,-81.333,28.545,ORLANDO,FL
144,12842,71.9,82.6,356.3,-82.540,27.961,TAMPA,FL
145,12843,72.8,80.9,395.2,-80.418,27.656,VERO BEACH,FL
146,12844,73.5,82.6,380.4,-80.099,26.685,WEST PALM BEACH,FL
147,12849,74.0,83.7,371.8,-80.154,26.072,FORT LAUDERDALE,FL
148,12850,74.6,85.9,349.6,-81.683,24.583,KEY WEST,FL
149,12854,71.2,81.7,358.8,-81.244,28.780,ORLANDO,FL
150,12871,72.7,82.1,375.5,-82.559,27.401,SARASOTA/BRADENTON,FL
151,12876,71.4,82.8,346.5,-81.754,28.062,WINTER HAVEN,FL
152,12882,73.8,83.8,367.4,-80.280,25.907,MIAMI,FL
153,12884,69.7,79.0,374.8,-89.408,29.350,BOOTHVILLE,LA
154,12885,73.5,83.9,361.3,-80.171,26.197,FORT LAUDERDALE,FL
155,12888,74.1,83.1,382.2,-80.433,25.648,MIAMI,FL
156,12894,72.6,82.5,368.1,-81.755,26.536,FORT MYERS,FL
157,12895,73.1,80.6,404.4,-80.377,27.498,FORT PIERCE,FL
158,12896,75.4,84.0,389.0,-81.052,24.726,MARATHON,FL
159,12897,74.6,82.4,400.7,-81.775,26.153,NAPLES,FL
160,12904,69.2,85.1,287.9,-97.654,26.228,HARLINGEN,TX
161,12912,66.9,83.3,279.9,-96.930,28.863,VICTORIA,TX
162,12916,66.2,78.4,331.7,-90.251,29.993,NEW ORLEANS,LA
163,12917,67.5,79.7,332.9,-94.021,29.951,BEAUMONT/PORT ARTHUR,TX
164,12918,65.5,82.9,267.6,-95.279,29.645,HOUSTON,TX
165,12919,70.9,84.2,320.6,-97.426,25.906,BROWNSVILLE,TX
166,12921,56.7,84.5,162.8,-98.464,29.533,SAN ANTONIO,TX
167,12924,67.2,83.9,276.8,-97.513,27.773,CORPUS CHRISTI,TX
168,12926,71.8,84.1,334.8,-97.283,27.700,CORPUS CHRISTI,TX
169,12928,68.0,83.8,287.9,-97.817,27.500,KINGSVILLE,TX
170,12932,65.5,84.8,247.2,-98.027,27.741,ALICE,TX
171,12935,70.9,81.8,352.7,-96.251,28.728,PALACIOS,TX
172,12946,67.3,87.0,244.8,-97.434,27.700,CORPUS CHRISTI,TX
173,12957,71.8,84.6,328.0,-97.346,26.166,PORT ISABEL,TX
174,12958,66.8,76.7,364.4,-90.033,29.833,NEW ORLEANS,LA
175,12959,67.1,87.8,234.3,-98.238,26.175,MC ALLEN,TX
176,12960,63.5,82.9,244.8,-95.364,29.993,HOUSTON,TX
177,12962,54.1,82.1,159.1,-99.174,29.359,HONDO,TX
178,12968,69.0,77.9,381.0,-91.526,29.562,SALT POINT,LA
179,12970,56.9,84.8,162.2,-98.471,29.337,SAN ANTONIO,TX
180,12971,56.3,81.4,184.4,-98.045,29.709,NEW BRAUNFELS,TX
181,12972,70.4,83.8,319.4,-97.046,28.084,ROCKPORT,TX
182,12975,66.3,81.3,295.9,-95.240,29.521,HOUSTON,TX
183,12976,67.1,82.3,294.7,-95.462,29.110,ANGLETON/LAKE JACKSON,TX
184,12977,64.6,82.2,264.5,-95.656,29.622,HOUSTON,TX
185,13721,64.6,71.8,405.0,-76.400,38.283,PATUXENT RIVER,MD
186,13722,63.2,73.5,356.3,-78.786,35.871,RALEIGH/DURHAM,NC
187,13723,60.3,71.2,345.9,-79.944,36.098,GREENSBORO,NC
