,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,38.7,64.5,160.9,-102.688,38.070,LAMAR,CO
1,03017,31.2,60.5,126.4,-104.658,39.833,DENVER,CO
2,03024,40.9,73.0,117.2,-101.394,35.700,BORGER,TX
3,03026,38.6,61.4,187.5,-102.284,39.245,BURLINGTON,CO
4,03027,24.0,59.8,78.4,-105.663,35.003,CLINES CORNERS,NM
5,03028,38.3,64.1,160.9,-102.614,37.283,SPRINGFIELD,CO
6,03029,14.5,56.5,39.5,-109.061,35.658,WINDOW ROCK,AZ
7,03030,43.9,69.9,164.6,-101.505,36.682,GUYMON,OK
8,03031,49.9,75.3,175.7,-102.387,31.921,ODESSA,TX
9,03032,58.7,77.3,248.5,-102.213,30.048,DRYDEN,TX
10,03068,28.9,57.5,129.5,-104.300,38.767,BULLSEYE,CO
11,03102,50.8,68.7,249.1,-117.600,34.056,ONTARIO,CA
12,03103,19.4,53.4,83.9,-111.672,35.140,FLAGSTAFF,AZ
13,03104,39.8,82.0,61.1,-116.160,33.628,PALM SPRINGS,CA
14,03124,19.8,73.6,3.8,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
15,03131,53.3,63.8,347.1,-117.139,32.816,SAN DIEGO,CA
16,03144,36.8,80.9,50.6,-115.579,32.834,IMPERIAL,CA
17,03145,35.1,83.2,34.0,-114.617,32.650,YUMA,AZ
18,03159,35.4,70.8,91.3,-118.219,34.741,LANCASTER,CA
19,03160,15.0,72.6,0.0,-116.028,36.621,MERCURY,NV
20,03162,19.5,72.8,5.0,-111.448,36.926,PAGE,AZ
21,03164,40.4,59.5,226.3,-116.467,32.617,CAMPO,CA
22,03166,53.8,69.4,278.7,-117.979,33.872,FULLERTON,CA
23,03167,52.8,64.4,330.5,-118.334,33.923,HAWTHORNE,CA
24,03170,18.1,53.6,74.0,-116.006,39.601,EUREKA,NV
25,03171,50.8,69.5,240.5,-117.439,33.952,RIVERSIDE,CA
26,03177,54.1,62.6,377.9,-117.279,33.128,CARLSBAD,CA
27,03178,54.0,62.6,376.7,-116.979,32.572,SAN DIEGO,CA
28,03179,51.7,67.8,270.7,-117.636,33.975,CHINO,CA
29,03184,21.3,80.6,0.0,-112.082,33.688,PHOENIX,AZ
30,03192,27.6,81.8,8.7,-111.911,33.623,SCOTTSDALE,AZ
31,03195,15.5,52.3,64.8,-112.155,35.946,GRAND CANYON,AZ
32,03196,18.9,72.2,5.0,-110.846,31.421,NOGALES,AZ
33,03749,53.6,65.4,328.0,-77.468,39.645,CAMP DAVID,MD
34,03757,59.1,71.5,324.3,-76.429,38.142,ST INIGOES,MD
35,03802,56.2,66.7,349.0,-80.229,39.296,CLARKSBURG,WV
36,03804,58.7,68.7,357.6,-81.439,39.345,PARKERSBURG,WV
37,03810,59.3,70.2,345.3,-81.390,35.741,HICKORY,NC
38,03812,57.3,67.1,360.0,-82.538,35.432,ASHEVILLE,NC
39,03813,60.4,74.2,306.4,-83.654,32.688,MACON,GA
40,03816,57.4,72.4,289.2,-88.774,37.056,PADUCAH,KY
41,03818,62.8,77.4,298.4,-85.184,30.836,MARIANNA,FL
42,03820,62.2,73.8,337.2,-81.965,33.370,AUGUSTA,GA
43,03822,64.5,75.9,341.6,-81.202,32.119,SAVANNAH,GA
44,03847,57.5,67.7,353.9,-85.085,35.951,CROSSVILLE,TN
45,03849,58.9,68.4,365.6,-84.077,37.087,LONDON,KY
46,03853,64.0,77.1,318.1,-81.417,30.400,MAYPORT,FL
47,03855,67.7,75.3,400.1,-87.317,30.350,PENSACOLA,FL
48,03856,60.6,73.9,313.2,-86.786,34.644,HUNTSVILLE,AL
49,03859,54.2,67.7,305.8,-81.208,37.296,BLUEFIELD,WV
50,03860,58.9,68.8,359.4,-82.555,38.382,HUNTINGTON,WV
51,03866,62.3,73.3,345.9,-88.567,32.550,MERIDIAN,MS
52,03868,54.4,70.5,273.1,-87.309,39.452,TERRE HAUTE,IN
53,03870,59.8,71.7,331.7,-82.219,34.899,GREER,SC
54,03872,54.5,65.6,339.1,-81.125,37.795,BECKLEY,WV
55,03878,62.7,72.9,357.6,-86.012,31.861,TROY,AL
56,03887,52.6,68.7,271.9,-88.866,39.984,DECATUR,IL
57,03888,60.3,72.7,324.9,-84.521,33.779,ATLANTA,GA
58,03889,58.2,69.1,344.6,-83.314,37.591,JACKSON,KY
59,03893,56.0,68.6,318.7,-86.617,39.144,BLOOMINGTON,IN
60,03894,60.0,71.4,338.5,-87.415,36.622,CLARKSVILLE,TN
61,03901,64.1,76.1,332.9,-94.711,32.385,LONGVIEW,TX
62,03902,63.4,82.8,244.2,-97.822,31.070,FORT HOOD/KILLEEN,TX
63,03904,65.3,78.5,318.1,-96.364,30.588,COLLEGE STATION,TX
64,03919,52.2,71.9,231.2,-97.661,38.813,SALINA,KS
65,03927,61.4,77.9,274.4,-97.041,32.896,DALLAS-FORT WORTH,TX
66,03928,55.1,72.8,255.3,-97.429,37.647,WICHITA,KS
67,03931,64.0,76.4,327.4,-93.192,31.045,FORT POLK,LA
68,03932,54.5,74.2,233.1,-99.200,35.340,CLINTON,OK
69,03933,63.5,79.5,281.8,-97.713,31.134,FORT HOOD (KILLEEN),TX
70,03935,56.9,72.0,287.3,-89.571,37.225,CAPE GIRARDEAU,MO
71,03936,53.0,70.5,255.9,-96.678,39.135,MANHATTAN,KS
72,03937,67.8,77.5,368.1,-93.228,30.125,LAKE CHARLES,LA
73,03940,63.2,75.3,331.1,-90.078,32.320,JACKSON,MS
74,03945,55.6,70.6,287.3,-92.218,38.817,COLUMBIA,MO
75,03947,54.7,69.6,287.9,-94.718,39.299,KANSAS CITY,MO
76,03949,64.2,76.3,331.7,-93.283,31.400,FORT POLK,LA
77,03950,58.3,66.2,390.3,-98.416,34.568,LAWTON,OK
78,03953,58.4,75.0,270.7,-90.646,35.831,JONESBORO,AR
79,03954,58.5,73.1,294.7,-97.647,35.534,OKLAHOMA CITY,OK
80,03957,53.6,73.0,235.5,-98.553,37.284,MEDICINE LODGE,KS
81,03959,59.6,71.6,329.8,-96.011,36.762,BARTLESVILLE,OK
82,03960,55.2,71.8,268.2,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
83,03962,59.3,65.5,419.2,-93.096,34.478,HOT SPRINGS,AR
84,03963,54.9,71.8,264.5,-92.156,38.591,JEFFERSON CITY,MO
85,03965,56.9,73.5,269.4,-97.086,36.160,STILLWATER,OK
86,03966,56.2,70.6,295.3,-90.656,38.657,ST LOUIS,MO
87,03967,55.0,69.9,288.5,-94.739,38.850,OLATHE,KS
88,03971,61.1,77.8,271.9,-96.868,32.681,DALLAS,TX
89,03974,54.7,71.1,270.1,-97.219,37.750,WICHITA,KS
90,03975,57.1,73.8,268.8,-90.325,36.773,POPLAR BLUFF,MO
91,03991,60.2,75.9,283.0,-97.199,33.206,DENTON,TX
92,03994,56.7,71.9,286.1,-93.183,38.704,SEDALIA,MO
93,03996,64.6,74.6,361.9,-91.030,32.348,TALLULAH/VICKSBURG,MS
94,03997,55.4,70.2,289.8,-95.212,39.008,LAWRENCE,KS
95,03998,58.5,71.9,310.1,-95.504,37.328,PARSONS,KS
96,03999,61.8,76.4,297.8,-98.235,30.741,BURNET,TX
97,04109,41.0,55.9,276.2,-115.596,46.144,ELK CITY,ID
98,04110,31.0,55.7,162.8,-114.456,42.727,JEROME,ID
99,04111,23.1,50.6,132.0,-111.031,41.273,EVANSTON,WY
100,04112,25.4,41.9,241.7,-114.927,44.171,STANLEY,ID
101,04113,37.8,58.5,207.2,-119.261,45.826,HERMISTON,OR
102,04114,25.5,51.5,146.2,-114.215,41.523,CHALLIS,ID
103,04134,23.7,62.4,62.9,-113.351,40.161,DUGWAY PROVING GROUND,UT
104,04201,43.1,54.9,320.6,-122.861,45.773,SCAPPOOSE,OR
105,04724,48.7,62.5,297.2,-78.945,43.107,NIAGARA FALLS,NY
106,04725,50.0,61.6,328.6,-75.981,42.208,BINGHAMTON,NY
107,04726,52.0,62.6,344.6,-78.834,40.301,JOHNSTOWN,PA
108,04751,48.7,60.7,321.8,-78.640,41.803,BRADFORD,PA
109,04780,51.2,62.3,336.6,-71.756,42.552,FITCHBURG,MA
110,04781,53.0,62.7,358.8,-73.102,40.794,ISLIP,NY
111,04787,51.8,63.0,335.4,-78.899,41.178,DU BOIS,PA
112,04789,54.0,63.6,360.7,-74.265,41.509,MONTGOMERY,NY
113,04803,43.1,56.3,300.9,-89.465,45.631,RHINELANDER,WI
114,04804,54.3,67.6,308.3,-83.078,40.078,COLUMBUS,OH
115,04808,48.3,63.8,275.0,-88.481,41.770,CHICAGO/AURORA,IL
116,04826,46.2,60.7,286.1,-89.837,44.359,WISCONSIN RAPIDS,WI
117,04836,40.6,52.2,321.2,-68.307,47.286,FRENCHVILLE,ME
118,04838,47.5,63.7,266.4,-87.905,42.121,CHICAGO/PROSPECT HGTS/WHEELI,IL
119,04839,48.8,63.8,281.8,-86.097,42.746,HOLLAND,MI
120,04840,47.3,61.7,288.5,-88.486,43.770,FOND DU LAC,WI
121,04841,47.4,59.2,323.7,-87.851,43.769,SHEBOYGAN,WI
122,04842,52.8,64.5,329.2,-81.887,40.875,WOOSTER,OH
123,04843,51.7,63.5,326.8,-80.215,41.626,MEADVILLE,PA
124,04845,46.2,61.1,281.1,-87.938,42.595,KENOSHA,WI
125,04846,48.5,64.5,269.4,-87.006,41.453,VALPARAISO,IN
126,04847,49.9,64.4,289.2,-84.079,41.868,ADRIAN,MI
127,04848,51.0,65.9,284.8,-83.476,41.563,TOLEDO,OH
128,04849,50.6,64.6,295.9,-82.179,41.179,LORAIN/ELYRIA,OH
129,04850,49.2,67.1,247.9,-84.027,40.708,LIMA,OH
130,04851,49.8,66.8,259.0,-84.429,41.338,DEFIANCE,OH
131,04852,53.1,66.8,302.1,-81.420,40.470,NEW PHILADELPHIA,OH
132,04853,52.4,66.0,302.7,-81.684,41.518,CLEVELAND,OH
133,04854,41.6,57.0,270.7,-84.701,45.013,GAYLORD,MI
134,04855,52.5,66.4,299.0,-83.064,40.616,MARION,OH
135,04857,51.5,62.1,344.0,-80.696,41.778,ASHTABULA,OH
136,04858,55.1,66.9,329.2,-82.463,40.023,NEWARK,OH
138,12812,67.1,80.0,323.1,-81.991,26.917,PUNTA GORDA,FL
139,12815,66.4,78.6,332.3,-81.325,28.434,ORLANDO,FL
