,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,22.6,31.1,357.6,-102.688,38.070,LAMAR,CO
1,03017,15.7,36.0,188.7,-104.658,39.833,DENVER,CO
2,03024,19.9,44.2,154.8,-101.394,35.700,BORGER,TX
3,03026,14.7,33.6,202.9,-102.284,39.245,BURLINGTON,CO
4,03027,19.1,32.8,272.5,-105.663,35.003,CLINES CORNERS,NM
5,03028,21.8,35.2,279.3,-102.614,37.283,SPRINGFIELD,CO
6,03029,13.9,31.1,222.0,-109.061,35.658,WINDOW ROCK,AZ
7,03030,21.3,40.4,207.8,-101.505,36.682,GUYMON,OK
8,03032,25.2,54.0,124.0,-102.213,30.048,DRYDEN,TX
9,03068,13.0,32.3,196.7,-104.300,38.767,BULLSEYE,CO
10,03102,28.9,57.2,131.4,-117.600,34.056,ONTARIO,CA
11,03103,14.9,34.3,197.9,-111.672,35.140,FLAGSTAFF,AZ
12,03104,26.0,56.1,116.0,-116.160,33.628,PALM SPRINGS,CA
13,03131,39.1,58.3,224.4,-117.139,32.816,SAN DIEGO,CA
14,03144,30.0,56.8,144.3,-115.579,32.834,IMPERIAL,CA
15,03145,24.2,60.5,75.9,-114.617,32.650,YUMA,AZ
16,03154,36.8,53.7,247.9,-117.350,33.300,CAMP PENDLETON,CA
17,03159,18.5,45.7,129.5,-118.219,34.741,LANCASTER,CA
18,03160,10.3,46.1,64.8,-116.028,36.621,MERCURY,NV
19,03162,18.3,40.2,175.7,-111.448,36.926,PAGE,AZ
20,03164,21.5,49.5,126.4,-116.467,32.617,CAMPO,CA
21,03166,40.0,65.1,168.3,-117.979,33.872,FULLERTON,CA
22,03167,39.6,60.5,207.2,-118.334,33.923,HAWTHORNE,CA
23,03170,12.2,31.1,200.4,-116.006,39.601,EUREKA,NV
24,03171,27.2,58.9,106.1,-117.439,33.952,RIVERSIDE,CA
25,03177,39.7,57.6,239.2,-117.279,33.128,CARLSBAD,CA
