,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,28.2,42.6,271.3,-102.688,38.070,LAMAR,CO
1,03016,21.6,38.4,234.9,-107.726,39.526,RIFLE,CO
2,03017,23.2,42.6,206.6,-104.658,39.833,DENVER,CO
3,03024,31.0,52.5,192.4,-101.394,35.700,BORGER,TX
4,03026,27.0,42.1,261.4,-102.284,39.245,BURLINGTON,CO
5,03027,19.9,42.3,172.0,-105.663,35.003,CLINES CORNERS,NM
6,03028,27.3,45.2,226.9,-102.614,37.283,SPRINGFIELD,CO
7,03029,15.7,38.3,165.9,-109.061,35.658,WINDOW ROCK,AZ
8,03030,31.2,48.5,238.0,-101.505,36.682,GUYMON,OK
9,03032,38.4,58.5,214.0,-102.213,30.048,DRYDEN,TX
10,03103,17.7,39.4,177.0,-111.672,35.140,FLAGSTAFF,AZ
11,03104,33.1,61.7,133.8,-116.160,33.628,PALM SPRINGS,CA
12,03144,30.8,64.4,97.5,-115.579,32.834,IMPERIAL,CA
13,03145,31.5,66.8,88.2,-114.617,32.650,YUMA,AZ
14,03159,21.4,50.6,117.2,-118.219,34.741,LANCASTER,CA
15,03160,16.2,51.2,75.3,-116.028,36.621,MERCURY,NV
16,03166,42.6,62.4,221.4,-117.979,33.872,FULLERTON,CA
17,03167,45.1,62.6,248.5,-118.334,33.923,HAWTHORNE,CA
18,03170,12.5,35.7,157.3,-116.006,39.601,EUREKA,NV
19,03171,35.1,62.4,145.5,-117.439,33.952,RIVERSIDE,CA
20,03177,44.3,60.4,264.5,-117.279,33.128,CARLSBAD,CA
21,03178,41.6,60.7,227.5,-116.979,32.572,SAN DIEGO,CA
22,03179,39.3,59.4,214.6,-117.636,33.975,CHINO,CA
23,03184,24.0,65.5,50.0,-112.082,33.688,PHOENIX,AZ
24,03192,31.6,65.1,99.3,-111.911,33.623,SCOTTSDALE,AZ
25,03196,27.0,59.1,103.0,-110.846,31.421,NOGALES,AZ
26,03749,35.7,46.9,323.7,-77.468,39.645,CAMP DAVID,MD
27,03757,44.8,52.0,394.6,-76.429,38.142,ST INIGOES,MD
28,03802,36.7,48.1,321.2,-80.229,39.296,CLARKSBURG,WV
29,03804,36.2,48.8,303.3,-81.439,39.345,PARKERSBURG,WV
30,03810,41.6,52.2,337.2,-81.390,35.741,HICKORY,NC
31,03811,41.4,52.1,335.4,-88.917,35.593,JACKSON,TN
32,03812,38.6,49.0,337.9,-82.538,35.432,ASHEVILLE,NC
33,03813,46.8,55.6,368.7,-83.654,32.688,MACON,GA
34,03816,39.7,50.8,328.0,-88.774,37.056,PADUCAH,KY
35,03822,50.4,59.5,366.2,-81.202,32.119,SAVANNAH,GA
36,03847,37.1,49.0,314.4,-85.085,35.951,CROSSVILLE,TN
37,03849,38.0,48.0,343.4,-84.077,37.087,LONDON,KY
38,03853,54.8,65.0,352.0,-81.417,30.400,MAYPORT,FL
39,03855,50.5,60.5,352.7,-87.317,30.350,PENSACOLA,FL
40,03856,41.3,53.5,313.2,-86.786,34.644,HUNTSVILLE,AL
41,03859,34.8,49.0,279.9,-81.208,37.296,BLUEFIELD,WV
42,03860,36.6,49.0,306.4,-82.555,38.382,HUNTINGTON,WV
43,03866,44.1,54.0,349.6,-88.567,32.550,MERIDIAN,MS
44,03868,36.7,46.6,344.0,-87.309,39.452,TERRE HAUTE,IN
45,03870,42.8,53.7,333.5,-82.219,34.899,GREER,SC
46,03872,35.3,45.9,332.3,-81.125,37.795,BECKLEY,WV
47,03878,45.7,53.7,381.0,-86.012,31.861,TROY,AL
48,03882,50.6,61.7,336.0,-85.683,30.212,PANAMA CITY,FL
49,03887,38.3,47.1,363.1,-88.866,39.984,DECATUR,IL
50,03888,42.9,53.6,336.6,-84.521,33.779,ATLANTA,GA
51,03889,35.8,50.9,269.4,-83.314,37.591,JACKSON,KY
52,03893,36.0,46.8,329.8,-86.617,39.144,BLOOMINGTON,IN
53,03894,39.8,51.1,324.9,-87.415,36.622,CLARKSVILLE,TN
54,03901,49.1,58.6,359.4,-94.711,32.385,LONGVIEW,TX
