,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,20.1,42.6,171.4,-102.688,38.070,LAMAR,CO
1,03017,17.5,40.9,160.3,-104.658,39.833,DENVER,CO
2,03024,19.9,48.9,117.2,-101.394,35.700,BORGER,TX
3,03026,19.6,39.7,194.9,-102.284,39.245,BURLINGTON,CO
4,03027,17.1,42.2,144.9,-105.663,35.003,CLINES CORNERS,NM
5,03028,18.5,41.8,162.2,-102.614,37.283,SPRINGFIELD,CO
6,03029,15.1,40.9,136.9,-109.061,35.658,WINDOW ROCK,AZ
7,03030,20.2,45.3,148.0,-101.505,36.682,GUYMON,OK
8,03031,25.8,56.7,109.8,-102.387,31.921,ODESSA,TX
9,03032,32.9,61.2,135.7,-102.213,30.048,DRYDEN,TX
10,03068,14.9,36.8,172.0,-104.300,38.767,BULLSEYE,CO
11,03102,42.8,63.5,212.1,-117.600,34.056,ONTARIO,CA
12,03103,16.3,40.2,154.8,-111.672,35.140,FLAGSTAFF,AZ
13,03104,32.7,67.3,93.8,-116.160,33.628,PALM SPRINGS,CA
14,03124,22.7,58.7,75.9,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
15,03144,33.6,67.9,96.2,-115.579,32.834,IMPERIAL,CA
16,03145,29.5,70.6,56.8,-114.617,32.650,YUMA,AZ
17,03154,47.2,58.4,332.3,-117.350,33.300,CAMP PENDLETON,CA
18,03159,31.9,55.5,173.3,-118.219,34.741,LANCASTER,CA
19,03160,18.3,56.1,62.3,-116.028,36.621,MERCURY,NV
20,03162,18.0,53.2,75.9,-111.448,36.926,PAGE,AZ
21,03164,33.5,52.8,217.7,-116.467,32.617,CAMPO,CA
22,03166,48.5,64.3,271.9,-117.979,33.872,FULLERTON,CA
23,03167,47.9,63.2,277.4,-118.334,33.923,HAWTHORNE,CA
24,03170,18.0,39.6,178.2,-116.006,39.601,EUREKA,NV
25,03171,41.5,63.3,199.8,-117.439,33.952,RIVERSIDE,CA
26,03177,49.3,60.4,335.4,-117.279,33.128,CARLSBAD,CA
27,03178,47.7,60.8,305.8,-116.979,32.572,SAN DIEGO,CA
28,03179,46.0,61.7,270.7,-117.636,33.975,CHINO,CA
29,03184,27.7,65.4,71.6,-112.082,33.688,PHOENIX,AZ
30,03192,30.2,66.1,83.9,-111.911,33.623,SCOTTSDALE,AZ
31,03195,14.7,38.0,158.5,-112.155,35.946,GRAND CANYON,AZ
32,03196,26.0,58.6,99.3,-110.846,31.421,NOGALES,AZ
33,03757,28.0,41.6,282.4,-76.429,38.142,ST INIGOES,MD
34,03802,23.1,37.9,261.4,-80.229,39.296,CLARKSBURG,WV
35,03810,27.9,46.8,216.4,-81.390,35.741,HICKORY,NC
36,03811,34.0,45.7,314.4,-88.917,35.593,JACKSON,TN
37,03812,29.8,43.8,278.7,-82.538,35.432,ASHEVILLE,NC
38,03813,40.1,52.9,304.0,-83.654,32.688,MACON,GA
39,03816,30.7,44.0,288.5,-88.774,37.056,PADUCAH,KY
40,03818,46.6,59.3,310.1,-85.184,30.836,MARIANNA,FL
41,03820,36.9,52.1,268.8,-81.965,33.370,AUGUSTA,GA
42,03822,43.3,56.6,299.6,-81.202,32.119,SAVANNAH,GA
43,03847,30.4,45.4,265.7,-85.085,35.951,CROSSVILLE,TN
44,03849,28.6,43.8,261.4,-84.077,37.087,LONDON,KY
45,03853,49.4,60.1,340.9,-81.417,30.400,MAYPORT,FL
46,03855,49.3,56.3,400.1,-87.317,30.350,PENSACOLA,FL
47,03856,36.7,49.8,296.6,-86.786,34.644,HUNTSVILLE,AL
48,03859,24.3,42.1,225.7,-81.208,37.296,BLUEFIELD,WV
49,03860,26.0,40.6,267.0,-82.555,38.382,HUNTINGTON,WV
