,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,32.7,55.5,181.9,-102.688,38.070,LAMAR,CO
1,03016,31.5,52.4,199.2,-107.726,39.526,RIFLE,CO
2,03017,29.1,55.3,148.0,-104.658,39.833,DENVER,CO
3,03024,38.2,63.5,164.6,-101.394,35.700,BORGER,TX
4,03026,34.0,54.1,209.6,-102.284,39.245,BURLINGTON,CO
5,03028,35.3,56.6,198.6,-102.614,37.283,SPRINGFIELD,CO
6,03029,32.2,50.5,227.5,-109.061,35.658,WINDOW ROCK,AZ
7,03030,37.2,61.1,176.4,-101.505,36.682,GUYMON,OK
8,03031,40.3,67.6,150.5,-102.387,31.921,ODESSA,TX
9,03032,44.0,71.1,156.0,-102.213,30.048,DRYDEN,TX
10,03068,26.9,50.6,167.7,-104.300,38.767,BULLSEYE,CO
11,03102,51.2,66.4,281.1,-117.600,34.056,ONTARIO,CA
12,03103,35.3,48.8,289.8,-111.672,35.140,FLAGSTAFF,AZ
13,03104,48.8,73.2,183.1,-116.160,33.628,PALM SPRINGS,CA
14,03124,43.7,66.0,197.3,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
15,03131,55.4,64.8,365.0,-117.139,32.816,SAN DIEGO,CA
16,03144,50.2,73.8,191.8,-115.579,32.834,IMPERIAL,CA
17,03145,45.9,76.7,130.7,-114.617,32.650,YUMA,AZ
18,03159,42.9,62.6,222.6,-118.219,34.741,LANCASTER,CA
19,03160,36.2,64.0,143.1,-116.028,36.621,MERCURY,NV
20,03162,37.6,59.8,192.4,-111.448,36.926,PAGE,AZ
21,03166,54.9,66.9,326.1,-117.979,33.872,FULLERTON,CA
22,03167,54.5,68.1,304.6,-118.334,33.923,HAWTHORNE,CA
23,03170,29.9,49.9,206.6,-116.006,39.601,EUREKA,NV
24,03177,55.3,65.9,346.5,-117.279,33.128,CARLSBAD,CA
25,03178,53.8,63.3,362.5,-116.979,32.572,SAN DIEGO,CA
26,03179,52.7,66.5,300.3,-117.636,33.975,CHINO,CA
27,03184,44.7,74.6,135.7,-112.082,33.688,PHOENIX,AZ
28,03192,48.1,75.0,161.6,-111.911,33.623,SCOTTSDALE,AZ
29,03195,34.5,48.9,277.4,-112.155,35.946,GRAND CANYON,AZ
30,03196,41.6,66.3,173.3,-110.846,31.421,NOGALES,AZ
31,03749,40.2,54.5,283.6,-77.468,39.645,CAMP DAVID,MD
32,03757,49.0,60.4,330.5,-76.429,38.142,ST INIGOES,MD
33,03802,41.6,53.9,312.0,-80.229,39.296,CLARKSBURG,WV
34,03804,41.3,55.9,280.5,-81.439,39.345,PARKERSBURG,WV
35,03810,45.5,61.7,264.5,-81.390,35.741,HICKORY,NC
36,03811,42.6,61.3,233.1,-88.917,35.593,JACKSON,TN
37,03812,43.2,56.6,297.8,-82.538,35.432,ASHEVILLE,NC
38,03813,51.6,64.7,308.9,-83.654,32.688,MACON,GA
39,03816,41.9,60.0,238.6,-88.774,37.056,PADUCAH,KY
40,03818,52.6,70.3,253.4,-85.184,30.836,MARIANNA,FL
41,03820,50.0,63.3,305.2,-81.965,33.370,AUGUSTA,GA
42,03822,54.8,69.1,295.9,-81.202,32.119,SAVANNAH,GA
43,03847,41.5,57.6,262.0,-85.085,35.951,CROSSVILLE,TN
44,03849,42.1,56.7,281.1,-84.077,37.087,LONDON,KY
45,03853,57.9,74.6,269.4,-81.417,30.400,MAYPORT,FL
46,03855,56.2,69.7,307.0,-87.317,30.350,PENSACOLA,FL
47,03856,46.4,62.9,261.4,-86.786,34.644,HUNTSVILLE,AL
48,03859,39.1,57.3,234.9,-81.208,37.296,BLUEFIELD,WV
49,03860,42.2,58.0,266.4,-82.555,38.382,HUNTINGTON,WV
50,03866,47.5,65.0,250.9,-88.567,32.550,MERIDIAN,MS
51,03868,39.6,55.8,259.0,-87.309,39.452,TERRE HAUTE,IN
52,03870,47.1,63.3,265.7,-82.219,34.899,GREER,SC
53,03872,39.8,55.0,271.3,-81.125,37.795,BECKLEY,WV
54,03878,52.2,64.9,315.0,-86.012,31.861,TROY,AL
55,03887,40.2,56.8,254.6,-88.866,39.984,DECATUR,IL
56,03888,47.8,62.8,281.1,-84.521,33.779,ATLANTA,GA
57,03889,40.5,59.5,227.5,-83.314,37.591,JACKSON,KY
58,03893,39.2,56.2,249.1,-86.617,39.144,BLOOMINGTON,IN
59,03894,41.0,60.1,226.9,-87.415,36.622,CLARKSVILLE,TN
60,03901,49.6,67.4,249.1,-94.711,32.385,LONGVIEW,TX
61,03902,51.8,73.2,214.0,-97.822,31.070,FORT HOOD/KILLEEN,TX
62,03904,52.4,71.7,235.5,-96.364,30.588,COLLEGE STATION,TX
63,03919,41.1,59.7,232.5,-97.661,38.813,SALINA,KS
64,03927,48.5,68.8,221.4,-97.041,32.896,DALLAS-FORT WORTH,TX
65,03928,43.4,62.3,231.2,-97.429,37.647,WICHITA,KS
66,03931,50.7,70.5,228.8,-93.192,31.045,FORT POLK,LA
67,03932,42.3,65.2,190.5,-99.200,35.340,CLINTON,OK
68,03933,49.2,72.3,194.9,-97.713,31.134,FORT HOOD (KILLEEN),TX
69,03935,42.5,58.6,262.7,-89.571,37.225,CAPE GIRARDEAU,MO
70,03936,41.6,58.2,255.9,-96.678,39.135,MANHATTAN,KS
71,03937,55.2,70.6,282.4,-93.228,30.125,LAKE CHARLES,LA
72,03940,48.4,67.0,239.2,-90.078,32.320,JACKSON,MS
73,03945,42.6,58.3,267.6,-92.218,38.817,COLUMBIA,MO
74,03947,42.8,58.6,267.0,-94.718,39.299,KANSAS CITY,MO
75,03949,50.9,68.9,248.5,-93.283,31.400,FORT POLK,LA
76,03950,46.4,63.3,256.5,-98.416,34.568,LAWTON,OK
77,03953,42.4,63.9,203.5,-90.646,35.831,JONESBORO,AR
78,03954,44.1,64.0,221.4,-97.647,35.534,OKLAHOMA CITY,OK
79,03957,42.8,60.8,241.1,-98.553,37.284,MEDICINE LODGE,KS
80,03959,45.5,60.2,283.0,-96.011,36.762,BARTLESVILLE,OK
81,03960,41.8,58.0,260.8,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
82,03962,45.4,64.4,232.5,-93.096,34.478,HOT SPRINGS,AR
83,03963,43.9,59.7,267.6,-92.156,38.591,JEFFERSON CITY,MO
84,03965,44.9,62.7,244.8,-97.086,36.160,STILLWATER,OK
85,03966,42.9,58.5,269.4,-90.656,38.657,ST LOUIS,MO
86,03967,42.9,59.6,255.9,-94.739,38.850,OLATHE,KS
87,03971,48.5,68.7,222.6,-96.868,32.681,DALLAS,TX
88,03974,42.1,63.4,205.3,-97.219,37.750,WICHITA,KS
89,03975,44.3,60.6,262.0,-90.325,36.773,POPLAR BLUFF,MO
90,03991,49.1,64.2,281.1,-97.199,33.206,DENTON,TX
91,03994,43.1,60.7,245.4,-93.183,38.704,SEDALIA,MO
92,03996,47.6,65.4,247.2,-91.030,32.348,TALLULAH/VICKSBURG,MS
93,03997,43.5,57.7,287.9,-95.212,39.008,LAWRENCE,KS
94,03998,45.1,60.2,277.4,-95.504,37.328,PARSONS,KS
95,03999,48.1,67.7,228.1,-98.235,30.741,BURNET,TX
96,04109,45.8,53.0,395.2,-115.596,46.144,ELK CITY,ID
97,04110,34.2,52.3,231.8,-114.456,42.727,JEROME,ID
98,04111,27.2,46.0,217.0,-111.031,41.273,EVANSTON,WY
99,04112,27.7,41.2,283.6,-114.927,44.171,STANLEY,ID
100,04113,41.9,52.6,335.4,-119.261,45.826,HERMISTON,OR
101,04114,31.9,47.1,264.5,-114.215,41.523,CHALLIS,ID
102,04201,46.9,52.7,420.5,-122.861,45.773,SCAPPOOSE,OR
103,04724,41.9,51.0,360.7,-78.945,43.107,NIAGARA FALLS,NY
104,04725,38.3,49.0,332.9,-75.981,42.208,BINGHAMTON,NY
105,04726,38.5,50.3,316.9,-78.834,40.301,JOHNSTOWN,PA
106,04751,37.8,45.7,377.9,-78.640,41.803,BRADFORD,PA
107,04780,40.7,51.2,337.9,-71.756,42.552,FITCHBURG,MA
108,04781,43.5,55.8,313.2,-73.102,40.794,ISLIP,NY
109,04787,40.0,50.0,345.3,-78.899,41.178,DU BOIS,PA
110,04789,42.7,52.0,358.2,-74.265,41.509,MONTGOMERY,NY
111,04803,35.5,46.5,326.1,-89.465,45.631,RHINELANDER,WI
112,04804,41.0,55.1,286.7,-83.078,40.078,COLUMBUS,OH
113,04808,39.0,52.8,289.2,-88.481,41.770,CHICAGO/AURORA,IL
