,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,45.2,79.7,106.1,-102.688,38.070,LAMAR,CO
1,03017,35.8,74.9,72.2,-104.658,39.833,DENVER,CO
2,03024,52.9,81.9,150.5,-101.394,35.700,BORGER,TX
3,03026,47.3,75.7,149.2,-102.284,39.245,BURLINGTON,CO
4,03027,30.1,71.8,54.9,-105.663,35.003,CLINES CORNERS,NM
5,03028,46.0,77.0,129.5,-102.614,37.283,SPRINGFIELD,CO
6,03029,18.5,66.9,19.2,-109.061,35.658,WINDOW ROCK,AZ
7,03030,54.7,80.4,177.6,-101.505,36.682,GUYMON,OK
8,03032,58.3,85.9,165.9,-102.213,30.048,DRYDEN,TX
9,03102,51.6,72.6,217.7,-117.600,34.056,ONTARIO,CA
10,03103,24.0,63.7,58.6,-111.672,35.140,FLAGSTAFF,AZ
11,03104,41.1,87.4,45.7,-116.160,33.628,PALM SPRINGS,CA
12,03124,31.3,81.8,22.3,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
13,03131,55.0,65.8,343.4,-117.139,32.816,SAN DIEGO,CA
14,03144,39.0,88.0,34.0,-115.579,32.834,IMPERIAL,CA
15,03145,38.8,90.4,24.7,-114.617,32.650,YUMA,AZ
16,03154,54.2,65.0,342.8,-117.350,33.300,CAMP PENDLETON,CA
17,03159,35.6,76.3,64.2,-118.219,34.741,LANCASTER,CA
18,03160,17.4,80.7,0.0,-116.028,36.621,MERCURY,NV
19,03162,21.6,83.3,0.0,-111.448,36.926,PAGE,AZ
20,03164,40.1,64.3,176.4,-116.467,32.617,CAMPO,CA
21,03166,55.1,71.7,268.2,-117.979,33.872,FULLERTON,CA
22,03167,54.1,66.4,321.8,-118.334,33.923,HAWTHORNE,CA
23,03170,19.0,63.4,34.0,-116.006,39.601,EUREKA,NV
24,03171,52.2,72.7,223.2,-117.439,33.952,RIVERSIDE,CA
25,03177,56.0,64.3,382.2,-117.279,33.128,CARLSBAD,CA
26,03178,55.8,64.6,374.2,-116.979,32.572,SAN DIEGO,CA
27,03179,52.7,71.0,246.6,-117.636,33.975,CHINO,CA
28,03184,30.4,89.2,0.0,-112.082,33.688,PHOENIX,AZ
29,03192,35.9,91.0,12.4,-111.911,33.623,SCOTTSDALE,AZ
30,03195,17.2,62.0,30.9,-112.155,35.946,GRAND CANYON,AZ
31,03196,33.8,81.4,34.6,-110.846,31.421,NOGALES,AZ
32,03757,60.2,76.4,276.8,-76.429,38.142,ST INIGOES,MD
33,03802,55.4,66.7,336.6,-80.229,39.296,CLARKSBURG,WV
34,03810,60.0,73.5,310.1,-81.390,35.741,HICKORY,NC
35,03812,58.5,70.7,326.1,-82.538,35.432,ASHEVILLE,NC
36,03813,62.9,77.1,303.3,-83.654,32.688,MACON,GA
37,03816,57.6,76.3,246.6,-88.774,37.056,PADUCAH,KY
38,03818,66.6,79.3,325.5,-85.184,30.836,MARIANNA,FL
39,03820,63.7,74.7,346.5,-81.965,33.370,AUGUSTA,GA
40,03822,66.2,77.4,345.9,-81.202,32.119,SAVANNAH,GA
41,03847,57.0,70.9,302.7,-85.085,35.951,CROSSVILLE,TN
42,03849,57.6,77.5,234.3,-84.077,37.087,LONDON,KY
43,03853,66.6,96.6,156.0,-81.417,30.400,MAYPORT,FL
44,03855,71.2,78.4,408.1,-87.317,30.350,PENSACOLA,FL
45,03856,60.2,78.3,255.3,-86.786,34.644,HUNTSVILLE,AL
46,03859,54.2,70.1,275.6,-81.208,37.296,BLUEFIELD,WV
47,03860,58.2,72.7,295.9,-82.555,38.382,HUNTINGTON,WV
48,03868,55.1,74.3,239.2,-87.309,39.452,TERRE HAUTE,IN
49,03870,60.5,75.6,290.4,-82.219,34.899,GREER,SC
50,03872,54.3,67.2,313.8,-81.125,37.795,BECKLEY,WV
51,03878,66.4,76.5,361.3,-86.012,31.861,TROY,AL
52,03887,56.6,71.6,288.5,-88.866,39.984,DECATUR,IL
53,03888,62.1,75.9,307.7,-84.521,33.779,ATLANTA,GA
54,03889,57.0,72.8,279.3,-83.314,37.591,JACKSON,KY
55,03893,55.4,72.2,265.7,-86.617,39.144,BLOOMINGTON,IN
56,03894,58.7,75.3,271.3,-87.415,36.622,CLARKSVILLE,TN
57,03901,68.3,82.1,312.6,-94.711,32.385,LONGVIEW,TX
58,03902,65.5,86.0,234.9,-97.822,31.070,FORT HOOD/KILLEEN,TX
59,03904,69.3,84.3,298.4,-96.364,30.588,COLLEGE STATION,TX
60,03919,59.2,80.3,223.8,-97.661,38.813,SALINA,KS
61,03927,65.7,84.3,254.6,-97.041,32.896,DALLAS-FORT WORTH,TX
62,03928,60.2,79.7,240.5,-97.429,37.647,WICHITA,KS
