,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03017,40.2,58.0,240.5,-104.658,39.833,DENVER,CO
1,03028,44.9,61.3,261.4,-102.614,37.283,SPRINGFIELD,CO
2,03029,30.7,54.6,169.6,-109.061,35.658,WINDOW ROCK,AZ
3,03032,58.6,81.5,205.9,-102.213,30.048,DRYDEN,TX
4,03103,23.1,53.1,113.5,-111.672,35.140,FLAGSTAFF,AZ
5,03159,29.5,69.4,62.3,-118.219,34.741,LANCASTER,CA
6,03160,17.2,72.3,0.0,-116.028,36.621,MERCURY,NV
7,03170,20.7,54.6,85.7,-116.006,39.601,EUREKA,NV
8,03178,49.3,61.0,326.8,-116.979,32.572,SAN DIEGO,CA
9,03804,51.0,65.8,286.1,-81.439,39.345,PARKERSBURG,WV
10,03810,49.4,67.4,247.2,-81.390,35.741,HICKORY,NC
11,03811,56.4,70.9,294.7,-88.917,35.593,JACKSON,TN
12,03812,47.7,63.5,271.3,-82.538,35.432,ASHEVILLE,NC
13,03813,52.4,71.2,241.1,-83.654,32.688,MACON,GA
14,03816,56.3,70.5,298.4,-88.774,37.056,PADUCAH,KY
15,03820,54.3,70.5,271.9,-81.965,33.370,AUGUSTA,GA
16,03822,58.4,72.3,304.0,-81.202,32.119,SAVANNAH,GA
17,03847,49.8,65.8,270.7,-85.085,35.951,CROSSVILLE,TN
18,03849,52.3,67.9,277.4,-84.077,37.087,LONDON,KY
19,03856,53.1,72.4,236.2,-86.786,34.644,HUNTSVILLE,AL
20,03859,47.3,65.8,239.2,-81.208,37.296,BLUEFIELD,WV
21,03860,52.8,67.0,295.3,-82.555,38.382,HUNTINGTON,WV
22,03866,57.4,72.7,285.5,-88.567,32.550,MERIDIAN,MS
23,03870,50.0,68.7,239.8,-82.219,34.899,GREER,SC
24,03872,48.6,62.3,298.4,-81.125,37.795,BECKLEY,WV
25,03889,50.3,68.2,249.1,-83.314,37.591,JACKSON,KY
26,03894,55.1,69.9,289.8,-87.415,36.622,CLARKSVILLE,TN
27,03901,62.8,73.2,354.5,-94.711,32.385,LONGVIEW,TX
28,03904,64.0,75.4,341.6,-96.364,30.588,COLLEGE STATION,TX
29,03927,63.1,74.6,339.1,-97.041,32.896,DALLAS-FORT WORTH,TX
30,03928,58.6,68.2,363.7,-97.429,37.647,WICHITA,KS
31,03935,57.3,70.2,315.7,-89.571,37.225,CAPE GIRARDEAU,MO
32,03937,63.8,75.5,337.2,-93.228,30.125,LAKE CHARLES,LA
33,03940,59.7,73.3,308.9,-90.078,32.320,JACKSON,MS
34,03945,57.0,69.3,323.7,-92.218,38.817,COLUMBIA,MO
35,03947,56.8,68.2,336.0,-94.718,39.299,KANSAS CITY,MO
36,03950,61.8,71.3,367.4,-98.416,34.568,LAWTON,OK
37,03957,57.7,68.4,347.1,-98.553,37.284,MEDICINE LODGE,KS
38,03996,61.9,72.3,353.9,-91.030,32.348,TALLULAH/VICKSBURG,MS
39,04725,38.7,58.5,217.7,-75.981,42.208,BINGHAMTON,NY
40,04751,39.7,55.4,265.1,-78.640,41.803,BRADFORD,PA
41,04781,46.7,60.7,292.9,-73.102,40.794,ISLIP,NY
44,12815,58.5,76.1,259.6,-81.325,28.434,ORLANDO,FL
45,12816,57.5,72.6,287.9,-82.272,29.690,GAINESVILLE,FL
46,12833,57.1,78.0,223.8,-83.105,29.550,CROSS CITY,FL
47,12834,60.0,74.0,304.0,-81.060,29.177,DAYTONA BEACH,FL
48,12835,62.3,77.7,287.9,-81.864,26.586,FORT MYERS,FL
49,12836,67.3,80.0,326.1,-81.754,24.553,KEY WEST,FL
50,12839,64.5,78.6,305.8,-80.300,25.824,MIAMI,FL
51,12842,60.5,78.0,262.7,-82.540,27.961,TAMPA,FL
52,12843,61.8,76.6,295.3,-80.418,27.656,VERO BEACH,FL
53,12844,64.7,78.1,315.0,-80.099,26.685,WEST PALM BEACH,FL
54,12849,63.5,79.1,286.7,-80.154,26.072,FORT LAUDERDALE,FL
55,12884,66.0,75.0,377.3,-89.408,29.350,BOOTHVILLE,LA
56,12897,63.8,78.5,297.8,-81.775,26.153,NAPLES,FL
57,12912,67.7,76.0,389.0,-96.930,28.863,VICTORIA,TX
58,12916,62.4,75.5,316.9,-90.251,29.993,NEW ORLEANS,LA
59,12917,65.0,76.3,343.4,-94.021,29.951,BEAUMONT/PORT ARTHUR,TX
60,12918,66.0,76.9,349.6,-95.279,29.645,HOUSTON,TX
61,12919,69.4,78.9,371.8,-97.426,25.906,BROWNSVILLE,TX
62,12921,65.4,75.5,360.7,-98.464,29.533,SAN ANTONIO,TX
63,12924,69.3,77.0,399.5,-97.513,27.773,CORPUS CHRISTI,TX
64,12932,68.1,77.9,366.8,-98.027,27.741,ALICE,TX
65,12935,67.6,77.3,368.1,-96.251,28.728,PALACIOS,TX
66,12947,67.0,77.1,361.9,-99.220,28.458,COTULLA,TX
67,12959,68.5,81.4,324.3,-98.238,26.175,MC ALLEN,TX
68,12960,65.6,76.4,350.8,-95.364,29.993,HOUSTON,TX
69,12962,64.9,74.2,372.4,-99.174,29.359,HONDO,TX
70,12970,64.8,75.3,354.5,-98.471,29.337,SAN ANTONIO,TX
71,12971,64.4,75.3,348.3,-98.045,29.709,NEW BRAUNFELS,TX
72,13721,52.0,65.6,302.7,-76.400,38.283,PATUXENT RIVER,MD
73,13722,53.2,68.2,285.5,-78.786,35.871,RALEIGH/DURHAM,NC
74,13723,50.9,67.9,259.6,-79.944,36.098,GREENSBORO,NC
75,13728,53.0,65.9,312.6,-79.336,36.573,DANVILLE,VA
