,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,40.1,66.8,155.4,-102.688,38.070,LAMAR,CO
1,03017,33.9,66.3,107.9,-104.658,39.833,DENVER,CO
2,03024,49.0,73.5,182.5,-101.394,35.700,BORGER,TX
3,03026,39.5,65.0,164.6,-102.284,39.245,BURLINGTON,CO
4,03028,40.4,66.5,160.3,-102.614,37.283,SPRINGFIELD,CO
5,03029,35.0,60.3,161.6,-109.061,35.658,WINDOW ROCK,AZ
6,03030,46.8,70.3,189.3,-101.505,36.682,GUYMON,OK
7,03031,53.0,75.2,207.2,-102.387,31.921,ODESSA,TX
8,03032,54.9,80.1,181.9,-102.213,30.048,DRYDEN,TX
9,03102,51.3,81.4,140.6,-117.600,34.056,ONTARIO,CA
10,03103,38.9,58.9,215.2,-111.672,35.140,FLAGSTAFF,AZ
11,03104,55.2,87.9,127.0,-116.160,33.628,PALM SPRINGS,CA
12,03124,48.7,73.9,176.4,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
13,03131,60.8,76.1,287.9,-117.139,32.816,SAN DIEGO,CA
14,03144,55.6,89.6,119.0,-115.579,32.834,IMPERIAL,CA
15,03145,57.8,90.0,132.6,-114.617,32.650,YUMA,AZ
16,03154,58.1,72.3,299.6,-117.350,33.300,CAMP PENDLETON,CA
17,03159,38.8,78.2,73.4,-118.219,34.741,LANCASTER,CA
18,03160,32.9,78.9,39.5,-116.028,36.621,MERCURY,NV
19,03162,39.1,75.8,87.6,-111.448,36.926,PAGE,AZ
20,03164,45.5,73.2,152.9,-116.467,32.617,CAMPO,CA
21,03166,59.1,80.5,220.7,-117.979,33.872,FULLERTON,CA
22,03167,59.7,74.0,299.6,-118.334,33.923,HAWTHORNE,CA
23,03170,32.0,62.7,117.8,-116.006,39.601,EUREKA,NV
24,03171,52.4,81.3,150.5,-117.439,33.952,RIVERSIDE,CA
25,03177,62.8,73.3,353.3,-117.279,33.128,CARLSBAD,CA
26,03178,62.0,73.7,336.0,-116.979,32.572,SAN DIEGO,CA
27,03179,54.6,78.5,193.0,-117.636,33.975,CHINO,CA
28,03184,52.3,85.3,122.1,-112.082,33.688,PHOENIX,AZ
29,03192,52.4,86.3,116.6,-111.911,33.623,SCOTTSDALE,AZ
30,03195,36.6,58.8,191.2,-112.155,35.946,GRAND CANYON,AZ
31,03196,52.7,74.4,211.5,-110.846,31.421,NOGALES,AZ
32,03749,53.2,64.9,329.2,-77.468,39.645,CAMP DAVID,MD
33,03802,55.0,64.4,364.4,-80.229,39.296,CLARKSBURG,WV
34,03804,55.3,65.2,357.0,-81.439,39.345,PARKERSBURG,WV
35,03810,59.9,69.8,360.0,-81.390,35.741,HICKORY,NC
36,03812,57.9,67.2,368.1,-82.538,35.432,ASHEVILLE,NC
37,03813,63.8,75.2,340.9,-83.654,32.688,MACON,GA
38,03816,59.0,69.1,356.3,-88.774,37.056,PADUCAH,KY
39,03818,66.5,77.3,351.4,-85.184,30.836,MARIANNA,FL
40,03820,64.7,73.8,375.5,-81.965,33.370,AUGUSTA,GA
41,03822,67.1,77.0,365.0,-81.202,32.119,SAVANNAH,GA
42,03847,57.0,67.0,357.0,-85.085,35.951,CROSSVILLE,TN
43,03849,58.0,66.1,386.6,-84.077,37.087,LONDON,KY
44,03853,68.3,80.1,338.5,-81.417,30.400,MAYPORT,FL
45,03855,70.0,76.7,415.5,-87.317,30.350,PENSACOLA,FL
46,03856,60.4,71.5,342.8,-86.786,34.644,HUNTSVILLE,AL
47,03859,54.2,65.6,334.2,-81.208,37.296,BLUEFIELD,WV
48,03860,56.6,66.7,355.1,-82.555,38.382,HUNTINGTON,WV
49,03866,64.5,73.8,371.8,-88.567,32.550,MERIDIAN,MS
50,03868,54.2,65.4,337.2,-87.309,39.452,TERRE HAUTE,IN
51,03870,61.4,72.0,350.8,-82.219,34.899,GREER,SC
52,03872,53.9,63.5,360.7,-81.125,37.795,BECKLEY,WV
53,03878,64.4,74.1,366.2,-86.012,31.861,TROY,AL
54,03887,54.1,65.6,332.9,-88.866,39.984,DECATUR,IL
55,03888,61.7,72.5,348.3,-84.521,33.779,ATLANTA,GA
56,03889,56.8,66.5,361.3,-83.314,37.591,JACKSON,KY
57,03893,55.9,64.4,379.2,-86.617,39.144,BLOOMINGTON,IN
58,03894,59.6,69.1,366.2,-87.415,36.622,CLARKSVILLE,TN
59,03901,65.2,77.7,327.4,-94.711,32.385,LONGVIEW,TX
60,03902,61.9,80.2,254.6,-97.822,31.070,FORT HOOD/KILLEEN,TX
61,03904,65.1,80.9,285.5,-96.364,30.588,COLLEGE STATION,TX
62,03919,51.2,68.9,252.2,-97.661,38.813,SALINA,KS
63,03927,58.8,80.0,222.0,-97.041,32.896,DALLAS-FORT WORTH,TX
64,03928,53.9,71.8,252.2,-97.429,37.647,WICHITA,KS
65,03931,66.2,77.8,340.3,-93.192,31.045,FORT POLK,LA
66,03932,54.1,75.1,219.5,-99.200,35.340,CLINTON,OK
67,03935,59.5,68.2,377.9,-89.571,37.225,CAPE GIRARDEAU,MO
68,03936,53.4,66.2,314.4,-96.678,39.135,MANHATTAN,KS
69,03937,69.8,79.6,368.1,-93.228,30.125,LAKE CHARLES,LA
70,03940,65.5,75.8,358.2,-90.078,32.320,JACKSON,MS
71,03945,55.9,67.9,327.4,-92.218,38.817,COLUMBIA,MO
72,03947,52.4,67.5,283.6,-94.718,39.299,KANSAS CITY,MO
73,03949,66.3,77.2,349.6,-93.283,31.400,FORT POLK,LA
74,03950,56.4,76.4,231.8,-98.416,34.568,LAWTON,OK
75,03953,61.2,73.4,328.6,-90.646,35.831,JONESBORO,AR
76,03954,56.4,75.1,245.4,-97.647,35.534,OKLAHOMA CITY,OK
77,03957,51.2,72.3,215.8,-98.553,37.284,MEDICINE LODGE,KS
78,03960,56.4,67.1,345.9,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
79,03962,62.4,75.0,323.7,-93.096,34.478,HOT SPRINGS,AR
80,03963,54.6,68.1,305.8,-92.156,38.591,JEFFERSON CITY,MO
81,03965,54.2,75.5,217.0,-97.086,36.160,STILLWATER,OK
82,03966,56.5,66.7,353.3,-90.656,38.657,ST LOUIS,MO
83,03967,53.3,68.2,286.7,-94.739,38.850,OLATHE,KS
84,03971,59.1,80.7,218.3,-96.868,32.681,DALLAS,TX
85,03974,53.9,70.8,263.3,-97.219,37.750,WICHITA,KS
86,03981,55.3,77.2,212.1,-98.984,34.352,FREDERICK,OK
87,03991,58.6,77.4,246.6,-97.199,33.206,DENTON,TX
88,03994,55.6,69.1,306.4,-93.183,38.704,SEDALIA,MO
89,03996,65.9,74.9,377.3,-91.030,32.348,TALLULAH/VICKSBURG,MS
90,03997,53.4,66.7,307.7,-95.212,39.008,LAWRENCE,KS
91,03998,57.6,71.5,303.3,-95.504,37.328,PARSONS,KS
92,03999,59.3,78.5,242.9,-98.235,30.741,BURNET,TX
93,04109,45.3,61.7,261.4,-115.596,46.144,ELK CITY,ID
94,04110,35.0,64.4,129.5,-114.456,42.727,JEROME,ID
95,04111,27.2,59.5,102.4,-111.031,41.273,EVANSTON,WY
96,04112,24.0,50.4,141.2,-114.927,44.171,STANLEY,ID
97,04113,41.9,63.7,200.4,-119.261,45.826,HERMISTON,OR
98,04114,27.4,59.2,105.5,-114.215,41.523,CHALLIS,ID
99,04134,34.6,68.3,100.5,-113.351,40.161,DUGWAY PROVING GROUND,UT
100,04201,47.7,63.1,276.2,-122.861,45.773,SCAPPOOSE,OR
101,04724,51.0,61.7,342.2,-78.945,43.107,NIAGARA FALLS,NY
102,04725,50.6,59.3,373.0,-75.981,42.208,BINGHAMTON,NY
103,04726,51.3,59.6,379.8,-78.834,40.301,JOHNSTOWN,PA
104,04751,49.4,58.1,371.8,-78.640,41.803,BRADFORD,PA
105,04780,53.0,63.2,350.8,-71.756,42.552,FITCHBURG,MA
106,04781,57.7,66.3,378.5,-73.102,40.794,ISLIP,NY
107,04787,51.7,60.0,379.8,-78.899,41.178,DU BOIS,PA
108,04789,55.0,63.2,383.5,-74.265,41.509,MONTGOMERY,NY
109,04803,42.8,53.8,331.7,-89.465,45.631,RHINELANDER,WI
110,04804,53.1,64.1,339.1,-83.078,40.078,COLUMBUS,OH
111,04808,49.6,61.0,331.1,-88.481,41.770,CHICAGO/AURORA,IL
112,04826,45.0,58.1,303.3,-89.837,44.359,WISCONSIN RAPIDS,WI
113,04836,47.5,55.4,384.1,-68.307,47.286,FRENCHVILLE,ME
114,04838,50.4,63.1,313.2,-87.905,42.121,CHICAGO/PROSPECT HGTS/WHEELI,IL
115,04839,51.2,63.2,323.7,-86.097,42.746,HOLLAND,MI
116,04840,45.8,58.7,307.0,-88.486,43.770,FOND DU LAC,WI
117,04841,48.0,60.0,321.2,-87.851,43.769,SHEBOYGAN,WI
118,04842,52.4,60.3,387.2,-81.887,40.875,WOOSTER,OH
119,04843,52.5,61.6,367.4,-80.215,41.626,MEADVILLE,PA
120,04845,49.4,61.1,326.8,-87.938,42.595,KENOSHA,WI
121,04846,51.9,63.0,337.2,-87.006,41.453,VALPARAISO,IN
122,04847,50.6,58.6,384.1,-84.079,41.868,ADRIAN,MI
123,04848,52.6,63.0,347.7,-83.476,41.563,TOLEDO,OH
124,04849,52.7,61.8,368.1,-82.179,41.179,LORAIN/ELYRIA,OH
125,04850,51.9,63.3,332.9,-84.027,40.708,LIMA,OH
126,04851,52.4,63.2,341.6,-84.429,41.338,DEFIANCE,OH
127,04852,53.7,62.7,369.9,-81.420,40.470,NEW PHILADELPHIA,OH
128,04853,53.7,64.2,347.1,-81.684,41.518,CLEVELAND,OH
129,04854,46.3,55.9,355.7,-84.701,45.013,GAYLORD,MI
130,04855,52.9,61.5,376.1,-83.064,40.616,MARION,OH
131,04857,53.2,60.4,398.9,-80.696,41.778,ASHTABULA,OH
132,04858,54.3,62.9,376.7,-82.463,40.023,NEWARK,OH
