,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,14.1,27.9,266.4,-102.688,38.070,LAMAR,CO
1,03016,11.7,19.0,371.8,-107.726,39.526,RIFLE,CO
2,03017,11.7,27.9,232.5,-104.658,39.833,DENVER,CO
3,03024,15.8,40.0,151.7,-101.394,35.700,BORGER,TX
4,03026,13.6,27.7,262.0,-102.284,39.245,BURLINGTON,CO
5,03027,11.7,30.3,203.5,-105.663,35.003,CLINES CORNERS,NM
6,03028,13.8,31.7,213.3,-102.614,37.283,SPRINGFIELD,CO
7,03029,11.8,22.5,312.0,-109.061,35.658,WINDOW ROCK,AZ
8,03030,16.7,34.5,217.7,-101.505,36.682,GUYMON,OK
9,03031,20.0,44.0,157.9,-102.387,31.921,ODESSA,TX
10,03032,25.2,47.9,175.1,-102.213,30.048,DRYDEN,TX
11,03068,8.4,23.8,239.2,-104.300,38.767,BULLSEYE,CO
12,03102,35.1,53.0,234.9,-117.600,34.056,ONTARIO,CA
13,03103,13.7,24.4,313.2,-111.672,35.140,FLAGSTAFF,AZ
14,03104,31.1,52.9,189.3,-116.160,33.628,PALM SPRINGS,CA
15,03124,21.3,46.4,149.2,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
16,03131,39.6,53.9,283.0,-117.139,32.816,SAN DIEGO,CA
17,03144,31.8,53.3,193.0,-115.579,32.834,IMPERIAL,CA
18,03145,31.3,58.8,140.0,-114.617,32.650,YUMA,AZ
19,03154,38.2,51.5,295.3,-117.350,33.300,CAMP PENDLETON,CA
20,03159,27.5,42.9,257.7,-118.219,34.741,LANCASTER,CA
21,03160,20.2,40.4,194.9,-116.028,36.621,MERCURY,NV
22,03162,19.1,33.6,262.0,-111.448,36.926,PAGE,AZ
23,03164,27.3,44.8,231.8,-116.467,32.617,CAMPO,CA
24,03166,37.3,56.5,222.6,-117.979,33.872,FULLERTON,CA
25,03167,39.8,58.9,225.7,-118.334,33.923,HAWTHORNE,CA
26,03170,10.0,17.0,376.7,-116.006,39.601,EUREKA,NV
27,03177,39.4,54.5,272.5,-117.279,33.128,CARLSBAD,CA
28,03178,39.0,53.5,279.9,-116.979,32.572,SAN DIEGO,CA
29,03179,35.8,51.4,262.7,-117.636,33.975,CHINO,CA
30,03184,29.2,52.5,173.3,-112.082,33.688,PHOENIX,AZ
