,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,47.9,64.9,257.1,-102.688,38.070,LAMAR,CO
1,03016,36.4,63.3,149.9,-107.726,39.526,RIFLE,CO
2,03017,41.1,63.5,193.6,-104.658,39.833,DENVER,CO
3,03024,51.9,69.3,255.9,-101.394,35.700,BORGER,TX
4,03026,48.4,61.5,306.4,-102.284,39.245,BURLINGTON,CO
5,03027,41.5,60.3,230.6,-105.663,35.003,CLINES CORNERS,NM
6,03028,47.9,64.8,258.3,-102.614,37.283,SPRINGFIELD,CO
7,03029,36.2,59.3,182.5,-109.061,35.658,WINDOW ROCK,AZ
8,03030,49.8,68.3,241.7,-101.505,36.682,GUYMON,OK
9,03031,55.4,72.0,268.2,-102.387,31.921,ODESSA,TX
10,03032,59.1,76.6,261.4,-102.213,30.048,DRYDEN,TX
11,03102,52.4,79.8,162.2,-117.600,34.056,ONTARIO,CA
12,03103,35.9,59.0,181.9,-111.672,35.140,FLAGSTAFF,AZ
13,03104,48.8,85.4,97.5,-116.160,33.628,PALM SPRINGS,CA
14,03124,46.2,74.9,146.2,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
15,03131,60.5,75.0,297.8,-117.139,32.816,SAN DIEGO,CA
16,03144,47.4,89.5,68.5,-115.579,32.834,IMPERIAL,CA
17,03145,50.8,90.6,82.7,-114.617,32.650,YUMA,AZ
18,03159,35.3,73.6,75.9,-118.219,34.741,LANCASTER,CA
19,03160,27.4,79.2,15.5,-116.028,36.621,MERCURY,NV
20,03162,35.3,75.2,67.9,-111.448,36.926,PAGE,AZ
21,03166,58.4,77.0,248.5,-117.979,33.872,FULLERTON,CA
22,03167,60.4,73.6,314.4,-118.334,33.923,HAWTHORNE,CA
23,03170,25.9,62.4,76.5,-116.006,39.601,EUREKA,NV
24,03171,52.8,79.5,167.7,-117.439,33.952,RIVERSIDE,CA
25,03177,61.8,69.5,395.2,-117.279,33.128,CARLSBAD,CA
26,03178,60.1,72.5,324.9,-116.979,32.572,SAN DIEGO,CA
27,03179,55.0,77.8,203.5,-117.636,33.975,CHINO,CA
28,03184,42.4,87.2,52.5,-112.082,33.688,PHOENIX,AZ
29,03192,47.5,87.6,78.4,-111.911,33.623,SCOTTSDALE,AZ
30,03195,32.8,59.0,151.7,-112.155,35.946,GRAND CANYON,AZ
31,03749,53.5,62.8,365.0,-77.468,39.645,CAMP DAVID,MD
32,03757,60.0,68.8,376.7,-76.429,38.142,ST INIGOES,MD
33,03802,55.2,65.1,357.0,-80.229,39.296,CLARKSBURG,WV
34,03810,60.8,69.2,383.5,-81.390,35.741,HICKORY,NC
35,03811,65.4,72.8,402.0,-88.917,35.593,JACKSON,TN
36,03812,59.7,66.9,402.6,-82.538,35.432,ASHEVILLE,NC
37,03813,66.7,75.4,382.2,-83.654,32.688,MACON,GA
38,03816,62.5,71.2,379.8,-88.774,37.056,PADUCAH,KY
