,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,50.7,72.7,207.2,-102.688,38.070,LAMAR,CO
1,03016,39.7,65.1,165.9,-107.726,39.526,RIFLE,CO
2,03017,38.4,69.4,122.1,-104.658,39.833,DENVER,CO
3,03024,56.5,77.6,220.7,-101.394,35.700,BORGER,TX
4,03026,47.7,69.5,205.9,-102.284,39.245,BURLINGTON,CO
5,03027,43.7,65.6,201.0,-105.663,35.003,CLINES CORNERS,NM
6,03028,50.2,71.1,217.0,-102.614,37.283,SPRINGFIELD,CO
7,03029,37.3,63.7,154.8,-109.061,35.658,WINDOW ROCK,AZ
8,03030,54.5,75.3,222.0,-101.505,36.682,GUYMON,OK
9,03031,56.9,80.1,201.6,-102.387,31.921,ODESSA,TX
10,03032,60.6,84.4,199.8,-102.213,30.048,DRYDEN,TX
11,03102,57.4,80.5,202.9,-117.600,34.056,ONTARIO,CA
12,03103,43.5,60.4,254.0,-111.672,35.140,FLAGSTAFF,AZ
13,03104,56.4,86.8,143.7,-116.160,33.628,PALM SPRINGS,CA
14,03124,55.4,74.2,243.5,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
15,03131,63.0,77.3,302.1,-117.139,32.816,SAN DIEGO,CA
16,03144,58.3,90.8,131.4,-115.579,32.834,IMPERIAL,CA
17,03145,62.3,91.4,158.5,-114.617,32.650,YUMA,AZ
18,03159,45.9,77.0,128.9,-118.219,34.741,LANCASTER,CA
19,03160,35.0,79.4,47.5,-116.028,36.621,MERCURY,NV
20,03162,41.4,77.3,94.4,-111.448,36.926,PAGE,AZ
21,03164,52.3,71.9,232.5,-116.467,32.617,CAMPO,CA
22,03166,61.7,79.6,259.0,-117.979,33.872,FULLERTON,CA
23,03167,62.8,77.5,297.2,-118.334,33.923,HAWTHORNE,CA
24,03170,26.3,63.5,72.8,-116.006,39.601,EUREKA,NV
25,03171,58.1,80.6,209.0,-117.439,33.952,RIVERSIDE,CA
26,03177,64.4,73.2,379.8,-117.279,33.128,CARLSBAD,CA
27,03178,63.6,75.4,335.4,-116.979,32.572,SAN DIEGO,CA
28,03179,59.3,80.1,226.3,-117.636,33.975,CHINO,CA
29,03184,54.7,87.1,128.3,-112.082,33.688,PHOENIX,AZ
30,03192,56.6,87.1,143.1,-111.911,33.623,SCOTTSDALE,AZ
31,03195,42.3,61.2,230.6,-112.155,35.946,GRAND CANYON,AZ
32,03196,58.3,75.5,263.9,-110.846,31.421,NOGALES,AZ
33,03757,63.4,72.9,368.1,-76.429,38.142,ST INIGOES,MD
34,03802,57.7,68.5,345.3,-80.229,39.296,CLARKSBURG,WV
35,03804,58.9,69.0,356.3,-81.439,39.345,PARKERSBURG,WV
36,03810,60.2,71.0,347.1,-81.390,35.741,HICKORY,NC
37,03811,62.6,72.1,368.1,-88.917,35.593,JACKSON,TN
38,03812,57.6,68.2,348.3,-82.538,35.432,ASHEVILLE,NC
39,03813,65.9,74.5,383.5,-83.654,32.688,MACON,GA
40,03816,60.4,72.2,332.9,-88.774,37.056,PADUCAH,KY
41,03818,69.3,77.8,387.2,-85.184,30.836,MARIANNA,FL
42,03820,66.8,75.3,385.3,-81.965,33.370,AUGUSTA,GA
43,03822,68.7,77.2,386.6,-81.202,32.119,SAVANNAH,GA
44,03847,59.6,68.9,369.3,-85.085,35.951,CROSSVILLE,TN
45,03849,58.4,70.6,326.1,-84.077,37.087,LONDON,KY
46,03856,63.3,75.1,335.4,-86.786,34.644,HUNTSVILLE,AL
47,03859,56.0,67.5,334.2,-81.208,37.296,BLUEFIELD,WV
