,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,57.1,75.2,252.8,-102.688,38.070,LAMAR,CO
1,03016,40.5,71.6,123.3,-107.726,39.526,RIFLE,CO
2,03017,49.1,71.5,201.6,-104.658,39.833,DENVER,CO
3,03024,58.5,77.7,242.3,-101.394,35.700,BORGER,TX
4,03026,56.6,70.9,297.2,-102.284,39.245,BURLINGTON,CO
5,03027,50.4,67.2,261.4,-105.663,35.003,CLINES CORNERS,NM
6,03028,57.0,73.2,274.4,-102.614,37.283,SPRINGFIELD,CO
7,03029,44.6,67.5,192.4,-109.061,35.658,WINDOW ROCK,AZ
8,03030,59.8,76.7,268.8,-101.505,36.682,GUYMON,OK
9,03031,61.1,78.3,266.4,-102.387,31.921,ODESSA,TX
10,03032,63.9,80.5,275.6,-102.213,30.048,DRYDEN,TX
11,03068,50.0,66.7,262.0,-104.300,38.767,BULLSEYE,CO
12,03102,58.8,80.0,222.0,-117.600,34.056,ONTARIO,CA
13,03103,48.9,66.9,246.6,-111.672,35.140,FLAGSTAFF,AZ
14,03104,58.2,91.7,124.6,-116.160,33.628,PALM SPRINGS,CA
15,03124,59.5,75.6,277.4,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
16,03131,61.1,73.7,323.1,-117.139,32.816,SAN DIEGO,CA
17,03144,62.5,92.5,152.3,-115.579,32.834,IMPERIAL,CA
18,03145,64.1,93.0,161.6,-114.617,32.650,YUMA,AZ
19,03159,42.6,83.4,70.3,-118.219,34.741,LANCASTER,CA
20,03160,35.9,86.1,27.2,-116.028,36.621,MERCURY,NV
21,03162,42.5,82.3,75.3,-111.448,36.926,PAGE,AZ
22,03164,51.2,74.2,197.9,-116.467,32.617,CAMPO,CA
23,03166,61.0,76.6,284.8,-117.979,33.872,FULLERTON,CA
24,03167,61.8,72.5,349.6,-118.334,33.923,HAWTHORNE,CA
25,03170,27.1,69.4,49.4,-116.006,39.601,EUREKA,NV
26,03171,57.9,80.2,210.9,-117.439,33.952,RIVERSIDE,CA
27,03177,62.5,70.9,384.7,-117.279,33.128,CARLSBAD,CA
28,03178,61.5,72.6,344.0,-116.979,32.572,SAN DIEGO,CA
29,03179,58.9,78.1,242.3,-117.636,33.975,CHINO,CA
30,03184,57.9,90.7,128.9,-112.082,33.688,PHOENIX,AZ
31,03192,58.6,91.8,127.0,-111.911,33.623,SCOTTSDALE,AZ
32,03195,46.2,66.0,224.4,-112.155,35.946,GRAND CANYON,AZ
33,03196,62.0,76.8,295.3,-110.846,31.421,NOGALES,AZ
34,03749,55.9,69.9,300.3,-77.468,39.645,CAMP DAVID,MD
35,03757,62.0,73.8,334.2,-76.429,38.142,ST INIGOES,MD
36,03810,63.8,75.3,339.7,-81.390,35.741,HICKORY,NC
37,03812,60.2,72.8,322.4,-82.538,35.432,ASHEVILLE,NC
38,03813,69.6,80.0,358.8,-83.654,32.688,MACON,GA
39,03816,63.6,76.0,327.4,-88.774,37.056,PADUCAH,KY
40,03818,70.0,80.7,355.1,-85.184,30.836,MARIANNA,FL
41,03820,69.4,80.3,352.0,-81.965,33.370,AUGUSTA,GA
42,03822,72.3,82.1,369.3,-81.202,32.119,SAVANNAH,GA
43,03847,59.8,73.4,308.9,-85.085,35.951,CROSSVILLE,TN
44,03849,60.6,74.4,307.0,-84.077,37.087,LONDON,KY
45,03853,72.1,81.2,379.8,-81.417,30.400,MAYPORT,FL
46,03855,73.3,81.1,400.1,-87.317,30.350,PENSACOLA,FL
47,03856,65.4,78.9,314.4,-86.786,34.644,HUNTSVILLE,AL
48,03859,57.5,69.8,324.3,-81.208,37.296,BLUEFIELD,WV
49,03860,60.1,73.4,312.6,-82.555,38.382,HUNTINGTON,WV
50,03866,68.8,79.0,361.3,-88.567,32.550,MERIDIAN,MS
51,03868,61.0,71.8,347.7,-87.309,39.452,TERRE HAUTE,IN
52,03870,63.5,78.8,290.4,-82.219,34.899,GREER,SC
53,03872,57.6,67.0,366.2,-81.125,37.795,BECKLEY,WV
54,03878,68.5,79.2,353.9,-86.012,31.861,TROY,AL
55,03882,72.3,80.5,393.3,-85.683,30.212,PANAMA CITY,FL
56,03887,62.9,71.3,384.7,-88.866,39.984,DECATUR,IL
57,03888,66.1,78.1,334.8,-84.521,33.779,ATLANTA,GA
58,03889,59.7,73.6,304.6,-83.314,37.591,JACKSON,KY
59,03893,61.2,71.6,353.9,-86.617,39.144,BLOOMINGTON,IN
60,03894,64.2,76.1,334.8,-87.415,36.622,CLARKSVILLE,TN
61,03901,69.4,82.2,326.1,-94.711,32.385,LONGVIEW,TX
