,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,33.5,54.6,199.2,-102.688,38.070,LAMAR,CO
1,03017,30.4,48.7,225.7,-104.658,39.833,DENVER,CO
2,03024,36.4,61.7,163.4,-101.394,35.700,BORGER,TX
3,03026,34.7,51.8,243.5,-102.284,39.245,BURLINGTON,CO
4,03027,20.2,48.9,119.7,-105.663,35.003,CLINES CORNERS,NM
5,03028,30.2,52.0,188.7,-102.614,37.283,SPRINGFIELD,CO
6,03029,15.7,47.1,96.2,-109.061,35.658,WINDOW ROCK,AZ
7,03030,36.7,58.2,197.9,-101.505,36.682,GUYMON,OK
8,03031,41.8,66.0,178.2,-102.387,31.921,ODESSA,TX
9,03032,50.1,70.3,223.8,-102.213,30.048,DRYDEN,TX
10,03102,39.0,65.5,156.0,-117.600,34.056,ONTARIO,CA
11,03103,17.8,43.4,141.2,-111.672,35.140,FLAGSTAFF,AZ
12,03104,33.0,71.7,71.6,-116.160,33.628,PALM SPRINGS,CA
13,03124,23.0,61.9,61.1,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
14,03131,46.6,64.5,245.4,-117.139,32.816,SAN DIEGO,CA
15,03144,35.6,71.7,87.6,-115.579,32.834,IMPERIAL,CA
16,03145,34.2,74.2,66.6,-114.617,32.650,YUMA,AZ
17,03159,28.7,62.7,93.1,-118.219,34.741,LANCASTER,CA
18,03160,16.3,60.9,30.9,-116.028,36.621,MERCURY,NV
19,03162,18.6,59.4,48.1,-111.448,36.926,PAGE,AZ
20,03164,33.3,55.2,190.5,-116.467,32.617,CAMPO,CA
21,03166,43.1,66.7,184.4,-117.979,33.872,FULLERTON,CA
22,03167,47.2,65.5,241.7,-118.334,33.923,HAWTHORNE,CA
23,03170,16.3,43.5,127.0,-116.006,39.601,EUREKA,NV
24,03171,38.8,65.6,152.9,-117.439,33.952,RIVERSIDE,CA
25,03177,48.1,62.8,284.8,-117.279,33.128,CARLSBAD,CA
26,03179,41.1,64.9,180.7,-117.636,33.975,CHINO,CA
27,03184,24.6,69.4,37.1,-112.082,33.688,PHOENIX,AZ
28,03192,26.4,70.9,40.1,-111.911,33.623,SCOTTSDALE,AZ
29,03196,26.2,61.7,82.1,-110.846,31.421,NOGALES,AZ
30,03757,42.9,56.2,299.0,-76.429,38.142,ST INIGOES,MD
31,03802,39.9,53.3,295.3,-80.229,39.296,CLARKSBURG,WV
32,03804,39.3,55.0,265.1,-81.439,39.345,PARKERSBURG,WV
33,03810,44.9,59.7,281.1,-81.390,35.741,HICKORY,NC
34,03811,50.6,61.8,334.8,-88.917,35.593,JACKSON,TN
35,03812,44.7,58.6,292.9,-82.538,35.432,ASHEVILLE,NC
36,03813,57.7,67.0,368.1,-83.654,32.688,MACON,GA
37,03816,47.9,60.7,310.1,-88.774,37.056,PADUCAH,KY
38,03818,64.2,71.6,401.3,-85.184,30.836,MARIANNA,FL
39,03820,55.6,66.4,344.0,-81.965,33.370,AUGUSTA,GA
40,03822,58.7,70.3,334.8,-81.202,32.119,SAVANNAH,GA
41,03847,45.1,58.7,297.2,-85.085,35.951,CROSSVILLE,TN
42,03849,42.3,59.1,254.0,-84.077,37.087,LONDON,KY
43,03853,65.0,71.6,414.9,-81.417,30.400,MAYPORT,FL
44,03856,53.3,64.6,335.4,-86.786,34.644,HUNTSVILLE,AL
45,03859,38.3,56.3,236.8,-81.208,37.296,BLUEFIELD,WV
46,03860,42.1,56.0,290.4,-82.555,38.382,HUNTINGTON,WV
47,03868,41.8,54.5,306.4,-87.309,39.452,TERRE HAUTE,IN
48,03870,50.1,63.4,305.2,-82.219,34.899,GREER,SC
49,03872,38.6,53.4,275.6,-81.125,37.795,BECKLEY,WV
50,03878,59.8,68.9,372.4,-86.012,31.861,TROY,AL
51,03887,40.4,54.8,282.4,-88.866,39.984,DECATUR,IL
52,03888,52.4,64.5,323.1,-84.521,33.779,ATLANTA,GA
53,03889,42.1,58.7,256.5,-83.314,37.591,JACKSON,KY
54,03893,40.9,55.1,285.5,-86.617,39.144,BLOOMINGTON,IN
55,03894,48.9,60.4,329.2,-87.415,36.622,CLARKSVILLE,TN
56,03901,57.8,68.0,354.5,-94.711,32.385,LONGVIEW,TX
57,03904,61.4,70.6,371.8,-96.364,30.588,COLLEGE STATION,TX
58,03919,42.1,57.9,266.4,-97.661,38.813,SALINA,KS
59,03927,56.5,65.8,366.8,-97.041,32.896,DALLAS-FORT WORTH,TX
60,03928,44.1,60.3,263.3,-97.429,37.647,WICHITA,KS
61,03932,49.1,61.0,323.7,-99.200,35.340,CLINTON,OK
62,03935,48.9,60.0,334.8,-89.571,37.225,CAPE GIRARDEAU,MO
63,03936,42.7,56.8,288.5,-96.678,39.135,MANHATTAN,KS
64,03937,64.2,71.1,410.0,-93.228,30.125,LAKE CHARLES,LA
65,03940,58.2,68.4,354.5,-90.078,32.320,JACKSON,MS
66,03945,43.5,58.0,283.6,-92.218,38.817,COLUMBIA,MO
67,03947,43.1,56.8,294.1,-94.718,39.299,KANSAS CITY,MO
68,03949,61.3,70.3,374.8,-93.283,31.400,FORT POLK,LA
69,03950,52.0,62.5,345.9,-98.416,34.568,LAWTON,OK
70,03954,50.5,62.2,327.4,-97.647,35.534,OKLAHOMA CITY,OK
71,03957,44.4,59.8,273.1,-98.553,37.284,MEDICINE LODGE,KS
72,03959,48.9,60.8,323.1,-96.011,36.762,BARTLESVILLE,OK
73,03960,44.4,58.9,284.2,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
74,03962,52.9,63.6,343.4,-93.096,34.478,HOT SPRINGS,AR
75,03963,42.7,58.5,267.0,-92.156,38.591,JEFFERSON CITY,MO
76,03965,49.1,61.9,310.7,-97.086,36.160,STILLWATER,OK
77,03966,43.0,57.6,281.8,-90.656,38.657,ST LOUIS,MO
78,03967,43.2,57.7,283.6,-94.739,38.850,OLATHE,KS
79,03971,56.3,66.3,356.3,-96.868,32.681,DALLAS,TX
80,03975,48.7,60.4,326.1,-90.325,36.773,POPLAR BLUFF,MO
81,03981,52.2,62.9,343.4,-98.984,34.352,FREDERICK,OK
82,03991,55.7,64.3,377.3,-97.199,33.206,DENTON,TX
83,03994,43.7,59.1,272.5,-93.183,38.704,SEDALIA,MO
84,03996,59.0,67.9,374.8,-91.030,32.348,TALLULAH/VICKSBURG,MS
85,03997,43.3,56.6,299.6,-95.212,39.008,LAWRENCE,KS
86,03998,48.9,60.0,334.8,-95.504,37.328,PARSONS,KS
87,04109,37.5,50.2,302.7,-115.596,46.144,ELK CITY,ID
88,04110,24.1,47.8,164.6,-114.456,42.727,JEROME,ID
89,04111,20.8,41.9,186.2,-111.031,41.273,EVANSTON,WY
90,04112,19.8,37.2,225.7,-114.927,44.171,STANLEY,ID
91,04113,32.7,51.1,226.9,-119.261,45.826,HERMISTON,OR
92,04114,21.6,43.9,175.1,-114.215,41.523,CHALLIS,ID
93,04201,40.5,50.3,348.3,-122.861,45.773,SCAPPOOSE,OR
94,04724,33.6,45.9,305.2,-78.945,43.107,NIAGARA FALLS,NY
95,04725,32.2,44.6,302.7,-75.981,42.208,BINGHAMTON,NY
96,04726,34.0,48.9,270.1,-78.834,40.301,JOHNSTOWN,PA
97,04751,31.9,44.1,305.8,-78.640,41.803,BRADFORD,PA
98,04780,30.7,47.7,241.1,-71.756,42.552,FITCHBURG,MA
99,04781,34.7,49.3,275.0,-73.102,40.794,ISLIP,NY
100,04787,33.5,49.9,250.9,-78.899,41.178,DU BOIS,PA
101,04803,25.3,42.0,239.2,-89.465,45.631,RHINELANDER,WI
102,04804,39.0,52.9,287.9,-83.078,40.078,COLUMBUS,OH
103,04808,34.4,49.8,263.9,-88.481,41.770,CHICAGO/AURORA,IL
104,04826,27.1,46.7,207.8,-89.837,44.359,WISCONSIN RAPIDS,WI
105,04836,21.4,35.3,271.9,-68.307,47.286,FRENCHVILLE,ME
106,04838,33.4,48.3,269.4,-87.905,42.121,CHICAGO/PROSPECT HGTS/WHEELI,IL
107,04839,34.5,48.4,283.6,-86.097,42.746,HOLLAND,MI
108,04840,31.3,46.7,261.4,-88.486,43.770,FOND DU LAC,WI
109,04841,32.3,43.1,326.8,-87.851,43.769,SHEBOYGAN,WI
110,04842,38.7,49.3,334.8,-81.887,40.875,WOOSTER,OH
111,04843,34.7,48.8,281.1,-80.215,41.626,MEADVILLE,PA
112,04845,34.5,46.5,310.7,-87.938,42.595,KENOSHA,WI
113,04846,35.3,49.8,276.8,-87.006,41.453,VALPARAISO,IN
114,04848,35.8,49.6,286.1,-83.476,41.563,TOLEDO,OH
115,04849,37.9,49.1,324.9,-82.179,41.179,LORAIN/ELYRIA,OH
116,04850,38.8,52.2,294.1,-84.027,40.708,LIMA,OH
117,04851,36.6,50.4,287.3,-84.429,41.338,DEFIANCE,OH
118,04852,38.4,53.6,270.1,-81.420,40.470,NEW PHILADELPHIA,OH
119,04853,37.6,49.1,320.6,-81.684,41.518,CLEVELAND,OH
120,04854,27.8,40.3,297.8,-84.701,45.013,GAYLORD,MI
121,04855,38.3,50.9,305.2,-83.064,40.616,MARION,OH
122,04857,35.4,47.1,315.7,-80.696,41.778,ASHTABULA,OH
123,04858,39.7,52.4,304.6,-82.463,40.023,NEWARK,OH
128,12812,67.4,76.6,375.5,-81.991,26.917,PUNTA GORDA,FL
129,12815,67.2,77.6,357.6,-81.325,28.434,ORLANDO,FL
130,12816,64.0,72.9,377.9,-82.272,29.690,GAINESVILLE,FL
131,12818,66.1,75.3,374.2,-82.454,28.474,BROOKSVILLE,FL
132,12819,66.0,76.8,350.8,-81.810,28.821,LEESBURG,FL
133,12832,66.9,75.2,388.4,-85.033,29.733,APALACHICOLA,FL
134,12833,64.7,73.8,375.5,-83.105,29.550,CROSS CITY,FL
135,12834,67.0,75.3,389.0,-81.060,29.177,DAYTONA BEACH,FL
136,12835,68.2,78.8,355.1,-81.864,26.586,FORT MYERS,FL
137,12836,72.0,80.4,390.3,-81.754,24.553,KEY WEST,FL
138,12838,68.0,77.1,377.3,-80.646,28.103,MELBOURNE,FL
139,12839,68.5,80.4,337.9,-80.300,25.824,MIAMI,FL
140,12841,66.2,77.5,344.0,-81.333,28.545,ORLANDO,FL
141,12842,66.5,78.0,341.6,-82.540,27.961,TAMPA,FL
142,12843,66.3,76.9,353.9,-80.418,27.656,VERO BEACH,FL
143,12844,68.7,79.2,357.0,-80.099,26.685,WEST PALM BEACH,FL
144,12849,69.8,79.8,365.0,-80.154,26.072,FORT LAUDERDALE,FL
145,12850,71.0,80.9,367.4,-81.683,24.583,KEY WEST,FL
146,12854,65.8,76.8,348.3,-81.244,28.780,ORLANDO,FL
147,12871,68.1,75.9,397.0,-82.559,27.401,SARASOTA/BRADENTON,FL
148,12873,68.2,77.7,371.1,-82.688,27.911,ST PETERSBURG/CLEARWATER,FL
149,12876,66.1,78.6,328.0,-81.754,28.062,WINTER HAVEN,FL
150,12882,68.8,79.9,349.0,-80.280,25.907,MIAMI,FL
151,12884,67.4,72.9,434.6,-89.408,29.350,BOOTHVILLE,LA
152,12888,68.9,78.9,364.4,-80.433,25.648,MIAMI,FL
153,12894,67.4,77.9,356.3,-81.755,26.536,FORT MYERS,FL
154,12895,68.1,76.4,389.6,-80.377,27.498,FORT PIERCE,FL
155,12896,72.4,82.1,371.1,-81.052,24.726,MARATHON,FL
156,12897,69.1,78.5,373.0,-81.775,26.153,NAPLES,FL
157,12904,69.9,77.4,402.6,-97.654,26.228,HARLINGEN,TX
158,12912,67.0,72.5,434.6,-96.930,28.863,VICTORIA,TX
159,12916,64.1,73.6,368.7,-90.251,29.993,NEW ORLEANS,LA
160,12917,64.8,72.7,393.9,-94.021,29.951,BEAUMONT/PORT ARTHUR,TX
161,12918,64.9,73.0,390.9,-95.279,29.645,HOUSTON,TX
162,12919,70.0,76.9,412.4,-97.426,25.906,BROWNSVILLE,TX
163,12921,61.0,71.2,356.3,-98.464,29.533,SAN ANTONIO,TX
164,12923,67.6,72.4,447.0,-94.860,29.265,GALVESTON,TX
165,12924,67.4,74.1,414.3,-97.513,27.773,CORPUS CHRISTI,TX
166,12928,69.8,75.4,434.0,-97.817,27.500,KINGSVILLE,TX
167,12932,66.3,76.0,367.4,-98.027,27.741,ALICE,TX
168,12935,67.2,72.9,430.9,-96.251,28.728,PALACIOS,TX
169,12947,62.4,73.8,340.3,-99.220,28.458,COTULLA,TX
170,12957,69.7,76.4,415.5,-97.346,26.166,PORT ISABEL,TX
171,12959,68.5,79.1,355.7,-98.238,26.175,MC ALLEN,TX
172,12960,63.8,72.5,381.0,-95.364,29.993,HOUSTON,TX
173,12962,61.1,69.8,379.2,-99.174,29.359,HONDO,TX
174,12968,66.9,72.2,437.7,-91.526,29.562,SALT POINT,LA
175,12970,61.8,71.6,363.1,-98.471,29.337,SAN ANTONIO,TX
176,12971,61.9,71.4,367.4,-98.045,29.709,NEW BRAUNFELS,TX
177,12972,66.9,73.9,409.4,-97.046,28.084,ROCKPORT,TX
178,12975,65.0,72.8,395.8,-95.240,29.521,HOUSTON,TX
179,12976,66.4,71.3,444.5,-95.462,29.110,ANGLETON/LAKE JACKSON,TX
180,12977,64.5,72.5,392.1,-95.656,29.622,HOUSTON,TX
181,13721,41.8,55.2,297.2,-76.400,38.283,PATUXENT RIVER,MD
182,13722,48.3,61.6,303.3,-78.786,35.871,RALEIGH/DURHAM,NC
183,13723,44.7,60.5,268.2,-79.944,36.098,GREENSBORO,NC
184,13728,45.1,59.7,283.6,-79.336,36.573,DANVILLE,VA
185,13729,38.0,51.7,289.8,-79.853,38.885,ELKINS,WV
186,13733,42.2,56.1,290.4,-79.207,37.338,LYNCHBURG,VA
187,13734,37.4,55.2,238.0,-77.984,39.402,MARTINSBURG,WV
188,13736,36.3,54.6,231.2,-79.916,39.643,MORGANTOWN,WV
189,13737,45.3,59.1,294.7,-76.192,36.904,NORFOLK,VA
190,13739,36.4,55.4,223.8,-75.231,39.868,PHILADELPHIA,PA
191,13740,43.3,59.5,262.0,-77.323,37.511,RICHMOND,VA
192,13741,41.4,57.1,267.0,-79.974,37.317,ROANOKE,VA
193,13743,40.8,59.4,232.5,-77.034,38.865,WASHINGTON,DC
194,13744,53.5,65.6,324.3,-79.731,34.188,FLORENCE,SC
195,13748,54.1,63.9,357.6,-77.906,34.268,WILMINGTON,NC
196,13750,46.2,62.7,261.4,-76.283,36.933,NORFOLK,VA
197,13752,40.4,54.9,281.1,-76.483,38.991,ANNAPOLIS,MD
198,13754,52.4,63.3,340.3,-76.883,34.900,CHERRY POINT,NC
199,13762,46.1,62.4,263.9,-76.136,36.695,FENTRESS,VA
200,13764,41.1,54.6,294.7,-75.359,38.689,GEORGETOWN,DE
201,13769,46.5,57.0,342.2,-76.033,36.817,OCEANA,VA
202,13773,41.3,57.7,258.3,-77.300,38.500,QUANTICO,VA
203,13776,53.5,64.1,345.3,-79.059,34.610,LUMBERTON,NC
204,13781,37.8,54.8,247.9,-75.601,39.673,WILMINGTON,DE
205,13786,48.7,56.5,386.6,-76.175,36.261,ELIZABETH CITY,NC
206,13809,44.1,56.5,312.6,-87.606,38.764,LAWRENCEVILLE,IL
207,13810,43.5,58.7,275.0,-85.664,38.228,LOUISVILLE,KY
208,13833,61.2,70.4,371.8,-89.253,31.265,HATTIESBURG,MS
209,13837,54.0,69.1,284.8,-82.039,33.467,AUGUSTA,GA
210,13838,64.0,70.9,409.4,-88.068,30.626,MOBILE,AL
211,13839,61.0,69.9,376.1,-85.450,31.321,DOTHAN,AL
212,13841,40.2,53.5,297.2,-83.822,39.420,WILMINGTON,OH
213,13865,57.7,66.9,369.3,-88.751,32.333,MERIDIAN,MS
214,13866,41.3,56.5,273.1,-81.591,38.379,CHARLESTON,WV
215,13869,60.4,70.7,354.5,-84.194,31.536,ALBANY,GA
216,13870,60.4,63.8,470.4,-82.507,31.536,ALMA,GA
217,13871,54.1,65.2,338.5,-85.858,33.588,ANNISTON,AL
218,13873,52.8,65.1,320.6,-83.327,33.948,ATHENS,GA
219,13874,52.2,65.7,304.0,-84.427,33.640,ATLANTA,GA
220,13876,54.9,65.6,345.3,-86.754,33.564,BIRMINGHAM,AL
221,13877,45.5,58.2,309.5,-82.399,36.480,BRISTOL/JHNSN CTY/KNGSPRT,TN
222,13878,62.8,70.6,394.6,-81.391,31.252,BRUNSWICK,GA
223,13880,57.4,68.3,344.0,-80.041,32.899,CHARLESTON,SC
224,13881,46.6,62.2,272.5,-80.944,35.214,CHARLOTTE,NC
225,13882,50.6,63.1,316.3,-85.200,35.033,CHATTANOOGA,TN
226,13883,53.0,67.0,298.4,-81.118,33.942,COLUMBIA,SC
227,13884,63.1,71.0,392.7,-86.523,30.780,CRESTVIEW,FL
228,13886,48.2,64.6,264.5,-82.346,34.846,GREENVILLE,SC
229,13889,63.6,72.2,382.2,-81.693,30.494,JACKSONVILLE,FL
230,13891,47.8,61.0,304.6,-83.986,35.818,KNOXVILLE,TN
231,13893,51.5,65.2,300.9,-89.985,35.061,MEMPHIS,TN
232,13894,63.2,70.5,402.6,-88.246,30.688,MOBILE,AL
233,13895,58.2,69.3,341.6,-86.394,32.301,MONTGOMERY,AL
234,13896,52.6,63.4,342.2,-87.610,34.745,MUSCLE SHOALS,AL
235,13897,49.2,62.1,309.5,-86.689,36.119,NASHVILLE,TN
236,13899,64.5,71.4,410.0,-87.188,30.473,PENSACOLA,FL
237,13904,61.1,69.5,384.1,-97.681,30.179,AUSTIN/BERGSTROM,TX
238,13920,43.4,58.4,277.4,-95.664,38.950,TOPEKA,KS
239,13927,57.9,68.4,350.2,-90.223,32.335,JACKSON,MS
240,13932,46.7,60.1,300.9,-97.037,37.168,WINFIELD/ARKANSAS CITY,KS
241,13935,61.2,69.0,393.3,-92.296,31.395,ALEXANDRIA,LA
242,13939,56.5,66.0,363.7,-90.986,33.483,GREENVILLE,MS
243,13942,59.7,67.6,390.9,-92.038,32.511,MONROE,LA
244,13957,58.3,68.3,357.6,-93.824,32.447,SHREVEPORT,LA
245,13958,60.2,71.2,344.0,-97.767,30.317,AUSTIN/CITY,TX
246,13959,58.8,67.4,379.2,-97.229,31.611,WACO,TX
247,13960,55.9,67.6,331.1,-96.851,32.847,DALLAS,TX
248,13961,56.8,66.7,358.2,-97.361,32.819,FORT WORTH,TX
249,13962,51.9,66.7,287.3,-99.682,32.411,ABILENE,TX
250,13963,51.8,64.8,310.1,-92.233,34.747,LITTLE ROCK,AR
251,13964,50.6,63.5,310.7,-94.365,35.334,FORT SMITH,AR
252,13966,53.3,63.8,347.1,-98.493,33.979,WICHITA FALLS,TX
253,13967,50.0,62.6,314.4,-97.600,35.389,OKLAHOMA CITY,OK
254,13968,50.7,62.8,321.8,-95.886,36.198,TULSA,OK
255,13969,47.9,61.6,297.8,-97.100,36.731,PONCA CITY,OK
256,13970,63.2,71.4,388.4,-91.147,30.537,BATON ROUGE,LA
257,13971,47.8,58.9,334.2,-93.155,36.261,HARRISON,AR
258,13972,57.4,68.1,346.5,-95.402,32.354,TYLER,TX
259,13973,54.3,68.0,303.3,-99.766,30.511,JUNCTION,TX
260,13975,43.3,59.1,267.0,-99.775,36.297,GAGE,OK
261,13976,64.1,71.9,395.2,-91.988,30.205,LAFAYETTE,LA
262,13977,56.2,64.7,379.2,-94.008,33.454,TEXARKANA,AR
263,13978,55.3,66.1,344.0,-90.084,33.496,GREENWOOD,MS
264,13981,47.2,59.3,319.4,-95.484,37.670,CHANUTE,KS
265,13984,41.1,55.7,280.5,-97.652,39.549,CONCORDIA,KS
266,13985,37.8,56.8,225.1,-99.970,37.773,DODGE CITY,KS
267,13986,43.1,58.6,270.7,-97.861,38.068,HUTCHINSON,KS
268,13987,47.2,59.4,317.5,-94.498,37.149,JOPLIN,MO
269,13988,43.0,59.3,260.8,-94.593,39.123,KANSAS CITY,MO
270,13989,43.7,57.4,294.7,-96.190,38.331,EMPORIA,KS
271,13993,42.2,55.8,294.7,-94.907,39.774,ST JOSEPH,MO
272,13994,42.2,60.3,239.2,-90.374,38.753,ST LOUIS,MO
273,13995,45.3,58.2,306.4,-93.390,37.240,SPRINGFIELD,MO
