,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,53.4,80.1,168.3,-102.688,38.070,LAMAR,CO
1,03016,41.6,73.8,117.2,-107.726,39.526,RIFLE,CO
2,03017,43.1,77.6,104.2,-104.658,39.833,DENVER,CO
3,03024,57.8,80.3,209.0,-101.394,35.700,BORGER,TX
4,03026,52.6,76.6,190.5,-102.284,39.245,BURLINGTON,CO
5,03027,50.4,68.3,249.1,-105.663,35.003,CLINES CORNERS,NM
6,03028,53.7,77.8,190.5,-102.614,37.283,SPRINGFIELD,CO
7,03029,48.0,69.0,214.0,-109.061,35.658,WINDOW ROCK,AZ
8,03030,59.4,79.4,234.9,-101.505,36.682,GUYMON,OK
9,03031,60.4,81.6,223.8,-102.387,31.921,ODESSA,TX
10,03032,63.6,81.5,260.8,-102.213,30.048,DRYDEN,TX
11,03068,46.2,71.5,172.7,-104.300,38.767,BULLSEYE,CO
12,03102,57.9,79.0,222.6,-117.600,34.056,ONTARIO,CA
13,03103,47.5,67.5,223.8,-111.672,35.140,FLAGSTAFF,AZ
14,03104,57.7,93.2,112.3,-116.160,33.628,PALM SPRINGS,CA
15,03124,58.2,76.6,250.3,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
16,03131,59.2,70.8,335.4,-117.139,32.816,SAN DIEGO,CA
17,03144,60.5,93.6,129.5,-115.579,32.834,IMPERIAL,CA
18,03145,60.4,94.2,125.2,-114.617,32.650,YUMA,AZ
19,03154,60.6,69.2,380.4,-117.350,33.300,CAMP PENDLETON,CA
20,03159,43.4,84.6,69.1,-118.219,34.741,LANCASTER,CA
21,03160,36.8,86.4,29.7,-116.028,36.621,MERCURY,NV
22,03162,43.4,84.8,67.9,-111.448,36.926,PAGE,AZ
23,03164,49.5,73.8,185.0,-116.467,32.617,CAMPO,CA
24,03166,59.6,75.0,286.1,-117.979,33.872,FULLERTON,CA
25,03167,60.2,71.1,345.9,-118.334,33.923,HAWTHORNE,CA
26,03170,26.8,70.9,42.0,-116.006,39.601,EUREKA,NV
27,03177,60.5,68.1,396.4,-117.279,33.128,CARLSBAD,CA
28,03178,59.4,70.7,339.7,-116.979,32.572,SAN DIEGO,CA
29,03179,58.0,77.1,242.9,-117.636,33.975,CHINO,CA
30,03184,55.8,92.4,104.2,-112.082,33.688,PHOENIX,AZ
31,03192,57.3,93.1,109.8,-111.911,33.623,SCOTTSDALE,AZ
32,03195,44.9,73.5,145.5,-112.155,35.946,GRAND CANYON,AZ
33,03196,62.2,77.7,286.7,-110.846,31.421,NOGALES,AZ
34,03749,60.6,73.8,314.4,-77.468,39.645,CAMP DAVID,MD
35,03757,65.6,77.3,338.5,-76.429,38.142,ST INIGOES,MD
36,03802,62.1,72.1,360.0,-80.229,39.296,CLARKSBURG,WV
37,03810,64.4,76.9,326.8,-81.390,35.741,HICKORY,NC
38,03812,60.7,72.9,328.0,-82.538,35.432,ASHEVILLE,NC
39,03813,68.4,81.2,325.5,-83.654,32.688,MACON,GA
40,03816,66.1,78.9,323.7,-88.774,37.056,PADUCAH,KY
41,03818,70.3,82.3,337.2,-85.184,30.836,MARIANNA,FL
42,03820,67.9,81.1,320.0,-81.965,33.370,AUGUSTA,GA
43,03822,71.1,82.3,349.0,-81.202,32.119,SAVANNAH,GA
44,03847,62.9,74.7,334.8,-85.085,35.951,CROSSVILLE,TN
45,03849,62.6,75.4,321.2,-84.077,37.087,LONDON,KY
46,03853,71.3,81.8,358.8,-81.417,30.400,MAYPORT,FL
47,03855,72.1,81.8,370.5,-87.317,30.350,PENSACOLA,FL
48,03856,66.6,80.8,306.4,-86.786,34.644,HUNTSVILLE,AL
49,03859,58.5,72.8,298.4,-81.208,37.296,BLUEFIELD,WV
50,03860,63.0,74.2,343.4,-82.555,38.382,HUNTINGTON,WV
51,03866,68.2,81.5,318.7,-88.567,32.550,MERIDIAN,MS
52,03868,63.9,74.3,355.1,-87.309,39.452,TERRE HAUTE,IN
53,03870,62.9,80.5,263.3,-82.219,34.899,GREER,SC
54,03872,58.9,68.9,358.2,-81.125,37.795,BECKLEY,WV
55,03878,68.5,80.7,333.5,-86.012,31.861,TROY,AL
56,03882,72.3,82.2,368.1,-85.683,30.212,PANAMA CITY,FL
57,03887,65.6,74.2,383.5,-88.866,39.984,DECATUR,IL
58,03888,66.8,79.0,332.3,-84.521,33.779,ATLANTA,GA
59,03889,62.4,73.9,339.1,-83.314,37.591,JACKSON,KY
60,03893,64.1,73.2,374.8,-86.617,39.144,BLOOMINGTON,IN
61,03894,67.1,78.0,350.2,-87.415,36.622,CLARKSVILLE,TN
62,03901,66.5,84.0,267.6,-94.711,32.385,LONGVIEW,TX
63,03902,72.7,86.3,318.1,-97.822,31.070,FORT HOOD/KILLEEN,TX
64,03904,68.5,85.7,272.5,-96.364,30.588,COLLEGE STATION,TX
65,03919,63.8,80.4,275.6,-97.661,38.813,SALINA,KS
66,03927,64.7,89.0,199.2,-97.041,32.896,DALLAS-FORT WORTH,TX
67,03928,65.7,80.2,302.1,-97.429,37.647,WICHITA,KS
68,03931,68.5,84.0,292.2,-93.192,31.045,FORT POLK,LA
69,03932,61.3,83.9,210.9,-99.200,35.340,CLINTON,OK
70,03935,68.0,78.2,360.7,-89.571,37.225,CAPE GIRARDEAU,MO
71,03936,66.7,78.8,333.5,-96.678,39.135,MANHATTAN,KS
72,03937,73.1,83.0,368.7,-93.228,30.125,LAKE CHARLES,LA
73,03940,68.1,83.0,299.0,-90.078,32.320,JACKSON,MS
74,03945,67.4,76.4,378.5,-92.218,38.817,COLUMBIA,MO
75,03947,67.1,77.2,361.9,-94.718,39.299,KANSAS CITY,MO
76,03949,67.7,83.7,285.5,-93.283,31.400,FORT POLK,LA
77,03950,64.0,84.8,230.6,-98.416,34.568,LAWTON,OK
78,03953,69.1,81.8,327.4,-90.646,35.831,JONESBORO,AR
79,03954,64.5,83.8,246.6,-97.647,35.534,OKLAHOMA CITY,OK
80,03957,63.6,81.1,265.1,-98.553,37.284,MEDICINE LODGE,KS
81,03960,66.3,77.4,347.1,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
82,03962,66.1,83.7,265.7,-93.096,34.478,HOT SPRINGS,AR
83,03963,68.0,78.1,362.5,-92.156,38.591,JEFFERSON CITY,MO
84,03965,66.8,82.9,283.6,-97.086,36.160,STILLWATER,OK
85,03966,65.9,77.8,336.0,-90.656,38.657,ST LOUIS,MO
86,03967,67.0,77.5,355.7,-94.739,38.850,OLATHE,KS
87,03971,64.8,87.3,215.2,-96.868,32.681,DALLAS,TX
88,03974,66.1,79.6,315.0,-97.219,37.750,WICHITA,KS
89,03975,68.8,79.3,357.0,-90.325,36.773,POPLAR BLUFF,MO
90,03981,62.1,85.1,208.4,-98.984,34.352,FREDERICK,OK
91,03991,64.9,86.0,228.8,-97.199,33.206,DENTON,TX
92,03994,67.9,77.1,375.5,-93.183,38.704,SEDALIA,MO
93,03996,69.8,82.6,326.8,-91.030,32.348,TALLULAH/VICKSBURG,MS
94,03997,67.1,78.2,347.7,-95.212,39.008,LAWRENCE,KS
95,03998,68.1,79.7,341.6,-95.504,37.328,PARSONS,KS
96,03999,65.0,83.9,250.9,-98.235,30.741,BURNET,TX
97,04109,50.9,72.1,214.6,-115.596,46.144,ELK CITY,ID
98,04110,41.2,73.8,114.1,-114.456,42.727,JEROME,ID
99,04111,31.9,68.5,81.4,-111.031,41.273,EVANSTON,WY
100,04112,32.4,57.3,162.8,-114.927,44.171,STANLEY,ID
101,04113,43.6,73.8,132.6,-119.261,45.826,HERMISTON,OR
102,04114,33.2,69.4,85.1,-114.215,41.523,CHALLIS,ID
103,04134,33.3,81.7,30.9,-113.351,40.161,DUGWAY PROVING GROUND,UT
104,04201,50.8,67.5,263.3,-122.861,45.773,SCAPPOOSE,OR
105,04724,61.2,70.9,363.7,-78.945,43.107,NIAGARA FALLS,NY
106,04725,60.0,69.9,360.0,-75.981,42.208,BINGHAMTON,NY
107,04726,57.6,69.5,329.8,-78.834,40.301,JOHNSTOWN,PA
108,04751,56.7,64.9,384.7,-78.640,41.803,BRADFORD,PA
109,04780,62.0,73.6,337.2,-71.756,42.552,FITCHBURG,MA
110,04781,64.4,75.9,340.3,-73.102,40.794,ISLIP,NY
