,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,57.5,76.8,240.5,-102.688,38.070,LAMAR,CO
1,03017,46.0,74.1,150.5,-104.658,39.833,DENVER,CO
2,03024,61.9,79.5,262.7,-101.394,35.700,BORGER,TX
3,03026,55.0,73.5,246.6,-102.284,39.245,BURLINGTON,CO
4,03027,48.8,69.7,215.8,-105.663,35.003,CLINES CORNERS,NM
5,03028,56.0,75.3,238.6,-102.614,37.283,SPRINGFIELD,CO
6,03029,46.4,69.7,190.5,-109.061,35.658,WINDOW ROCK,AZ
7,03030,61.2,77.1,281.1,-101.505,36.682,GUYMON,OK
8,03031,57.1,84.8,164.0,-102.387,31.921,ODESSA,TX
9,03032,61.5,87.7,180.1,-102.213,30.048,DRYDEN,TX
10,03102,56.4,81.4,185.0,-117.600,34.056,ONTARIO,CA
11,03103,49.1,65.6,263.9,-111.672,35.140,FLAGSTAFF,AZ
12,03104,54.0,93.5,87.0,-116.160,33.628,PALM SPRINGS,CA
13,03124,57.5,79.3,215.2,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
14,03131,62.4,76.1,309.5,-117.139,32.816,SAN DIEGO,CA
15,03144,55.4,96.8,79.0,-115.579,32.834,IMPERIAL,CA
16,03145,61.5,97.8,111.0,-114.617,32.650,YUMA,AZ
17,03159,42.3,83.2,69.7,-118.219,34.741,LANCASTER,CA
18,03162,48.7,81.7,119.0,-111.448,36.926,PAGE,AZ
19,03164,49.8,74.6,180.7,-116.467,32.617,CAMPO,CA
20,03166,62.1,78.8,272.5,-117.979,33.872,FULLERTON,CA
21,03167,62.6,75.7,317.5,-118.334,33.923,HAWTHORNE,CA
22,03170,31.9,70.6,70.3,-116.006,39.601,EUREKA,NV
23,03171,57.3,81.5,193.0,-117.439,33.952,RIVERSIDE,CA
24,03177,64.2,73.2,376.7,-117.279,33.128,CARLSBAD,CA
25,03179,58.6,80.7,213.3,-117.636,33.975,CHINO,CA
26,03184,56.6,94.0,100.5,-112.082,33.688,PHOENIX,AZ
27,03192,57.2,94.5,101.8,-111.911,33.623,SCOTTSDALE,AZ
28,03195,47.7,65.8,244.2,-112.155,35.946,GRAND CANYON,AZ
29,03196,59.8,80.5,228.1,-110.846,31.421,NOGALES,AZ
30,03757,65.8,75.4,368.1,-76.429,38.142,ST INIGOES,MD
31,03802,60.4,70.9,351.4,-80.229,39.296,CLARKSBURG,WV
32,03804,60.6,71.6,344.6,-81.439,39.345,PARKERSBURG,WV
33,03810,63.4,77.4,306.4,-81.390,35.741,HICKORY,NC
34,03811,66.5,76.6,361.3,-88.917,35.593,JACKSON,TN
35,03812,61.5,73.8,327.4,-82.538,35.432,ASHEVILLE,NC
36,03813,70.5,80.6,363.7,-83.654,32.688,MACON,GA
37,03816,65.7,75.2,369.9,-88.774,37.056,PADUCAH,KY
38,03818,73.2,82.9,371.1,-85.184,30.836,MARIANNA,FL
39,03820,70.3,80.6,360.7,-81.965,33.370,AUGUSTA,GA
40,03822,72.0,81.8,369.3,-81.202,32.119,SAVANNAH,GA
41,03847,63.1,72.5,369.9,-85.085,35.951,CROSSVILLE,TN
42,03853,74.9,82.4,405.0,-81.417,30.400,MAYPORT,FL
43,03856,67.0,79.2,332.3,-86.786,34.644,HUNTSVILLE,AL
44,03859,59.5,72.0,323.1,-81.208,37.296,BLUEFIELD,WV
45,03860,62.6,71.9,371.1,-82.555,38.382,HUNTINGTON,WV
46,03866,67.7,81.2,315.7,-88.567,32.550,MERIDIAN,MS
47,03868,62.2,71.7,367.4,-87.309,39.452,TERRE HAUTE,IN
48,03870,65.5,79.1,313.2,-82.219,34.899,GREER,SC
49,03872,59.5,69.5,358.2,-81.125,37.795,BECKLEY,WV
50,03878,71.4,81.8,360.0,-86.012,31.861,TROY,AL
51,03887,62.0,73.0,345.3,-88.866,39.984,DECATUR,IL
52,03888,67.0,78.9,336.6,-84.521,33.779,ATLANTA,GA
53,03889,63.1,72.8,365.0,-83.314,37.591,JACKSON,KY
54,03893,62.9,71.4,383.5,-86.617,39.144,BLOOMINGTON,IN
55,03894,64.8,74.2,370.5,-87.415,36.622,CLARKSVILLE,TN
56,03901,67.9,84.4,279.9,-94.711,32.385,LONGVIEW,TX
57,03904,69.3,85.9,279.9,-96.364,30.588,COLLEGE STATION,TX
58,03919,63.1,76.8,310.1,-97.661,38.813,SALINA,KS
59,03927,63.8,87.3,205.3,-97.041,32.896,DALLAS-FORT WORTH,TX
60,03928,64.2,77.0,322.4,-97.429,37.647,WICHITA,KS
61,03932,62.3,81.8,242.3,-99.200,35.340,CLINTON,OK
62,03935,66.5,74.5,393.3,-89.571,37.225,CAPE GIRARDEAU,MO
63,03936,64.3,75.7,341.6,-96.678,39.135,MANHATTAN,KS
64,03937,71.6,83.5,339.7,-93.228,30.125,LAKE CHARLES,LA
65,03940,66.1,83.5,268.2,-90.078,32.320,JACKSON,MS
66,03945,64.9,73.7,379.8,-92.218,38.817,COLUMBIA,MO
67,03947,64.2,74.5,357.0,-94.718,39.299,KANSAS CITY,MO
68,03950,64.5,82.5,260.2,-98.416,34.568,LAWTON,OK
69,03953,67.7,75.6,395.2,-90.646,35.831,JONESBORO,AR
70,03954,64.8,81.0,280.5,-97.647,35.534,OKLAHOMA CITY,OK
71,03957,64.1,78.0,308.3,-98.553,37.284,MEDICINE LODGE,KS
72,03959,67.1,75.5,387.2,-96.011,36.762,BARTLESVILLE,OK
73,03960,64.3,75.8,340.3,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
74,03962,65.3,81.5,281.1,-93.096,34.478,HOT SPRINGS,AR
75,03963,64.1,74.5,355.7,-92.156,38.591,JEFFERSON CITY,MO
76,03965,64.8,79.2,302.7,-97.086,36.160,STILLWATER,OK
77,03966,66.3,74.7,386.6,-90.656,38.657,ST LOUIS,MO
78,03967,64.5,74.5,361.9,-94.739,38.850,OLATHE,KS
79,03971,64.1,86.2,218.3,-96.868,32.681,DALLAS,TX
80,03974,64.5,75.3,350.2,-97.219,37.750,WICHITA,KS
81,03975,67.2,75.4,390.3,-90.325,36.773,POPLAR BLUFF,MO
82,03981,65.7,83.3,265.7,-98.984,34.352,FREDERICK,OK
83,03991,65.3,85.3,239.8,-97.199,33.206,DENTON,TX
