,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,12.1,28.9,225.1,-102.688,38.070,LAMAR,CO
1,03017,10.4,29.0,202.2,-104.658,39.833,DENVER,CO
2,03024,17.9,38.3,189.9,-101.394,35.700,BORGER,TX
3,03026,13.7,28.5,252.2,-102.284,39.245,BURLINGTON,CO
4,03027,10.2,28.7,202.9,-105.663,35.003,CLINES CORNERS,NM
5,03028,12.6,32.4,191.2,-102.614,37.283,SPRINGFIELD,CO
6,03029,13.2,27.9,253.4,-109.061,35.658,WINDOW ROCK,AZ
7,03030,16.2,36.1,193.6,-101.505,36.682,GUYMON,OK
8,03032,25.3,53.5,128.9,-102.213,30.048,DRYDEN,TX
9,03068,7.9,26.4,200.4,-104.300,38.767,BULLSEYE,CO
10,03102,32.6,52.8,207.2,-117.600,34.056,ONTARIO,CA
11,03103,11.8,27.8,234.9,-111.672,35.140,FLAGSTAFF,AZ
12,03104,28.8,53.4,161.6,-116.160,33.628,PALM SPRINGS,CA
13,03124,17.6,50.9,86.4,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
14,03131,38.1,53.9,262.7,-117.139,32.816,SAN DIEGO,CA
15,03144,29.2,55.2,149.9,-115.579,32.834,IMPERIAL,CA
16,03145,24.1,56.9,96.2,-114.617,32.650,YUMA,AZ
17,03159,27.0,44.2,234.9,-118.219,34.741,LANCASTER,CA
18,03160,19.5,44.3,149.9,-116.028,36.621,MERCURY,NV
19,03162,15.5,38.9,158.5,-111.448,36.926,PAGE,AZ
20,03164,26.3,43.5,234.3,-116.467,32.617,CAMPO,CA
21,03166,38.8,54.7,262.0,-117.979,33.872,FULLERTON,CA
22,03167,39.8,55.8,261.4,-118.334,33.923,HAWTHORNE,CA
23,03170,12.4,27.5,247.2,-116.006,39.601,EUREKA,NV
24,03171,32.6,53.3,202.2,-117.439,33.952,RIVERSIDE,CA
25,03177,38.8,55.3,254.6,-117.279,33.128,CARLSBAD,CA
26,03178,37.4,52.3,273.1,-116.979,32.572,SAN DIEGO,CA
