,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,21.1,34.2,283.0,-102.688,38.070,LAMAR,CO
1,03017,15.0,29.4,259.0,-104.658,39.833,DENVER,CO
2,03024,25.4,42.9,230.0,-101.394,35.700,BORGER,TX
3,03026,18.1,32.6,260.8,-102.284,39.245,BURLINGTON,CO
4,03027,16.2,30.7,259.0,-105.663,35.003,CLINES CORNERS,NM
5,03028,21.1,33.4,294.7,-102.614,37.283,SPRINGFIELD,CO
6,03029,12.2,28.6,230.0,-109.061,35.658,WINDOW ROCK,AZ
7,03030,23.4,38.8,254.0,-101.505,36.682,GUYMON,OK
8,03031,30.8,48.5,233.1,-102.387,31.921,ODESSA,TX
9,03032,36.3,55.2,224.4,-102.213,30.048,DRYDEN,TX
10,03102,29.8,53.1,173.9,-117.600,34.056,ONTARIO,CA
11,03103,15.1,27.9,281.8,-111.672,35.140,FLAGSTAFF,AZ
12,03104,25.8,52.0,144.9,-116.160,33.628,PALM SPRINGS,CA
13,03124,21.3,47.0,144.3,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
14,03131,39.1,55.3,258.3,-117.139,32.816,SAN DIEGO,CA
15,03144,27.0,55.1,131.4,-115.579,32.834,IMPERIAL,CA
16,03145,25.9,56.6,111.6,-114.617,32.650,YUMA,AZ
17,03160,18.5,40.8,172.0,-116.028,36.621,MERCURY,NV
18,03162,19.5,36.9,225.1,-111.448,36.926,PAGE,AZ
19,03164,25.5,45.5,202.2,-116.467,32.617,CAMPO,CA
20,03166,36.2,55.9,215.8,-117.979,33.872,FULLERTON,CA
21,03167,35.7,58.0,189.3,-118.334,33.923,HAWTHORNE,CA
22,03170,15.7,18.0,481.5,-116.006,39.601,EUREKA,NV
23,03171,28.4,54.2,151.1,-117.439,33.952,RIVERSIDE,CA
24,03177,38.7,55.3,253.4,-117.279,33.128,CARLSBAD,CA
25,03178,37.9,54.1,257.7,-116.979,32.572,SAN DIEGO,CA
26,03179,32.5,54.2,191.8,-117.636,33.975,CHINO,CA
27,03184,25.5,50.3,156.0,-112.082,33.688,PHOENIX,AZ
28,03192,27.6,49.9,181.3,-111.911,33.623,SCOTTSDALE,AZ
29,03195,13.0,26.3,272.5,-112.155,35.946,GRAND CANYON,AZ
30,03196,22.6,48.0,148.0,-110.846,31.421,NOGALES,AZ
31,03757,46.2,52.2,416.1,-76.429,38.142,ST INIGOES,MD
32,03802,40.3,45.2,434.0,-80.229,39.296,CLARKSBURG,WV
33,03804,39.5,47.3,381.0,-81.439,39.345,PARKERSBURG,WV
34,03810,44.4,52.0,387.2,-81.390,35.741,HICKORY,NC
35,03811,43.2,50.8,386.6,-88.917,35.593,JACKSON,TN
36,03812,42.8,51.2,373.0,-82.538,35.432,ASHEVILLE,NC
37,03813,51.7,58.7,401.3,-83.654,32.688,MACON,GA
38,03816,40.1,48.9,364.4,-88.774,37.056,PADUCAH,KY
39,03818,56.6,62.4,424.8,-85.184,30.836,MARIANNA,FL
40,03820,52.8,59.3,410.6,-81.965,33.370,AUGUSTA,GA
41,03822,55.6,64.3,376.1,-81.202,32.119,SAVANNAH,GA
42,03847,43.5,51.6,378.5,-85.085,35.951,CROSSVILLE,TN
43,03849,41.4,49.5,376.7,-84.077,37.087,LONDON,KY
44,03856,45.7,55.2,357.0,-86.786,34.644,HUNTSVILLE,AL
45,03860,41.8,48.0,410.6,-82.555,38.382,HUNTINGTON,WV
46,03866,49.3,56.9,390.3,-88.567,32.550,MERIDIAN,MS
47,03868,36.7,43.1,404.4,-87.309,39.452,TERRE HAUTE,IN
48,03870,48.2,55.2,399.5,-82.219,34.899,GREER,SC
49,03872,39.7,47.7,377.3,-81.125,37.795,BECKLEY,WV
50,03878,52.3,59.6,397.0,-86.012,31.861,TROY,AL
51,03887,36.5,42.2,417.4,-88.866,39.984,DECATUR,IL
52,03888,47.4,55.7,377.3,-84.521,33.779,ATLANTA,GA
53,03889,41.2,51.0,349.0,-83.314,37.591,JACKSON,KY
54,03893,37.7,43.7,411.8,-86.617,39.144,BLOOMINGTON,IN
55,03894,42.5,50.5,379.2,-87.415,36.622,CLARKSVILLE,TN
56,03901,46.4,54.0,388.4,-94.711,32.385,LONGVIEW,TX
57,03904,48.8,57.7,368.7,-96.364,30.588,COLLEGE STATION,TX
58,03919,28.7,39.0,331.7,-97.661,38.813,SALINA,KS
59,03927,40.9,53.7,304.6,-97.041,32.896,DALLAS-FORT WORTH,TX
60,03928,31.6,41.2,345.3,-97.429,37.647,WICHITA,KS
61,03932,32.3,43.8,316.3,-99.200,35.340,CLINTON,OK
62,03935,40.5,46.7,410.0,-89.571,37.225,CAPE GIRARDEAU,MO
63,03936,30.2,37.8,378.5,-96.678,39.135,MANHATTAN,KS
64,03937,52.9,60.0,400.7,-93.228,30.125,LAKE CHARLES,LA
65,03940,49.5,58.3,370.5,-90.078,32.320,JACKSON,MS
66,03945,34.9,42.6,379.8,-92.218,38.817,COLUMBIA,MO
67,03947,31.6,39.7,370.5,-94.718,39.299,KANSAS CITY,MO
68,03949,50.4,57.7,395.8,-93.283,31.400,FORT POLK,LA
69,03950,34.9,45.7,328.6,-98.416,34.568,LAWTON,OK
70,03953,43.0,48.6,422.3,-90.646,35.831,JONESBORO,AR
71,03954,34.6,45.7,324.3,-97.647,35.534,OKLAHOMA CITY,OK
72,03957,30.8,40.1,349.6,-98.553,37.284,MEDICINE LODGE,KS
73,03959,33.4,42.5,355.1,-96.011,36.762,BARTLESVILLE,OK
74,03960,36.3,44.7,368.7,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
75,03962,41.9,50.7,365.6,-93.096,34.478,HOT SPRINGS,AR
76,03963,34.8,43.2,367.4,-92.156,38.591,JEFFERSON CITY,MO
77,03965,34.7,44.0,352.7,-97.086,36.160,STILLWATER,OK
78,03966,36.3,43.2,394.6,-90.656,38.657,ST LOUIS,MO
79,03967,31.7,40.2,363.7,-94.739,38.850,OLATHE,KS
