,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,30.4,54.1,170.8,-102.688,38.070,LAMAR,CO
1,03017,26.5,52.6,146.2,-104.658,39.833,DENVER,CO
2,03024,38.4,62.2,178.2,-101.394,35.700,BORGER,TX
3,03026,30.7,52.2,192.4,-102.284,39.245,BURLINGTON,CO
4,03027,28.3,51.3,175.1,-105.663,35.003,CLINES CORNERS,NM
5,03028,30.5,55.3,161.6,-102.614,37.283,SPRINGFIELD,CO
6,03030,37.2,59.7,188.7,-101.505,36.682,GUYMON,OK
7,03032,46.9,71.4,180.7,-102.213,30.048,DRYDEN,TX
8,03068,25.8,48.7,173.9,-104.300,38.767,BULLSEYE,CO
9,03102,45.9,65.2,229.4,-117.600,34.056,ONTARIO,CA
10,03103,28.6,47.6,215.8,-111.672,35.140,FLAGSTAFF,AZ
11,03104,40.9,75.0,104.2,-116.160,33.628,PALM SPRINGS,CA
12,03124,30.9,67.5,80.8,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
13,03131,52.5,66.2,301.5,-117.139,32.816,SAN DIEGO,CA
14,03144,41.4,76.1,101.2,-115.579,32.834,IMPERIAL,CA
15,03145,38.3,79.4,64.8,-114.617,32.650,YUMA,AZ
16,03154,51.1,63.1,323.7,-117.350,33.300,CAMP PENDLETON,CA
17,03159,32.7,63.1,120.3,-118.219,34.741,LANCASTER,CA
18,03160,24.2,64.8,54.3,-116.028,36.621,MERCURY,NV
19,03162,31.4,61.8,119.0,-111.448,36.926,PAGE,AZ
20,03164,35.1,61.2,155.4,-116.467,32.617,CAMPO,CA
21,03166,52.3,69.0,264.5,-117.979,33.872,FULLERTON,CA
22,03167,53.1,66.6,304.6,-118.334,33.923,HAWTHORNE,CA
23,03170,24.2,46.4,178.8,-116.006,39.601,EUREKA,NV
24,03171,46.4,69.3,194.2,-117.439,33.952,RIVERSIDE,CA
25,03177,53.1,64.1,339.1,-117.279,33.128,CARLSBAD,CA
26,03178,52.0,64.8,313.2,-116.979,32.572,SAN DIEGO,CA
27,03179,49.7,63.5,297.8,-117.636,33.975,CHINO,CA
28,03184,34.4,75.4,61.7,-112.082,33.688,PHOENIX,AZ
29,03192,39.3,75.7,89.4,-111.911,33.623,SCOTTSDALE,AZ
30,03196,32.0,67.1,90.1,-110.846,31.421,NOGALES,AZ
31,03749,40.9,52.5,321.2,-77.468,39.645,CAMP DAVID,MD
32,03757,48.4,58.2,353.9,-76.429,38.142,ST INIGOES,MD
33,03810,45.4,58.5,304.0,-81.390,35.741,HICKORY,NC
34,03811,45.3,56.6,329.2,-88.917,35.593,JACKSON,TN
35,03812,42.5,50.9,372.4,-82.538,35.432,ASHEVILLE,NC
36,03813,49.3,61.3,322.4,-83.654,32.688,MACON,GA
37,03816,43.5,57.8,286.1,-88.774,37.056,PADUCAH,KY
38,03820,48.4,60.9,314.4,-81.965,33.370,AUGUSTA,GA
39,03822,52.6,64.6,324.9,-81.202,32.119,SAVANNAH,GA
40,03847,43.1,54.9,320.6,-85.085,35.951,CROSSVILLE,TN
