,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,31.9,51.7,210.9,-102.688,38.070,LAMAR,CO
1,03017,26.4,49.1,176.4,-104.658,39.833,DENVER,CO
2,03024,36.1,60.3,172.0,-101.394,35.700,BORGER,TX
3,03026,30.8,49.3,223.8,-102.284,39.245,BURLINGTON,CO
4,03028,31.6,52.7,197.3,-102.614,37.283,SPRINGFIELD,CO
5,03029,18.7,49.6,103.0,-109.061,35.658,WINDOW ROCK,AZ
6,03030,35.0,56.0,201.6,-101.505,36.682,GUYMON,OK
7,03032,50.4,72.0,210.3,-102.213,30.048,DRYDEN,TX
8,03102,47.3,71.2,186.2,-117.600,34.056,ONTARIO,CA
9,03103,25.2,49.3,162.2,-111.672,35.140,FLAGSTAFF,AZ
10,03104,45.0,76.7,124.0,-116.160,33.628,PALM SPRINGS,CA
11,03124,32.0,68.3,83.3,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
12,03131,53.1,68.3,283.0,-117.139,32.816,SAN DIEGO,CA
13,03144,42.5,77.0,103.6,-115.579,32.834,IMPERIAL,CA
14,03145,42.7,79.4,91.3,-114.617,32.650,YUMA,AZ
15,03154,51.2,65.7,290.4,-117.350,33.300,CAMP PENDLETON,CA
16,03159,35.1,65.3,124.0,-118.219,34.741,LANCASTER,CA
17,03160,27.5,64.9,72.8,-116.028,36.621,MERCURY,NV
18,03162,27.1,63.1,80.2,-111.448,36.926,PAGE,AZ
19,03164,36.8,61.7,167.1,-116.467,32.617,CAMPO,CA
20,03166,53.2,72.8,233.1,-117.979,33.872,FULLERTON,CA
21,03167,52.8,69.7,262.7,-118.334,33.923,HAWTHORNE,CA
22,03170,23.4,49.5,143.1,-116.006,39.601,EUREKA,NV
23,03171,47.7,70.9,193.0,-117.439,33.952,RIVERSIDE,CA
24,03177,54.5,68.2,303.3,-117.279,33.128,CARLSBAD,CA
25,03178,52.9,67.5,290.4,-116.979,32.572,SAN DIEGO,CA
26,03179,49.3,68.9,229.4,-117.636,33.975,CHINO,CA
27,03184,36.0,75.4,71.0,-112.082,33.688,PHOENIX,AZ
28,03192,38.3,76.1,81.4,-111.911,33.623,SCOTTSDALE,AZ
29,03195,21.1,48.0,134.4,-112.155,35.946,GRAND CANYON,AZ
30,03196,33.6,67.1,101.2,-110.846,31.421,NOGALES,AZ
31,03749,44.4,54.1,352.7,-77.468,39.645,CAMP DAVID,MD
32,03802,44.5,53.4,365.6,-80.229,39.296,CLARKSBURG,WV
33,03804,44.5,54.2,352.7,-81.439,39.345,PARKERSBURG,WV
34,03810,47.9,58.6,340.3,-81.390,35.741,HICKORY,NC
35,03812,45.8,55.8,349.0,-82.538,35.432,ASHEVILLE,NC
36,03813,52.6,65.3,315.0,-83.654,32.688,MACON,GA
37,03816,45.0,56.6,324.9,-88.774,37.056,PADUCAH,KY
38,03818,56.8,68.0,339.1,-85.184,30.836,MARIANNA,FL
39,03820,52.8,64.7,326.1,-81.965,33.370,AUGUSTA,GA
40,03822,57.3,68.8,335.4,-81.202,32.119,SAVANNAH,GA
41,03847,44.8,54.5,353.3,-85.085,35.951,CROSSVILLE,TN
