,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,55.0,77.5,205.9,-102.688,38.070,LAMAR,CO
1,03016,43.6,69.7,163.4,-107.726,39.526,RIFLE,CO
2,03017,46.4,73.8,156.0,-104.658,39.833,DENVER,CO
3,03024,58.0,82.2,193.6,-101.394,35.700,BORGER,TX
4,03026,54.8,73.9,239.8,-102.284,39.245,BURLINGTON,CO
5,03027,48.8,68.9,223.8,-105.663,35.003,CLINES CORNERS,NM
6,03028,55.5,76.7,218.9,-102.614,37.283,SPRINGFIELD,CO
7,03029,49.3,67.1,249.1,-109.061,35.658,WINDOW ROCK,AZ
8,03030,58.1,80.3,212.1,-101.505,36.682,GUYMON,OK
9,03031,58.5,84.5,178.8,-102.387,31.921,ODESSA,TX
10,03032,63.1,83.8,231.2,-102.213,30.048,DRYDEN,TX
11,03068,47.9,68.9,214.0,-104.300,38.767,BULLSEYE,CO
12,03102,51.0,77.4,168.3,-117.600,34.056,ONTARIO,CA
13,03103,50.2,64.4,293.5,-111.672,35.140,FLAGSTAFF,AZ
14,03104,51.3,89.8,89.4,-116.160,33.628,PALM SPRINGS,CA
15,03124,62.3,77.3,292.9,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
16,03131,57.5,70.2,318.7,-117.139,32.816,SAN DIEGO,CA
17,03144,51.1,92.6,74.7,-115.579,32.834,IMPERIAL,CA
18,03145,53.3,94.8,76.5,-114.617,32.650,YUMA,AZ
19,03159,36.4,79.4,54.9,-118.219,34.741,LANCASTER,CA
20,03160,30.7,83.0,16.7,-116.028,36.621,MERCURY,NV
21,03162,47.2,79.2,124.0,-111.448,36.926,PAGE,AZ
22,03164,46.1,71.1,175.1,-116.467,32.617,CAMPO,CA
23,03166,54.4,72.4,251.6,-117.979,33.872,FULLERTON,CA
24,03167,56.4,68.6,324.9,-118.334,33.923,HAWTHORNE,CA
25,03170,22.2,66.3,37.7,-116.006,39.601,EUREKA,NV
26,03171,52.0,78.2,170.8,-117.439,33.952,RIVERSIDE,CA
27,03177,57.8,68.7,344.0,-117.279,33.128,CARLSBAD,CA
28,03178,57.1,67.9,345.3,-116.979,32.572,SAN DIEGO,CA
29,03179,52.9,75.9,199.8,-117.636,33.975,CHINO,CA
30,03184,56.0,90.5,116.6,-112.082,33.688,PHOENIX,AZ
31,03192,58.6,92.0,125.8,-111.911,33.623,SCOTTSDALE,AZ
32,03195,46.6,64.5,245.4,-112.155,35.946,GRAND CANYON,AZ
33,03196,61.5,79.5,257.7,-110.846,31.421,NOGALES,AZ
34,03749,60.0,73.6,308.9,-77.468,39.645,CAMP DAVID,MD
35,03757,68.4,76.4,393.9,-76.429,38.142,ST INIGOES,MD
36,03810,69.9,78.6,384.1,-81.390,35.741,HICKORY,NC
37,03811,71.4,82.8,346.5,-88.917,35.593,JACKSON,TN
38,03812,67.3,75.7,387.2,-82.538,35.432,ASHEVILLE,NC
39,03813,73.6,83.8,364.4,-83.654,32.688,MACON,GA
40,03816,67.3,81.8,303.3,-88.774,37.056,PADUCAH,KY
41,03818,74.6,85.8,351.4,-85.184,30.836,MARIANNA,FL
42,03820,73.8,82.3,389.6,-81.965,33.370,AUGUSTA,GA
43,03822,74.0,84.2,365.0,-81.202,32.119,SAVANNAH,GA
44,03847,67.8,77.8,363.7,-85.085,35.951,CROSSVILLE,TN
45,03849,68.0,77.4,372.4,-84.077,37.087,LONDON,KY
46,03853,73.2,84.0,355.7,-81.417,30.400,MAYPORT,FL
47,03855,76.1,84.0,399.5,-87.317,30.350,PENSACOLA,FL
48,03856,70.6,84.7,310.7,-86.786,34.644,HUNTSVILLE,AL
49,03859,63.8,74.8,346.5,-81.208,37.296,BLUEFIELD,WV
50,03860,66.8,76.8,363.1,-82.555,38.382,HUNTINGTON,WV
51,03866,71.9,83.8,339.7,-88.567,32.550,MERIDIAN,MS
52,03868,66.3,76.6,358.2,-87.309,39.452,TERRE HAUTE,IN
53,03870,71.3,80.2,382.2,-82.219,34.899,GREER,SC
54,03872,64.3,72.9,382.9,-81.125,37.795,BECKLEY,WV
55,03878,73.2,83.3,365.6,-86.012,31.861,TROY,AL
56,03887,66.1,76.8,352.7,-88.866,39.984,DECATUR,IL
57,03888,71.4,82.7,347.7,-84.521,33.779,ATLANTA,GA
58,03889,66.7,77.4,352.7,-83.314,37.591,JACKSON,KY
59,03893,65.4,76.1,352.0,-86.617,39.144,BLOOMINGTON,IN
60,03894,67.9,80.9,322.4,-87.415,36.622,CLARKSVILLE,TN
61,03901,71.1,87.4,284.8,-94.711,32.385,LONGVIEW,TX
62,03902,64.0,91.5,172.0,-97.822,31.070,FORT HOOD/KILLEEN,TX
63,03904,68.8,89.1,239.8,-96.364,30.588,COLLEGE STATION,TX
64,03919,64.5,81.7,268.8,-97.661,38.813,SALINA,KS
65,03927,67.0,89.8,214.6,-97.041,32.896,DALLAS-FORT WORTH,TX
66,03928,65.6,83.5,262.0,-97.429,37.647,WICHITA,KS
67,03931,73.1,85.8,330.5,-93.192,31.045,FORT POLK,LA
68,03932,61.2,85.6,194.9,-99.200,35.340,CLINTON,OK
69,03935,69.3,80.3,350.2,-89.571,37.225,CAPE GIRARDEAU,MO
70,03936,65.4,80.8,291.0,-96.678,39.135,MANHATTAN,KS
71,03937,75.5,85.7,365.6,-93.228,30.125,LAKE CHARLES,LA
72,03940,73.3,84.6,349.0,-90.078,32.320,JACKSON,MS
73,03945,68.6,78.1,371.8,-92.218,38.817,COLUMBIA,MO
74,03947,68.4,81.2,325.5,-94.718,39.299,KANSAS CITY,MO
75,03949,73.1,86.4,322.4,-93.283,31.400,FORT POLK,LA
76,03950,65.6,86.4,232.5,-98.416,34.568,LAWTON,OK
77,03953,69.7,84.9,296.6,-90.646,35.831,JONESBORO,AR
78,03954,64.0,86.1,218.3,-97.647,35.534,OKLAHOMA CITY,OK
79,03957,63.9,83.0,247.9,-98.553,37.284,MEDICINE LODGE,KS
80,03959,69.4,82.0,328.6,-96.011,36.762,BARTLESVILLE,OK
81,03960,68.3,78.4,362.5,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
82,03962,70.0,86.2,284.8,-93.096,34.478,HOT SPRINGS,AR
83,03963,68.9,80.1,347.1,-92.156,38.591,JEFFERSON CITY,MO
84,03965,66.9,84.7,264.5,-97.086,36.160,STILLWATER,OK
85,03966,68.6,79.8,347.1,-90.656,38.657,ST LOUIS,MO
86,03967,67.1,80.3,319.4,-94.739,38.850,OLATHE,KS
87,03971,67.6,89.3,225.7,-96.868,32.681,DALLAS,TX
88,03974,64.7,82.6,261.4,-97.219,37.750,WICHITA,KS
89,03975,70.8,81.8,351.4,-90.325,36.773,POPLAR BLUFF,MO
90,03981,64.6,88.5,202.2,-98.984,34.352,FREDERICK,OK
91,03991,68.3,87.5,250.9,-97.199,33.206,DENTON,TX
92,03994,68.6,80.3,340.3,-93.183,38.704,SEDALIA,MO
93,03996,73.3,85.1,342.2,-91.030,32.348,TALLULAH/VICKSBURG,MS
94,03997,67.5,79.7,332.9,-95.212,39.008,LAWRENCE,KS
95,03998,67.6,82.9,293.5,-95.504,37.328,PARSONS,KS
96,03999,65.3,85.7,236.2,-98.235,30.741,BURNET,TX
97,04109,53.1,71.3,247.9,-115.596,46.144,ELK CITY,ID
98,04110,40.6,68.6,145.5,-114.456,42.727,JEROME,ID
99,04111,34.7,63.9,130.7,-111.031,41.273,EVANSTON,WY
100,04112,33.3,54.4,198.6,-114.927,44.171,STANLEY,ID
101,04113,44.5,71.8,154.8,-119.261,45.826,HERMISTON,OR
102,04114,37.9,63.8,159.7,-114.215,41.523,CHALLIS,ID
103,04134,35.3,76.7,61.1,-113.351,40.161,DUGWAY PROVING GROUND,UT
104,04201,52.3,65.4,309.5,-122.861,45.773,SCAPPOOSE,OR
105,04724,62.6,72.4,363.1,-78.945,43.107,NIAGARA FALLS,NY
106,04725,58.3,69.3,342.8,-75.981,42.208,BINGHAMTON,NY
