,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,19.8,31.1,308.9,-102.688,38.070,LAMAR,CO
1,03016,21.3,30.3,347.7,-107.726,39.526,RIFLE,CO
2,03017,16.8,31.3,259.6,-104.658,39.833,DENVER,CO
3,03024,26.8,41.2,270.1,-101.394,35.700,BORGER,TX
4,03026,18.5,29.7,309.5,-102.284,39.245,BURLINGTON,CO
5,03027,20.6,32.9,294.1,-105.663,35.003,CLINES CORNERS,NM
6,03028,21.5,33.2,304.0,-102.614,37.283,SPRINGFIELD,CO
7,03029,21.7,33.4,304.6,-109.061,35.658,WINDOW ROCK,AZ
8,03030,26.3,38.4,302.1,-101.505,36.682,GUYMON,OK
9,03031,33.7,48.8,267.6,-102.387,31.921,ODESSA,TX
10,03032,40.9,53.4,308.9,-102.213,30.048,DRYDEN,TX
11,03102,41.5,56.7,273.1,-117.600,34.056,ONTARIO,CA
12,03103,22.7,33.2,323.7,-111.672,35.140,FLAGSTAFF,AZ
13,03104,37.5,55.2,239.2,-116.160,33.628,PALM SPRINGS,CA
14,03124,28.8,49.2,201.6,-110.344,31.588,FORT HUACHUCA/SIERRA VISTA,AZ
15,03131,47.6,58.7,334.2,-117.139,32.816,SAN DIEGO,CA
16,03144,40.2,57.1,250.9,-115.579,32.834,IMPERIAL,CA
17,03159,36.4,46.5,340.9,-118.219,34.741,LANCASTER,CA
18,03160,30.3,45.2,267.0,-116.028,36.621,MERCURY,NV
19,03162,26.6,40.9,271.3,-111.448,36.926,PAGE,AZ
20,03164,36.6,48.3,316.9,-116.467,32.617,CAMPO,CA
21,03166,45.8,59.3,299.0,-117.979,33.872,FULLERTON,CA
22,03167,46.7,60.4,297.2,-118.334,33.923,HAWTHORNE,CA
23,03170,22.8,32.1,344.0,-116.006,39.601,EUREKA,NV
24,03171,41.2,56.6,270.1,-117.439,33.952,RIVERSIDE,CA
25,03177,47.0,58.3,330.5,-117.279,33.128,CARLSBAD,CA
26,03179,43.8,55.1,328.0,-117.636,33.975,CHINO,CA
27,03184,36.9,54.8,236.8,-112.082,33.688,PHOENIX,AZ
28,03192,38.2,55.2,247.9,-111.911,33.623,SCOTTSDALE,AZ
29,03195,23.2,32.7,340.9,-112.155,35.946,GRAND CANYON,AZ
30,03196,30.0,50.1,205.9,-110.846,31.421,NOGALES,AZ
31,03757,31.8,42.6,326.8,-76.429,38.142,ST INIGOES,MD
32,03802,31.1,37.9,393.9,-80.229,39.296,CLARKSBURG,WV
33,03804,30.0,38.3,366.2,-81.439,39.345,PARKERSBURG,WV
34,03810,33.1,44.4,320.0,-81.390,35.741,HICKORY,NC
35,03811,36.7,43.6,395.2,-88.917,35.593,JACKSON,TN
36,03812,33.3,44.2,326.1,-82.538,35.432,ASHEVILLE,NC
37,03813,42.8,51.0,376.1,-83.654,32.688,MACON,GA
38,03816,34.0,40.7,397.0,-88.774,37.056,PADUCAH,KY
39,03818,48.7,55.7,400.1,-85.184,30.836,MARIANNA,FL
40,03820,40.9,49.8,363.1,-81.965,33.370,AUGUSTA,GA
41,03822,45.3,55.8,340.9,-81.202,32.119,SAVANNAH,GA
42,03847,35.3,42.3,392.7,-85.085,35.951,CROSSVILLE,TN
43,03849,32.0,41.4,349.0,-84.077,37.087,LONDON,KY
44,03853,52.7,59.8,400.1,-81.417,30.400,MAYPORT,FL
45,03856,39.3,47.3,377.3,-86.786,34.644,HUNTSVILLE,AL
46,03859,30.3,39.5,350.8,-81.208,37.296,BLUEFIELD,WV
47,03860,32.0,39.2,387.2,-82.555,38.382,HUNTINGTON,WV
48,03866,43.6,49.9,409.4,-88.567,32.550,MERIDIAN,MS
49,03868,29.5,34.7,423.5,-87.309,39.452,TERRE HAUTE,IN
50,03870,36.6,47.8,324.3,-82.219,34.899,GREER,SC
51,03872,29.7,37.3,378.5,-81.125,37.795,BECKLEY,WV
52,03878,43.6,51.7,378.5,-86.012,31.861,TROY,AL
53,03887,28.9,34.0,425.4,-88.866,39.984,DECATUR,IL
54,03888,38.9,48.6,349.0,-84.521,33.779,ATLANTA,GA
55,03889,32.2,40.4,369.3,-83.314,37.591,JACKSON,KY
56,03893,30.4,35.0,435.9,-86.617,39.144,BLOOMINGTON,IN
57,03894,35.3,41.2,413.1,-87.415,36.622,CLARKSVILLE,TN
58,03901,43.4,50.6,393.3,-94.711,32.385,LONGVIEW,TX
59,03904,46.8,55.0,378.5,-96.364,30.588,COLLEGE STATION,TX
60,03919,27.4,35.9,360.7,-97.661,38.813,SALINA,KS
61,03927,41.1,50.1,361.9,-97.041,32.896,DALLAS-FORT WORTH,TX
62,03928,28.8,38.2,346.5,-97.429,37.647,WICHITA,KS
63,03932,32.5,41.7,352.7,-99.200,35.340,CLINTON,OK
64,03935,34.1,39.4,423.5,-89.571,37.225,CAPE GIRARDEAU,MO
65,03936,28.1,34.7,395.8,-96.678,39.135,MANHATTAN,KS
66,03937,50.2,56.2,418.6,-93.228,30.125,LAKE CHARLES,LA
67,03940,44.3,51.0,402.6,-90.078,32.320,JACKSON,MS
68,03945,30.5,36.7,404.4,-92.218,38.817,COLUMBIA,MO
69,03947,28.5,34.3,411.2,-94.718,39.299,KANSAS CITY,MO
70,03949,46.8,53.2,409.4,-93.283,31.400,FORT POLK,LA
71,03950,36.5,44.1,382.2,-98.416,34.568,LAWTON,OK
72,03953,37.5,41.7,447.0,-90.646,35.831,JONESBORO,AR
73,03954,34.3,42.4,372.4,-97.647,35.534,OKLAHOMA CITY,OK
74,03957,29.0,37.0,370.5,-98.553,37.284,MEDICINE LODGE,KS
75,03959,32.3,39.5,387.2,-96.011,36.762,BARTLESVILLE,OK
76,03960,32.0,38.6,397.6,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
77,03962,38.6,44.8,408.7,-93.096,34.478,HOT SPRINGS,AR
78,03963,30.2,37.8,378.5,-92.156,38.591,JEFFERSON CITY,MO
79,03965,32.8,41.5,361.3,-97.086,36.160,STILLWATER,OK
80,03967,29.2,35.5,402.0,-94.739,38.850,OLATHE,KS
81,03971,41.4,52.4,331.1,-96.868,32.681,DALLAS,TX
82,03974,29.0,36.7,376.1,-97.219,37.750,WICHITA,KS
83,03975,33.5,40.7,387.8,-90.325,36.773,POPLAR BLUFF,MO
84,03981,36.0,44.3,369.9,-98.984,34.352,FREDERICK,OK
85,03991,40.1,48.4,373.0,-97.199,33.206,DENTON,TX
86,03994,30.3,37.7,382.2,-93.183,38.704,SEDALIA,MO
87,03996,43.8,50.0,411.8,-91.030,32.348,TALLULAH/VICKSBURG,MS
88,03997,28.3,34.6,401.3,-95.212,39.008,LAWRENCE,KS
89,03998,33.0,39.1,407.5,-95.504,37.328,PARSONS,KS
90,03999,43.1,52.0,365.0,-98.235,30.741,BURNET,TX
91,04109,31.8,35.9,447.0,-115.596,46.144,ELK CITY,ID
92,04110,27.0,34.1,385.9,-114.456,42.727,JEROME,ID
93,04111,18.6,27.5,347.7,-111.031,41.273,EVANSTON,WY
94,04112,15.2,20.8,408.1,-114.927,44.171,STANLEY,ID
95,04113,31.2,37.3,406.9,-119.261,45.826,HERMISTON,OR
96,04114,19.0,24.7,408.1,-114.215,41.523,CHALLIS,ID
97,04201,38.0,42.8,435.2,-122.861,45.773,SCAPPOOSE,OR
98,04724,26.2,32.4,402.0,-78.945,43.107,NIAGARA FALLS,NY
99,04725,25.7,30.3,434.0,-75.981,42.208,BINGHAMTON,NY
100,04726,25.6,32.3,392.1,-78.834,40.301,JOHNSTOWN,PA
101,04751,24.4,30.2,408.7,-78.640,41.803,BRADFORD,PA
